scenario,period,stock,inflow,demand,losses,raw_next_stock,constrained_next_stock,shortage,overflow,capacity,stock_margin
baseline,0,80.0,8.0,6.0,1.2,80.8,80.8,0.0,0.0,100.0,0.8
baseline,1,80.8,8.0,6.0,1.212,81.588,81.588,0.0,0.0,100.0,0.808
baseline,2,81.588,8.0,6.0,1.22382,82.36418,82.36418,0.0,0.0,100.0,0.81588
baseline,3,82.36418,8.0,6.0,1.2354627,83.1287173,83.1287173,0.0,0.0,100.0,0.8236418
baseline,4,83.1287173,8.0,6.0,1.24693076,83.88178654,83.88178654,0.0,0.0,100.0,0.83128717
baseline,5,83.88178654,8.0,6.0,1.2582268,84.62355974,84.62355974,0.0,0.0,100.0,0.83881787
baseline,6,84.62355974,8.0,6.0,1.2693534,85.35420635,85.35420635,0.0,0.0,100.0,0.8462356
baseline,7,85.35420635,8.0,6.0,1.2803131,86.07389325,86.07389325,0.0,0.0,100.0,0.85354206
baseline,8,86.07389325,8.0,6.0,1.2911084,86.78278485,86.78278485,0.0,0.0,100.0,0.86073893
baseline,9,86.78278485,8.0,6.0,1.30174177,87.48104308,87.48104308,0.0,0.0,100.0,0.86782785
baseline,10,87.48104308,8.0,6.0,1.31221565,88.16882743,88.16882743,0.0,0.0,100.0,0.87481043
baseline,11,88.16882743,8.0,6.0,1.32253241,88.84629502,88.84629502,0.0,0.0,100.0,0.88168827
baseline,12,88.84629502,8.0,6.0,1.33269443,89.5136006,89.5136006,0.0,0.0,100.0,0.88846295
baseline,13,89.5136006,8.0,6.0,1.34270401,90.17089659,90.17089659,0.0,0.0,100.0,0.89513601
baseline,14,90.17089659,8.0,6.0,1.35256345,90.81833314,90.81833314,0.0,0.0,100.0,0.90170897
baseline,15,90.81833314,8.0,6.0,1.362275,91.45605814,91.45605814,0.0,0.0,100.0,0.90818333
baseline,16,91.45605814,8.0,6.0,1.37184087,92.08421727,92.08421727,0.0,0.0,100.0,0.91456058
baseline,17,92.08421727,8.0,6.0,1.38126326,92.70295401,92.70295401,0.0,0.0,100.0,0.92084217
baseline,18,92.70295401,8.0,6.0,1.39054431,93.3124097,93.3124097,0.0,0.0,100.0,0.92702954
baseline,19,93.3124097,8.0,6.0,1.39968615,93.91272355,93.91272355,0.0,0.0,100.0,0.9331241
baseline,20,93.91272355,8.0,6.0,1.40869085,94.5040327,94.5040327,0.0,0.0,100.0,0.93912724
baseline,21,94.5040327,8.0,6.0,1.41756049,95.08647221,95.08647221,0.0,0.0,100.0,0.94504033
baseline,22,95.08647221,8.0,6.0,1.42629708,95.66017513,95.66017513,0.0,0.0,100.0,0.95086472
baseline,23,95.66017513,8.0,6.0,1.43490263,96.2252725,96.2252725,0.0,0.0,100.0,0.95660175
baseline,24,96.2252725,8.0,6.0,1.44337909,96.78189341,96.78189341,0.0,0.0,100.0,0.96225273
baseline,25,96.78189341,8.0,6.0,1.4517284,97.33016501,97.33016501,0.0,0.0,100.0,0.96781893
baseline,26,97.33016501,8.0,6.0,1.45995248,97.87021254,97.87021254,0.0,0.0,100.0,0.97330165
baseline,27,97.87021254,8.0,6.0,1.46805319,98.40215935,98.40215935,0.0,0.0,100.0,0.97870213
baseline,28,98.40215935,8.0,6.0,1.47603239,98.92612696,98.92612696,0.0,0.0,100.0,0.98402159
baseline,29,98.92612696,8.0,6.0,1.4838919,99.44223505,99.44223505,0.0,0.0,100.0,0.98926127
baseline,30,99.44223505,8.0,6.0,1.49163353,99.95060153,99.95060153,0.0,0.0,100.0,0.99442235
baseline,31,99.95060153,8.0,6.0,1.49925902,100.45134251,100.0,0.0,0.45134251,100.0,0.99950602
baseline,32,100.0,8.0,6.0,1.5,100.5,100.0,0.0,0.5,100.0,1.0
baseline,33,100.0,8.0,6.0,1.5,100.5,100.0,0.0,0.5,100.0,1.0
baseline,34,100.0,8.0,6.0,1.5,100.5,100.0,0.0,0.5,100.0,1.0
baseline,35,100.0,8.0,6.0,1.5,100.5,100.0,0.0,0.5,100.0,1.0
baseline,36,100.0,8.0,6.0,1.5,100.5,100.0,0.0,0.5,100.0,1.0
baseline,37,100.0,8.0,6.0,1.5,100.5,100.0,0.0,0.5,100.0,1.0
baseline,38,100.0,8.0,6.0,1.5,100.5,100.0,0.0,0.5,100.0,1.0
baseline,39,100.0,8.0,6.0,1.5,100.5,100.0,0.0,0.5,100.0,1.0
baseline,40,100.0,8.0,6.0,1.5,100.5,100.0,0.0,0.5,100.0,1.0
baseline,41,100.0,8.0,6.0,1.5,100.5,100.0,0.0,0.5,100.0,1.0
baseline,42,100.0,8.0,6.0,1.5,100.5,100.0,0.0,0.5,100.0,1.0
baseline,43,100.0,8.0,6.0,1.5,100.5,100.0,0.0,0.5,100.0,1.0
baseline,44,100.0,8.0,6.0,1.5,100.5,100.0,0.0,0.5,100.0,1.0
baseline,45,100.0,8.0,6.0,1.5,100.5,100.0,0.0,0.5,100.0,1.0
baseline,46,100.0,8.0,6.0,1.5,100.5,100.0,0.0,0.5,100.0,1.0
baseline,47,100.0,8.0,6.0,1.5,100.5,100.0,0.0,0.5,100.0,1.0
baseline,48,100.0,8.0,6.0,1.5,100.5,100.0,0.0,0.5,100.0,1.0
baseline,49,100.0,8.0,6.0,1.5,100.5,100.0,0.0,0.5,100.0,1.0
baseline,50,100.0,8.0,6.0,1.5,100.5,100.0,0.0,0.5,100.0,1.0
baseline,51,100.0,8.0,6.0,1.5,100.5,100.0,0.0,0.5,100.0,1.0
baseline,52,100.0,8.0,6.0,1.5,100.5,100.0,0.0,0.5,100.0,1.0
baseline,53,100.0,8.0,6.0,1.5,100.5,100.0,0.0,0.5,100.0,1.0
baseline,54,100.0,8.0,6.0,1.5,100.5,100.0,0.0,0.5,100.0,1.0
baseline,55,100.0,8.0,6.0,1.5,100.5,100.0,0.0,0.5,100.0,1.0
baseline,56,100.0,8.0,6.0,1.5,100.5,100.0,0.0,0.5,100.0,1.0
baseline,57,100.0,8.0,6.0,1.5,100.5,100.0,0.0,0.5,100.0,1.0
baseline,58,100.0,8.0,6.0,1.5,100.5,100.0,0.0,0.5,100.0,1.0
baseline,59,100.0,8.0,6.0,1.5,100.5,100.0,0.0,0.5,100.0,1.0
baseline,60,100.0,8.0,6.0,1.5,100.5,100.0,0.0,0.5,100.0,1.0
low_inflow,0,80.0,5.0,6.0,1.2,77.8,77.8,0.0,0.0,100.0,0.8
low_inflow,1,77.8,5.0,6.0,1.167,75.633,75.633,0.0,0.0,100.0,0.778
low_inflow,2,75.633,5.0,6.0,1.134495,73.498505,73.498505,0.0,0.0,100.0,0.75633
low_inflow,3,73.498505,5.0,6.0,1.10247757,71.39602742,71.39602742,0.0,0.0,100.0,0.73498505
low_inflow,4,71.39602742,5.0,6.0,1.07094041,69.32508701,69.32508701,0.0,0.0,100.0,0.71396027
low_inflow,5,69.32508701,5.0,6.0,1.03987631,67.28521071,67.28521071,0.0,0.0,100.0,0.69325087
low_inflow,6,67.28521071,5.0,6.0,1.00927816,65.27593255,65.27593255,0.0,0.0,100.0,0.67285211
low_inflow,7,65.27593255,5.0,6.0,0.97913899,63.29679356,63.29679356,0.0,0.0,100.0,0.65275933
low_inflow,8,63.29679356,5.0,6.0,0.9494519,61.34734166,61.34734166,0.0,0.0,100.0,0.63296794
low_inflow,9,61.34734166,5.0,6.0,0.92021012,59.42713153,59.42713153,0.0,0.0,100.0,0.61347342
low_inflow,10,59.42713153,5.0,6.0,0.89140697,57.53572456,57.53572456,0.0,0.0,100.0,0.59427132
low_inflow,11,57.53572456,5.0,6.0,0.86303587,55.67268869,55.67268869,0.0,0.0,100.0,0.57535725
low_inflow,12,55.67268869,5.0,6.0,0.83509033,53.83759836,53.83759836,0.0,0.0,100.0,0.55672689
low_inflow,13,53.83759836,5.0,6.0,0.80756398,52.03003438,52.03003438,0.0,0.0,100.0,0.53837598
low_inflow,14,52.03003438,5.0,6.0,0.78045052,50.24958387,50.24958387,0.0,0.0,100.0,0.52030034
low_inflow,15,50.24958387,5.0,6.0,0.75374376,48.49584011,48.49584011,0.0,0.0,100.0,0.50249584
low_inflow,16,48.49584011,5.0,6.0,0.7274376,46.76840251,46.76840251,0.0,0.0,100.0,0.4849584
low_inflow,17,46.76840251,5.0,6.0,0.70152604,45.06687647,45.06687647,0.0,0.0,100.0,0.46768403
low_inflow,18,45.06687647,5.0,6.0,0.67600315,43.39087332,43.39087332,0.0,0.0,100.0,0.45066876
low_inflow,19,43.39087332,5.0,6.0,0.6508631,41.74001022,41.74001022,0.0,0.0,100.0,0.43390873
low_inflow,20,41.74001022,5.0,6.0,0.62610015,40.11391007,40.11391007,0.0,0.0,100.0,0.4174001
low_inflow,21,40.11391007,5.0,6.0,0.60170865,38.51220142,38.51220142,0.0,0.0,100.0,0.4011391
low_inflow,22,38.51220142,5.0,6.0,0.57768302,36.9345184,36.9345184,0.0,0.0,100.0,0.38512201
low_inflow,23,36.9345184,5.0,6.0,0.55401778,35.38050062,35.38050062,0.0,0.0,100.0,0.36934518
low_inflow,24,35.38050062,5.0,6.0,0.53070751,33.84979311,33.84979311,0.0,0.0,100.0,0.35380501
low_inflow,25,33.84979311,5.0,6.0,0.5077469,32.34204622,32.34204622,0.0,0.0,100.0,0.33849793
low_inflow,26,32.34204622,5.0,6.0,0.48513069,30.85691552,30.85691552,0.0,0.0,100.0,0.32342046
low_inflow,27,30.85691552,5.0,6.0,0.46285373,29.39406179,29.39406179,0.0,0.0,100.0,0.30856916
low_inflow,28,29.39406179,5.0,6.0,0.44091093,27.95315086,27.95315086,0.0,0.0,100.0,0.29394062
low_inflow,29,27.95315086,5.0,6.0,0.41929726,26.5338536,26.5338536,0.0,0.0,100.0,0.27953151
low_inflow,30,26.5338536,5.0,6.0,0.3980078,25.1358458,25.1358458,0.0,0.0,100.0,0.26533854
low_inflow,31,25.1358458,5.0,6.0,0.37703769,23.75880811,23.75880811,0.0,0.0,100.0,0.25135846
low_inflow,32,23.75880811,5.0,6.0,0.35638212,22.40242599,22.40242599,0.0,0.0,100.0,0.23758808
low_inflow,33,22.40242599,5.0,6.0,0.33603639,21.0663896,21.0663896,0.0,0.0,100.0,0.22402426
low_inflow,34,21.0663896,5.0,6.0,0.31599584,19.75039375,19.75039375,0.0,0.0,100.0,0.2106639
low_inflow,35,19.75039375,5.0,6.0,0.29625591,18.45413785,18.45413785,0.0,0.0,100.0,0.19750394
low_inflow,36,18.45413785,5.0,6.0,0.27681207,17.17732578,17.17732578,0.0,0.0,100.0,0.18454138
low_inflow,37,17.17732578,5.0,6.0,0.25765989,15.91966589,15.91966589,0.0,0.0,100.0,0.17177326
low_inflow,38,15.91966589,5.0,6.0,0.23879499,14.68087091,14.68087091,0.0,0.0,100.0,0.15919666
low_inflow,39,14.68087091,5.0,6.0,0.22021306,13.46065784,13.46065784,0.0,0.0,100.0,0.14680871
low_inflow,40,13.46065784,5.0,6.0,0.20190987,12.25874797,12.25874797,0.0,0.0,100.0,0.13460658
low_inflow,41,12.25874797,5.0,6.0,0.18388122,11.07486675,11.07486675,0.0,0.0,100.0,0.12258748
low_inflow,42,11.07486675,5.0,6.0,0.166123,9.90874375,9.90874375,0.0,0.0,100.0,0.11074867
low_inflow,43,9.90874375,5.0,6.0,0.14863116,8.7601126,8.7601126,0.0,0.0,100.0,0.09908744
