period,stock,inflow,demand,losses,shortage
0,80.000000,8.000000,6.000000,1.200000,0.000000
1,80.800000,8.000000,6.000000,1.212000,0.000000
2,81.588000,8.000000,6.000000,1.223820,0.000000
3,82.364180,8.000000,6.000000,1.235463,0.000000
4,83.128717,8.000000,6.000000,1.246931,0.000000
5,83.881787,8.000000,6.000000,1.258227,0.000000
6,84.623560,8.000000,6.000000,1.269353,0.000000
7,85.354206,8.000000,6.000000,1.280313,0.000000
8,86.073893,8.000000,6.000000,1.291108,0.000000
9,86.782785,8.000000,6.000000,1.301742,0.000000
10,87.481043,8.000000,6.000000,1.312216,0.000000
11,88.168827,8.000000,6.000000,1.322532,0.000000
12,88.846295,8.000000,6.000000,1.332694,0.000000
13,89.513601,8.000000,6.000000,1.342704,0.000000
14,90.170897,8.000000,6.000000,1.352563,0.000000
15,90.818333,8.000000,6.000000,1.362275,0.000000
16,91.456058,8.000000,6.000000,1.371841,0.000000
17,92.084217,8.000000,6.000000,1.381263,0.000000
18,92.702954,8.000000,6.000000,1.390544,0.000000
19,93.312410,8.000000,6.000000,1.399686,0.000000
20,93.912724,8.000000,6.000000,1.408691,0.000000
21,94.504033,8.000000,6.000000,1.417560,0.000000
22,95.086472,8.000000,6.000000,1.426297,0.000000
23,95.660175,8.000000,6.000000,1.434903,0.000000
24,96.225273,8.000000,6.000000,1.443379,0.000000
25,96.781893,8.000000,6.000000,1.451728,0.000000
26,97.330165,8.000000,6.000000,1.459952,0.000000
27,97.870213,8.000000,6.000000,1.468053,0.000000
28,98.402159,8.000000,6.000000,1.476032,0.000000
29,98.926127,8.000000,6.000000,1.483892,0.000000
30,99.442235,8.000000,6.000000,1.491634,0.000000
31,99.950602,8.000000,6.000000,1.499259,0.000000
32,100.000000,8.000000,6.000000,1.500000,0.000000
33,100.000000,8.000000,6.000000,1.500000,0.000000
34,100.000000,8.000000,6.000000,1.500000,0.000000
35,100.000000,8.000000,6.000000,1.500000,0.000000
36,100.000000,8.000000,6.000000,1.500000,0.000000
37,100.000000,8.000000,6.000000,1.500000,0.000000
38,100.000000,8.000000,6.000000,1.500000,0.000000
39,100.000000,8.000000,6.000000,1.500000,0.000000
40,100.000000,8.000000,6.000000,1.500000,0.000000
41,100.000000,8.000000,6.000000,1.500000,0.000000
42,100.000000,8.000000,6.000000,1.500000,0.000000
43,100.000000,8.000000,6.000000,1.500000,0.000000
44,100.000000,8.000000,6.000000,1.500000,0.000000
45,100.000000,8.000000,6.000000,1.500000,0.000000
46,100.000000,8.000000,6.000000,1.500000,0.000000
47,100.000000,8.000000,6.000000,1.500000,0.000000
48,100.000000,8.000000,6.000000,1.500000,0.000000
49,100.000000,8.000000,6.000000,1.500000,0.000000
50,100.000000,8.000000,6.000000,1.500000,0.000000
51,100.000000,8.000000,6.000000,1.500000,0.000000
52,100.000000,8.000000,6.000000,1.500000,0.000000
53,100.000000,8.000000,6.000000,1.500000,0.000000
54,100.000000,8.000000,6.000000,1.500000,0.000000
55,100.000000,8.000000,6.000000,1.500000,0.000000
56,100.000000,8.000000,6.000000,1.500000,0.000000
57,100.000000,8.000000,6.000000,1.500000,0.000000
58,100.000000,8.000000,6.000000,1.500000,0.000000
59,100.000000,8.000000,6.000000,1.500000,0.000000
60,100.000000,8.000000,6.000000,1.500000,0.000000
