scenario,period,stock,inflow,demand,losses,shortage,capacity,stock_margin
aggregate_baseline,0,80.0,8.0,6.0,1.2,0.0,100.0,0.8
aggregate_baseline,1,80.8,8.0,6.0,1.212,0.0,100.0,0.808
aggregate_baseline,2,81.588,8.0,6.0,1.22382,0.0,100.0,0.81588
aggregate_baseline,3,82.36418,8.0,6.0,1.2354627,0.0,100.0,0.8236418
aggregate_baseline,4,83.1287173,8.0,6.0,1.24693076,0.0,100.0,0.83128717
aggregate_baseline,5,83.88178654,8.0,6.0,1.2582268,0.0,100.0,0.83881787
aggregate_baseline,6,84.62355974,8.0,6.0,1.2693534,0.0,100.0,0.8462356
aggregate_baseline,7,85.35420635,8.0,6.0,1.2803131,0.0,100.0,0.85354206
aggregate_baseline,8,86.07389325,8.0,6.0,1.2911084,0.0,100.0,0.86073893
aggregate_baseline,9,86.78278485,8.0,6.0,1.30174177,0.0,100.0,0.86782785
aggregate_baseline,10,87.48104308,8.0,6.0,1.31221565,0.0,100.0,0.87481043
aggregate_baseline,11,88.16882743,8.0,6.0,1.32253241,0.0,100.0,0.88168827
aggregate_baseline,12,88.84629502,8.0,6.0,1.33269443,0.0,100.0,0.88846295
aggregate_baseline,13,89.5136006,8.0,6.0,1.34270401,0.0,100.0,0.89513601
aggregate_baseline,14,90.17089659,8.0,6.0,1.35256345,0.0,100.0,0.90170897
aggregate_baseline,15,90.81833314,8.0,6.0,1.362275,0.0,100.0,0.90818333
aggregate_baseline,16,91.45605814,8.0,6.0,1.37184087,0.0,100.0,0.91456058
aggregate_baseline,17,92.08421727,8.0,6.0,1.38126326,0.0,100.0,0.92084217
aggregate_baseline,18,92.70295401,8.0,6.0,1.39054431,0.0,100.0,0.92702954
aggregate_baseline,19,93.3124097,8.0,6.0,1.39968615,0.0,100.0,0.9331241
aggregate_baseline,20,93.91272355,8.0,6.0,1.40869085,0.0,100.0,0.93912724
aggregate_baseline,21,94.5040327,8.0,6.0,1.41756049,0.0,100.0,0.94504033
aggregate_baseline,22,95.08647221,8.0,6.0,1.42629708,0.0,100.0,0.95086472
aggregate_baseline,23,95.66017513,8.0,6.0,1.43490263,0.0,100.0,0.95660175
aggregate_baseline,24,96.2252725,8.0,6.0,1.44337909,0.0,100.0,0.96225273
aggregate_baseline,25,96.78189341,8.0,6.0,1.4517284,0.0,100.0,0.96781893
aggregate_baseline,26,97.33016501,8.0,6.0,1.45995248,0.0,100.0,0.97330165
aggregate_baseline,27,97.87021254,8.0,6.0,1.46805319,0.0,100.0,0.97870213
aggregate_baseline,28,98.40215935,8.0,6.0,1.47603239,0.0,100.0,0.98402159
aggregate_baseline,29,98.92612696,8.0,6.0,1.4838919,0.0,100.0,0.98926127
aggregate_baseline,30,99.44223505,8.0,6.0,1.49163353,0.0,100.0,0.99442235
aggregate_baseline,31,99.95060153,8.0,6.0,1.49925902,0.0,100.0,0.99950602
aggregate_baseline,32,100.0,8.0,6.0,1.5,0.0,100.0,1.0
aggregate_baseline,33,100.0,8.0,6.0,1.5,0.0,100.0,1.0
aggregate_baseline,34,100.0,8.0,6.0,1.5,0.0,100.0,1.0
aggregate_baseline,35,100.0,8.0,6.0,1.5,0.0,100.0,1.0
aggregate_baseline,36,100.0,8.0,6.0,1.5,0.0,100.0,1.0
aggregate_baseline,37,100.0,8.0,6.0,1.5,0.0,100.0,1.0
