order,approximation,absolute_error
0,1.0,1.718281828459045
1,2.0,0.7182818284590451
2,2.5,0.2182818284590451
3,2.6666666666666665,0.05161516179237857
4,2.7083333333333335,0.00994849512571161
5,2.716666666666667,0.0016151617923783057
6,2.7180555555555554,0.0002262729034896438
7,2.7182539682539684,2.7860205076724043e-05
8,2.71827876984127,3.0586177750535626e-06
9,2.7182815255731922,3.0288585284310443e-07
10,2.7182818011463845,2.7312660577649694e-08
11,2.718281826198493,2.260552189881082e-09
12,2.7182818282861687,1.7287637987806193e-10
