step,time,center_value,total_mass,max_value,min_value,diffusion_ratio,transport_ratio,warning
0,0.000000,1.000000,1.000000,1.000000,0.000000,0.016000,0.080000,Spatial dynamics depend on field meaning boundary conditions grid spacing time step and numerical stability.
1,0.200000,0.888000,1.000000,0.888000,0.000000,0.016000,0.080000,Spatial dynamics depend on field meaning boundary conditions grid spacing time step and numerical stability.
2,0.400000,0.791616,1.000000,0.791616,0.000000,0.016000,0.080000,Spatial dynamics depend on field meaning boundary conditions grid spacing time step and numerical stability.
3,0.600000,0.708411,1.000000,0.708411,0.000000,0.016000,0.080000,Spatial dynamics depend on field meaning boundary conditions grid spacing time step and numerical stability.
4,0.800000,0.636350,1.000000,0.636350,0.000000,0.016000,0.080000,Spatial dynamics depend on field meaning boundary conditions grid spacing time step and numerical stability.
5,1.000000,0.573734,1.000000,0.573734,0.000000,0.016000,0.080000,Spatial dynamics depend on field meaning boundary conditions grid spacing time step and numerical stability.
6,1.200000,0.519138,1.000000,0.519138,0.000000,0.016000,0.080000,Spatial dynamics depend on field meaning boundary conditions grid spacing time step and numerical stability.
7,1.400000,0.471371,1.000000,0.471371,0.000000,0.016000,0.080000,Spatial dynamics depend on field meaning boundary conditions grid spacing time step and numerical stability.
8,1.600000,0.429430,1.000000,0.429430,0.000000,0.016000,0.080000,Spatial dynamics depend on field meaning boundary conditions grid spacing time step and numerical stability.
9,1.800000,0.392475,1.000000,0.392475,0.000000,0.016000,0.080000,Spatial dynamics depend on field meaning boundary conditions grid spacing time step and numerical stability.
10,2.000000,0.359796,1.000000,0.359796,0.000000,0.016000,0.080000,Spatial dynamics depend on field meaning boundary conditions grid spacing time step and numerical stability.
11,2.200000,0.330796,1.000000,0.350690,0.000000,0.016000,0.080000,Spatial dynamics depend on field meaning boundary conditions grid spacing time step and numerical stability.
12,2.400000,0.304969,1.000000,0.346085,0.000000,0.016000,0.080000,Spatial dynamics depend on field meaning boundary conditions grid spacing time step and numerical stability.
13,2.600000,0.281887,1.000000,0.339744,0.000000,0.016000,0.080000,Spatial dynamics depend on field meaning boundary conditions grid spacing time step and numerical stability.
14,2.800000,0.261188,1.000000,0.332094,0.000000,0.016000,0.080000,Spatial dynamics depend on field meaning boundary conditions grid spacing time step and numerical stability.
15,3.000000,0.242562,1.000000,0.323482,0.000000,0.016000,0.080000,Spatial dynamics depend on field meaning boundary conditions grid spacing time step and numerical stability.
16,3.200000,0.225746,1.000000,0.314187,0.000000,0.016000,0.080000,Spatial dynamics depend on field meaning boundary conditions grid spacing time step and numerical stability.
17,3.400000,0.210517,1.000000,0.304433,0.000000,0.016000,0.080000,Spatial dynamics depend on field meaning boundary conditions grid spacing time step and numerical stability.
