step,time,center_value,total_mass,max_value,min_value,diffusion_ratio,transport_ratio,warning
0,0.0,1.0,1.0,1.0,0.0,0.016,0.08000000000000002,"Spatial dynamics depend on field meaning, boundary conditions, grid spacing, time step, and numerical stability."
1,0.2,0.8879999999999999,0.9999999999999999,0.8879999999999999,0.0,0.016,0.08000000000000002,"Spatial dynamics depend on field meaning, boundary conditions, grid spacing, time step, and numerical stability."
2,0.4,0.7916159999999999,0.9999999999999999,0.7916159999999999,0.0,0.016,0.08000000000000002,"Spatial dynamics depend on field meaning, boundary conditions, grid spacing, time step, and numerical stability."
3,0.6000000000000001,0.7084108799999999,0.9999999999999999,0.7084108799999999,0.0,0.016,0.08000000000000002,"Spatial dynamics depend on field meaning, boundary conditions, grid spacing, time step, and numerical stability."
4,0.8,0.63635023872,1.0,0.63635023872,0.0,0.016,0.08000000000000002,"Spatial dynamics depend on field meaning, boundary conditions, grid spacing, time step, and numerical stability."
5,1.0,0.573733683560448,1.0,0.573733683560448,0.0,0.016,0.08000000000000002,"Spatial dynamics depend on field meaning, boundary conditions, grid spacing, time step, and numerical stability."
6,1.2000000000000002,0.5191380811909694,1.0,0.5191380811909694,0.0,0.016,0.08000000000000002,"Spatial dynamics depend on field meaning, boundary conditions, grid spacing, time step, and numerical stability."
7,1.4000000000000001,0.47137065788034044,1.0,0.47137065788034044,0.0,0.016,0.08000000000000002,"Spatial dynamics depend on field meaning, boundary conditions, grid spacing, time step, and numerical stability."
8,1.6,0.42943021498742917,1.0,0.42943021498742917,0.0,0.016,0.08000000000000002,"Spatial dynamics depend on field meaning, boundary conditions, grid spacing, time step, and numerical stability."
9,1.8,0.3924750337384004,0.9999999999999999,0.3924750337384004,0.0,0.016,0.08000000000000002,"Spatial dynamics depend on field meaning, boundary conditions, grid spacing, time step, and numerical stability."
10,2.0,0.35979629673788105,0.9999999999999999,0.35979629673788105,0.0,0.016,0.08000000000000002,"Spatial dynamics depend on field meaning, boundary conditions, grid spacing, time step, and numerical stability."
11,2.2,0.3307960615998874,0.9999999999999999,0.3506903163093766,0.0,0.016,0.08000000000000002,"Spatial dynamics depend on field meaning, boundary conditions, grid spacing, time step, and numerical stability."
12,2.4000000000000004,0.30496899282260004,0.9999999999999999,0.34608539511683517,0.0,0.016,0.08000000000000002,"Spatial dynamics depend on field meaning, boundary conditions, grid spacing, time step, and numerical stability."
13,2.6,0.2818871982702076,1.0,0.33974374337956825,0.0,0.016,0.08000000000000002,"Spatial dynamics depend on field meaning, boundary conditions, grid spacing, time step, and numerical stability."
14,2.8000000000000003,0.26118763185209054,1.0,0.33209380044300735,0.0,0.016,0.08000000000000002,"Spatial dynamics depend on field meaning, boundary conditions, grid spacing, time step, and numerical stability."
15,3.0,0.24256161869883264,1.0,0.3234818626021799,0.0,0.016,0.08000000000000002,"Spatial dynamics depend on field meaning, boundary conditions, grid spacing, time step, and numerical stability."
16,3.2,0.22574613700783314,1.0,0.31418703508791684,0.0,0.016,0.08000000000000002,"Spatial dynamics depend on field meaning, boundary conditions, grid spacing, time step, and numerical stability."
17,3.4000000000000004,0.21051655478576914,0.9999999999999999,0.30443349293781996,0.0,0.016,0.08000000000000002,"Spatial dynamics depend on field meaning, boundary conditions, grid spacing, time step, and numerical stability."
18,3.6,0.19668057242377324,1.0,0.2944005349714596,0.0,0.016,0.08000000000000002,"Spatial dynamics depend on field meaning, boundary conditions, grid spacing, time step, and numerical stability."
19,3.8000000000000003,0.18407316543139735,1.0,0.2842308277120196,0.0,0.016,0.08000000000000002,"Spatial dynamics depend on field meaning, boundary conditions, grid spacing, time step, and numerical stability."
20,4.0,0.17255235738986546,1.0,0.27403716454390636,0.0,0.016,0.08000000000000002,"Spatial dynamics depend on field meaning, boundary conditions, grid spacing, time step, and numerical stability."
21,4.2,0.16199568262760553,0.9999999999999999,0.2639080067913956,0.0,0.016,0.08000000000000002,"Spatial dynamics depend on field meaning, boundary conditions, grid spacing, time step, and numerical stability."
22,4.4,0.15229722239063836,1.0,0.25391202539546565,0.0,0.016,0.08000000000000002,"Spatial dynamics depend on field meaning, boundary conditions, grid spacing, time step, and numerical stability."
23,4.6000000000000005,0.14336511829554177,1.0,0.24946940697164108,0.0,0.016,0.08000000000000002,"Spatial dynamics depend on field meaning, boundary conditions, grid spacing, time step, and numerical stability."
