year,stock,resilience_margin
0.0,420.0,170.0
1.0,429.9648,179.9648
2.0,439.7862079,189.7862079
3.0,449.41032051,199.41032051
4.0,458.78720313,208.78720313
5.0,467.87189378,217.87189378
6.0,476.62519472,226.62519472
7.0,485.01422562,235.01422562
8.0,493.01272908,243.01272908
9.0,500.60113516,250.60113516
10.0,507.7664057,257.7664057
11.0,514.50168942,264.50168942
12.0,520.805826,270.805826
13.0,526.68274029,276.68274029
14.0,532.14076749,282.14076749
15.0,537.19194695,287.19194695
16.0,541.85131742,291.85131742
17.0,546.1362401,296.1362401
18.0,550.0657695,300.0657695
19.0,553.66008577,303.66008577
20.0,556.93999625,306.93999625
21.0,559.92650947,309.92650947
22.0,562.6404808,312.6404808
23.0,565.10232612,315.10232612
24.0,567.33179803,317.33179803
25.0,569.347818,319.347818
