x,y,regime
0.00,2.000,pre_break
0.25,2.125,pre_break
0.50,2.250,pre_break
0.75,2.375,pre_break
1.00,2.500,pre_break
1.25,2.625,pre_break
1.50,2.750,pre_break
1.75,2.875,pre_break
2.00,3.000,pre_break
2.25,3.125,pre_break
2.50,3.250,pre_break
2.75,3.375,pre_break
3.00,3.500,pre_break
3.25,3.625,pre_break
3.50,3.750,pre_break
3.75,3.875,pre_break
4.00,4.000,pre_break
4.25,4.125,pre_break
4.50,4.250,pre_break
4.75,4.375,pre_break
5.00,6.000,post_break
5.25,6.350,post_break
5.50,6.700,post_break
5.75,7.050,post_break
6.00,7.400,post_break
6.25,7.750,post_break
6.50,8.100,post_break
6.75,8.450,post_break
7.00,8.800,post_break
7.25,9.150,post_break
7.50,9.500,post_break
7.75,9.850,post_break
8.00,10.200,post_break
8.25,10.550,post_break
8.50,10.900,post_break
8.75,11.250,post_break
9.00,11.600,post_break
9.25,11.950,post_break
9.50,12.300,post_break
9.75,12.650,post_break
10.00,13.000,post_break
