method,x0,h,estimate,exact,absolute_error,relative_rate,warning
average_rate_right,5.0,1.0,0.601835094277503,0.5436563656918091,0.05817872858569395,1.1070137908008506,
forward_difference,5.0,1.0,0.601835094277503,0.5436563656918091,0.05817872858569395,1.1070137908008506,
backward_difference,5.0,1.0,0.4927408999665772,0.5436563656918091,0.05091546572523187,0.90634623461009,
central_difference,5.0,1.0,0.5472879971220401,0.5436563656918091,0.0036316314302310415,1.0066800127054703,
average_rate_right,5.0,0.5,0.5717683909747766,0.5436563656918091,0.028112025282967523,1.0517091807564778,
forward_difference,5.0,0.5,0.5717683909747766,0.5436563656918091,0.028112025282967523,1.0517091807564778,
backward_difference,5.0,0.5,0.5173574346041905,0.5436563656918091,0.026298931087618604,0.951625819640403,
central_difference,5.0,0.5,0.5445629127894835,0.5436563656918091,0.0009065470976744594,1.0016675001984405,
average_rate_right,5.0,0.25,0.557477158416475,0.5436563656918091,0.013820792724665965,1.0254219275204823,
forward_difference,5.0,0.25,0.557477158416475,0.5436563656918091,0.013820792724665965,1.0254219275204823,
backward_difference,5.0,0.25,0.5302886765727948,0.5436563656918091,0.013367689119014314,0.9754115099857174,
central_difference,5.0,0.25,0.5438829174946349,0.5436563656918091,0.0002265518028258251,1.0004167187531,
average_rate_right,5.0,0.125,0.5505090568544482,0.5436563656918091,0.006852691162639091,1.0126048209771608,
forward_difference,5.0,0.125,0.5505090568544482,0.5436563656918091,0.006852691162639091,1.0126048209771608,
backward_difference,5.0,0.125,0.5369169398115048,0.5436563656918091,0.006739425880304295,0.9876035188666866,
central_difference,5.0,0.125,0.5437129983329765,0.5436563656918091,5.663264116739786e-05,1.0001041699219237,
average_rate_right,5.0,0.0625,0.5470684200489444,0.5436563656918091,0.003412054357135319,1.0062761232507478,
forward_difference,5.0,0.0625,0.5470684200489444,0.5436563656918091,0.003412054357135319,1.0062761232507478,
backward_difference,5.0,0.0625,0.5402726269915945,0.5436563656918091,0.003383738700214578,0.9937759604894745,
central_difference,5.0,0.0625,0.5436705235202695,0.5436563656918091,1.4157828460370503e-05,1.000026041870111,
average_rate_right,5.0,0.03125,0.5453588368013556,0.5436563656918091,0.0017024711095464662,1.0031315206019524,
forward_difference,5.0,0.03125,0.5453588368013556,0.5436563656918091,0.0017024711095464662,1.0031315206019524,
backward_difference,5.0,0.03125,0.5419609734550335,0.5436563656918091,0.001695392236775617,0.9968815002568431,
central_difference,5.0,0.03125,0.5436599051281945,0.5436563656918091,3.5394363854246436e-06,1.0000065104293978,
average_rate_right,5.0,0.015625,0.5445067143123197,0.5436563656918091,0.0008503486205105881,1.0015641288765718,
forward_difference,5.0,0.015625,0.5445067143123197,0.5436563656918091,0.0008503486205105881,1.0015641288765718,
backward_difference,5.0,0.015625,0.5428077867869092,0.5436563656918091,0.000848578904899866,0.998439126333378,
central_difference,5.0,0.015625,0.5436572505496144,0.5436563656918091,8.848578053610723e-07,1.0000016276049748,
average_rate_right,5.0,0.0078125,0.544081318528356,0.5436563656918091,0.0004249528365468658,1.0007816570601655,
forward_difference,5.0,0.0078125,0.544081318528356,0.5436563656918091,0.0004249528365468658,1.0007816570601655,
backward_difference,5.0,0.0078125,0.5432318552840343,0.5436563656918091,0.000424510407774803,0.9992191567420818,
central_difference,5.0,0.0078125,0.5436565869061951,0.5436563656918091,2.2121438603139865e-07,1.0000004069011237,
