method,h_large,h_small,error_large,error_small,estimated_order
average_rate_right,1.0,0.5,0.05817872858569395,0.028112025282967523,1.0493043747424962
average_rate_right,0.5,0.25,0.028112025282967523,0.013820792724665965,1.0243470266401609
average_rate_right,0.25,0.125,0.013820792724665965,0.006852691162639091,1.0120977931897326
average_rate_right,0.125,0.0625,0.006852691162639091,0.003412054357135319,1.0060300387401844
average_rate_right,0.0625,0.03125,0.003412054357135319,0.0017024711095464662,1.0030103139680118
average_rate_right,0.03125,0.015625,0.0017024711095464662,0.0008503486205105881,1.0015039817562739
average_rate_right,0.015625,0.0078125,0.0008503486205105881,0.0004249528365468658,1.0007516970355959
backward_difference,1.0,0.5,0.05091546572523187,0.026298931087618604,0.953099783020323
backward_difference,0.5,0.25,0.026298931087618604,0.013367689119014314,0.9762540754208324
backward_difference,0.25,0.125,0.013367689119014314,0.006739425880304295,0.9880524862378035
backward_difference,0.125,0.0625,0.006739425880304295,0.003383738700214578,0.9940075313611828
backward_difference,0.0625,0.03125,0.003383738700214578,0.001695392236775617,0.9969990785605539
backward_difference,0.03125,0.015625,0.001695392236775617,0.000848578904899866,0.9984983663372912
backward_difference,0.015625,0.0078125,0.000848578904899866,0.000424510407774803,0.9992488897004204
central_difference,1.0,0.5,0.0036316314302310415,0.0009065470976744594,2.0021639136291225
central_difference,0.5,0.25,0.0009065470976744594,0.0002265518028258251,2.000541002589766
central_difference,0.25,0.125,0.0002265518028258251,5.663264116739786e-05,2.0001352521523525
central_difference,0.125,0.0625,5.663264116739786e-05,1.4157828460370503e-05,2.0000338135202216
central_difference,0.0625,0.03125,1.4157828460370503e-05,3.5394363854246436e-06,2.0000084495095725
central_difference,0.03125,0.015625,3.5394363854246436e-06,8.848578053610723e-07,2.0000021048702314
central_difference,0.015625,0.0078125,8.848578053610723e-07,2.2121438603139865e-07,2.000000425925139
forward_difference,1.0,0.5,0.05817872858569395,0.028112025282967523,1.0493043747424962
forward_difference,0.5,0.25,0.028112025282967523,0.013820792724665965,1.0243470266401609
forward_difference,0.25,0.125,0.013820792724665965,0.006852691162639091,1.0120977931897326
forward_difference,0.125,0.0625,0.006852691162639091,0.003412054357135319,1.0060300387401844
forward_difference,0.0625,0.03125,0.003412054357135319,0.0017024711095464662,1.0030103139680118
forward_difference,0.03125,0.015625,0.0017024711095464662,0.0008503486205105881,1.0015039817562739
forward_difference,0.015625,0.0078125,0.0008503486205105881,0.0004249528365468658,1.0007516970355959
