method,x0,h,estimate,exact,absolute_error,elasticity
average_rate_right,5.000000000000,1.000000000000,0.601835094278,0.543656365692,0.058178728586,1.107013790801
forward_difference,5.000000000000,1.000000000000,0.601835094278,0.543656365692,0.058178728586,1.107013790801
backward_difference,5.000000000000,1.000000000000,0.492740899967,0.543656365692,0.050915465725,0.906346234610
central_difference,5.000000000000,1.000000000000,0.547287997122,0.543656365692,0.003631631430,1.006680012705
average_rate_right,5.000000000000,0.500000000000,0.571768390975,0.543656365692,0.028112025283,1.051709180756
forward_difference,5.000000000000,0.500000000000,0.571768390975,0.543656365692,0.028112025283,1.051709180756
backward_difference,5.000000000000,0.500000000000,0.517357434604,0.543656365692,0.026298931088,0.951625819640
central_difference,5.000000000000,0.500000000000,0.544562912789,0.543656365692,0.000906547098,1.001667500198
average_rate_right,5.000000000000,0.250000000000,0.557477158416,0.543656365692,0.013820792725,1.025421927520
forward_difference,5.000000000000,0.250000000000,0.557477158416,0.543656365692,0.013820792725,1.025421927520
backward_difference,5.000000000000,0.250000000000,0.530288676573,0.543656365692,0.013367689119,0.975411509986
central_difference,5.000000000000,0.250000000000,0.543882917495,0.543656365692,0.000226551803,1.000416718753
average_rate_right,5.000000000000,0.125000000000,0.550509056854,0.543656365692,0.006852691163,1.012604820977
forward_difference,5.000000000000,0.125000000000,0.550509056854,0.543656365692,0.006852691163,1.012604820977
backward_difference,5.000000000000,0.125000000000,0.536916939812,0.543656365692,0.006739425880,0.987603518867
central_difference,5.000000000000,0.125000000000,0.543712998333,0.543656365692,0.000056632641,1.000104169922
average_rate_right,5.000000000000,0.062500000000,0.547068420049,0.543656365692,0.003412054357,1.006276123251
forward_difference,5.000000000000,0.062500000000,0.547068420049,0.543656365692,0.003412054357,1.006276123251
backward_difference,5.000000000000,0.062500000000,0.540272626992,0.543656365692,0.003383738700,0.993775960489
central_difference,5.000000000000,0.062500000000,0.543670523520,0.543656365692,0.000014157828,1.000026041870
