growth_rate,carrying_capacity,rmse,mae,bias
0.35,115.0,5.4596659656,4.3596532591,-0.3741849148
0.4,100.0,6.8966117466,5.9121682249,-1.6481819515
0.35,105.0,7.0070211325,4.8170309489,2.69642652
0.4,105.0,7.3120271905,6.0646391971,-3.6743328203
0.4,95.0,7.343037464,6.1074826869,0.4278265107
0.35,100.0,8.3954163047,5.2703376942,4.3054777724
0.45,95.0,8.8203728871,7.4391830698,-4.0927936379
0.45,85.0,9.3163571613,7.758469006,0.9189279178
0.45,100.0,9.9452306533,7.9245511705,-6.5279816666
0.4,115.0,9.9573295494,7.6888508992,-7.5859394346
0.35,95.0,10.0301643062,6.2241390704,5.9673634692
0.4,85.0,10.3264951184,7.3376786911,4.7395313177
0.3,115.0,10.8665533489,7.887948917,7.887948917
0.45,105.0,11.6655903884,9.1137143148,-8.9187869576
0.3,105.0,13.4023194286,10.0919160976,10.0919160976
0.35,85.0,13.7907994716,9.4622283963,9.4622283963
0.3,100.0,14.7740680059,11.2637049858,11.2637049858
0.45,115.0,15.9966489931,13.5744158005,-13.5744158005
0.3,95.0,16.2152898451,12.4863149718,12.4863149718
0.3,85.0,19.3131985341,15.0989085593,15.0989085593
0.25,115.0,20.4413451321,16.7023268166,16.7023268166
0.25,105.0,22.1636702506,18.1186901049,18.1186901049
0.25,100.0,23.0943606715,18.8843250939,18.8843250939
0.25,95.0,24.0762698633,19.6926416979,19.6926416979
0.25,85.0,26.2109242029,21.4529503938,21.4529503938
