"scenario","method","final_state","mean_state","min_state","max_state","sd_state"
"baseline","euler",75.9571183931,39.323930858734,10,75.9571183931,20.708530958154
"high_growth","euler",91.2254808308,50.9524479225546,10,91.2254808308,26.946274962938
"higher_capacity","euler",95.8247449709,45.1633905435897,10,95.8247449709,26.6013768730558
"low_growth","euler",49.3787272526,26.4922390369866,10,49.3787272526,11.7718950711008
"lower_capacity","euler",57.8993906291,33.2791072082856,10,57.8993906291,15.15143627986
"baseline","rk4",76.1836656106,39.6032248939814,10,76.1836656106,20.8082668855641
"high_growth","rk4",91.2037889053,51.2604855442454,10,91.2037889053,26.9336232737253
"higher_capacity","rk4",96.4480676553,45.6454224792639,10,96.4480676553,26.854206970648
"low_growth","rk4",49.6693903523,26.6450903111567,10,49.6693903523,11.8680314583046
"lower_capacity","rk4",57.9272845319,33.4099066024918,10,57.9272845319,15.1650958205563
