scenario,method,initial_state,growth_rate,carrying_capacity,time_step,steps,final_state,mean_state,min_state,max_state
baseline,euler,10.0,0.35,100.0,0.1,96,75.9571183931,39.3239308587,10.0,75.9571183931
baseline,rk4,10.0,0.35,100.0,0.1,96,76.1836656106,39.603224894,10.0,76.1836656106
low_growth,euler,10.0,0.22749999999999998,100.0,0.1,96,49.3787272526,26.492239037,10.0,49.3787272526
low_growth,rk4,10.0,0.22749999999999998,100.0,0.1,96,49.6693903523,26.6450903112,10.0,49.6693903523
high_growth,euler,10.0,0.4725,100.0,0.1,96,91.2254808308,50.9524479226,10.0,91.2254808308
high_growth,rk4,10.0,0.4725,100.0,0.1,96,91.2037889053,51.2604855442,10.0,91.2037889053
lower_capacity,euler,10.0,0.35,70.0,0.1,96,57.8993906291,33.2791072083,10.0,57.8993906291
lower_capacity,rk4,10.0,0.35,70.0,0.1,96,57.9272845319,33.4099066025,10.0,57.9272845319
higher_capacity,euler,10.0,0.35,140.0,0.1,96,95.8247449709,45.1633905436,10.0,95.8247449709
higher_capacity,rk4,10.0,0.35,140.0,0.1,96,96.4480676553,45.6454224793,10.0,96.4480676553
