step,time,euler_value,rk4_value,exact_value,euler_absolute_error,rk4_absolute_error,step_size,warning
0,0.0,100.0,100.0,100.0,0.0,0.0,0.5,"Runge–Kutta estimates depend on rate function, step size, smoothness, stiffness, and benchmark comparison."
1,0.5,82.5,83.9458349609375,83.94570207692074,1.445702076920739,0.00013288401676447847,0.5,"Runge–Kutta estimates depend on rate function, step size, smoothness, stiffness, and benchmark comparison."
2,1.0,68.0625,70.46903207288958,70.46880897187134,2.40630897187134,0.00022310101823563855,0.5,"Runge–Kutta estimates depend on rate function, step size, smoothness, stiffness, and benchmark comparison."
3,1.5,56.1515625,59.155817362478,59.15553643668151,3.0039739366815112,0.0002809257964884182,0.5,"Runge–Kutta estimates depend on rate function, step size, smoothness, stiffness, and benchmark comparison."
4,2.0,46.3250390625,49.65884481289939,49.658530379140956,3.333491316640959,0.00031443375843309695,0.5,"Runge–Kutta estimates depend on rate function, step size, smoothness, stiffness, and benchmark comparison."
5,2.5,38.2181572265625,41.686531910144595,41.68620196785084,3.4680447412883453,0.0003299422937530494,0.5,"Runge–Kutta estimates depend on rate function, step size, smoothness, stiffness, and benchmark comparison."
6,3.0,31.52997971191406,34.994107278228526,34.993774911115544,3.463795199201485,0.0003323671129820127,0.5,"Runge–Kutta estimates depend on rate function, step size, smoothness, stiffness, and benchmark comparison."
7,3.5,26.012233262329097,29.376095541835138,29.375770032353287,3.36353677002419,0.00032550948185061657,0.5,"Runge–Kutta estimates depend on rate function, step size, smoothness, stiffness, and benchmark comparison."
8,4.0,21.460092441421505,24.660008681516246,24.659696394160648,3.1996039527391424,0.0003122873555980732,0.5,"Runge–Kutta estimates depend on rate function, step size, smoothness, stiffness, and benchmark comparison."
9,4.5,17.704576264172744,20.70105018913849,20.700755268115266,2.9961790039425225,0.000294921023222372,0.5,"Runge–Kutta estimates depend on rate function, step size, smoothness, stiffness, and benchmark comparison."
10,5.0,14.606275417942513,17.377669426955038,17.377394345044515,2.771118927102002,0.0002750819105230562,0.5,"Runge–Kutta estimates depend on rate function, step size, smoothness, stiffness, and benchmark comparison."
11,5.5,12.050177219802574,14.58782969720897,14.587575685622742,2.537398465820168,0.0002540115862288417,0.5,"Runge–Kutta estimates depend on rate function, step size, smoothness, stiffness, and benchmark comparison."
12,6.0,9.941396206337124,12.245875442001672,12.245642825298194,2.30424661896107,0.0002326167034780724,0.5,"Runge–Kutta estimates depend on rate function, step size, smoothness, stiffness, and benchmark comparison."
13,6.5,8.201651870228128,10.2799023880647,10.27969084352864,2.0780389733005116,0.00021154453606087031,0.5,"Runge–Kutta estimates depend on rate function, step size, smoothness, stiffness, and benchmark comparison."
14,7.0,6.766362792938206,8.629549892830266,8.629358649937053,1.8629958569988476,0.0001912428932122623,0.5,"Runge–Kutta estimates depend on rate function, step size, smoothness, stiffness, and benchmark comparison."
15,7.5,5.58224930417402,7.244147710907054,7.2439757034251455,1.6617263992511253,0.00017200748190848714,0.5,"Runge–Kutta estimates depend on rate function, step size, smoothness, stiffness, and benchmark comparison."
16,8.0,4.605355675943567,6.081160281724568,6.0810062625217975,1.4756505865782303,0.00015401920277025027,0.5,"Runge–Kutta estimates depend on rate function, step size, smoothness, stiffness, and benchmark comparison."
17,8.5,3.799418432653443,5.104880773806587,5.104743400415441,1.3053249677619982,0.00013737339114605618,0.5,"Runge–Kutta estimates depend on rate function, step size, smoothness, stiffness, and benchmark comparison."
18,9.0,3.1345202069390905,4.285334789332307,4.285212686704019,1.150692479764928,0.00012210262828826757,0.5,"Runge–Kutta estimates depend on rate function, step size, smoothness, stiffness, and benchmark comparison."
19,9.5,2.58597917072475,3.597360069776537,3.597251875342967,1.011272704618217,0.00010819443357013014,0.5,"Runge–Kutta estimates depend on rate function, step size, smoothness, stiffness, and benchmark comparison."
20,10.0,2.1334328158479186,3.019833947125278,3.0197383422318502,0.8863055263839317,9.560489342774758e-05,0.5,"Runge–Kutta estimates depend on rate function, step size, smoothness, stiffness, and benchmark comparison."
21,10.5,1.7600820730745328,2.5350248213481503,2.5349405522724946,0.7748584791979618,8.426907565572961e-05,0.5,"Runge–Kutta estimates depend on rate function, step size, smoothness, stiffness, and benchmark comparison."
22,11.0,1.4520677102864896,2.128047752747719,2.1279736438377177,0.6759059335512281,7.410891000114717e-05,0.5,"Runge–Kutta estimates depend on rate function, step size, smoothness, stiffness, and benchmark comparison."
23,11.5,1.1979558609863539,1.7864074544115396,1.7863424153314051,0.5883865543450513,6.50390801344436e-05,0.5,"Runge–Kutta estimates depend on rate function, step size, smoothness, stiffness, and benchmark comparison."
24,12.0,0.9883135853137419,1.499614653410196,1.4995576820477716,0.5112440967340297,5.697136242432954e-05,0.5,"Runge–Kutta estimates depend on rate function, step size, smoothness, stiffness, and benchmark comparison."
25,12.5,0.8153587078838371,1.258864042001758,1.2588142242433997,0.4434555163595626,4.9817758358328135e-05,0.5,"Runge–Kutta estimates depend on rate function, step size, smoothness, stiffness, and benchmark comparison."
26,13.0,0.6726709340041657,1.0567639310813828,1.0567204383852655,0.38404950438109986,4.349269611725326e-05,0.5,"Runge–Kutta estimates depend on rate function, step size, smoothness, stiffness, and benchmark comparison."
27,13.5,0.5549535205534367,0.887109305512293,0.8870713909928258,0.3321178704393891,3.791451946710822e-05,0.5,"Runge–Kutta estimates depend on rate function, step size, smoothness, stiffness, and benchmark comparison."
28,14.0,0.4578366544565853,0.7446913135284683,0.7446583070924344,0.28682165263584913,3.300643603387776e-05,0.5,"Runge–Kutta estimates depend on rate function, step size, smoothness, stiffness, and benchmark comparison."
29,14.5,0.3777152399266829,0.6251373410230456,0.6251086439628567,0.24739340403617383,2.8697060188931367e-05,0.5,"Runge–Kutta estimates depend on rate function, step size, smoothness, stiffness, and benchmark comparison."
30,15.0,0.3116150729395134,0.5247767605743989,0.5247518399181385,0.21313676697862505,2.492065626047424e-05,0.5,"Runge–Kutta estimates depend on rate function, step size, smoothness, stiffness, and benchmark comparison."
31,15.5,0.25708243517509854,0.4405282333451391,0.44050661618084064,0.1834241810057421,2.161716429843752e-05,0.5,"Runge–Kutta estimates depend on rate function, step size, smoothness, stiffness, and benchmark comparison."
32,16.0,0.2120930090194563,0.3698051037202441,0.3697863716482932,0.1576933626288369,1.8732071950910978e-05,0.5,"Runge–Kutta estimates depend on rate function, step size, smoothness, stiffness, and benchmark comparison."
33,16.5,0.17497673244105144,0.3104359820461199,0.31041976586493114,0.1354430334238797,1.6216181188744017e-05,0.5,"Runge–Kutta estimates depend on rate function, step size, smoothness, stiffness, and benchmark comparison."
34,17.0,0.14435580426386743,0.26059807714780137,0.26058405184085004,0.11622824757698261,1.402530695132631e-05,0.5,"Runge–Kutta estimates depend on rate function, step size, smoothness, stiffness, and benchmark comparison."
