iteration,residual_norm
0,15.811388300842
1,2.100302247594
2,0.281739022895
3,0.037990537214
4,0.005139983668
5,0.000696987879
6,9.4658866e-05
7,1.286982e-05
8,1.751172e-06
9,2.3842e-07
10,3.2476e-08
11,4.425e-09
12,6.03e-10
13,8.2e-11
14,1.1e-11
15,2e-12
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,0.0
32,0.0
33,0.0
34,0.0
35,0.0
36,0.0
37,0.0
38,0.0
39,0.0
40,0.0
41,0.0
42,0.0
43,0.0
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,0.0
51,0.0
52,0.0
53,0.0
54,0.0
55,0.0
56,0.0
57,0.0
58,0.0
59,0.0
60,0.0
