order,approximation,absolute_error,relative_error
0,1.0,1.718281828459045,0.6321205588285577
1,2.0,0.7182818284590451,0.26424111765711533
2,2.5,0.2182818284590451,0.08030139707139415
3,2.6666666666666665,0.05161516179237857,0.018988156876153812
4,2.7083333333333335,0.00994849512571161,0.003659846827343605
5,2.716666666666667,0.0016151617923783057,0.0005941848175815963
6,2.7180555555555554,0.0002262729034896438,8.324114928800986e-05
7,2.7182539682539684,2.7860205076724043e-05,1.0249196674547021e-05
8,2.71827876984127,3.0586177750535626e-06,1.125202597843745e-06
9,2.7182815255731922,3.0288585284310443e-07,1.1142547828265698e-07
10,2.7182818011463845,2.7312660577649694e-08,1.0047766310211053e-08
11,2.718281826198493,2.260552189881082e-09,8.316106763523327e-10
12,2.7182818282861687,1.7287637987806193e-10,6.35976660212834e-11
