"time","weak_feedback","baseline_feedback","strong_feedback"
0,0,0,0
5,1.76867060943954,1.6268697957152,1.46177879229104
10,2.77642874530456,2.39534867287567,1.99953715751533
15,3.3506320226033,2.75835239093425,2.19736740439931
20,3.67780318791234,2.92982320586575,2.2701450850698
25,3.86421969865262,3.01082028361064,2.29691849756462
30,3.97043662471871,3.04908059400709,2.30676788559146
35,4.03095720488688,3.06715348493586,2.31039127295465
40,4.06544079200945,3.07569051412195,2.31172424267298
45,4.085088947687,3.07972312116923,2.31221461482805
50,4.09628412932971,3.08162798985871,2.31239501266242
55,4.10266295154947,3.08252778611499,2.31246137731692
60,4.1062974948923,3.08295281977073,2.31248579150893
65,4.10836839526479,3.0831535914535,2.31249477298825
70,4.10954835872876,3.08324842928117,2.31249807708984
75,4.11022068164434,3.0832932274989,2.31249929260088
80,4.11060375969431,3.08331438867858,2.31249973976241
85,4.11082203098772,3.08332438451207,2.31249990426394
90,4.11094639822183,3.08332910620948,2.31249996478067
95,4.11101726053579,3.08333133658141,2.31249998704353
100,4.1110576366652,3.08333239013451,2.31249999523358
