    step  time center_value total_mass max_value min_value stability_ratio
1      0  0.00    1.0000000          1 1.0000000         0           0.025
2      1  0.25    0.9500000          1 0.9500000         0           0.025
3      2  0.50    0.9037500          1 0.9037500         0           0.025
4      3  0.75    0.8609375          1 0.8609375         0           0.025
5      4  1.00    0.8212773          1 0.8212773         0           0.025
6      5  1.25    0.7845093          1 0.7845093         0           0.025
7      6  1.50    0.7503956          1 0.7503956         0           0.025
8      7  1.75    0.7187194          1 0.7187194         0           0.025
9      8  2.00    0.6892824          1 0.6892824         0           0.025
10     9  2.25    0.6619034          1 0.6619034         0           0.025
11    10  2.50    0.6364170          1 0.6364170         0           0.025
12    11  2.75    0.6126716          1 0.6126716         0           0.025
13    12  3.00    0.5905289          1 0.5905289         0           0.025
14    13  3.25    0.5698621          1 0.5698621         0           0.025
15    14  3.50    0.5505554          1 0.5505554         0           0.025
16    15  3.75    0.5325025          1 0.5325025         0           0.025
17    16  4.00    0.5156064          1 0.5156064         0           0.025
18    17  4.25    0.4997779          1 0.4997779         0           0.025
19    18  4.50    0.4849353          1 0.4849353         0           0.025
20    19  4.75    0.4710040          1 0.4710040         0           0.025
21    20  5.00    0.4579152          1 0.4579152         0           0.025
22    21  5.25    0.4456059          1 0.4456059         0           0.025
23    22  5.50    0.4340184          1 0.4340184         0           0.025
24    23  5.75    0.4230996          1 0.4230996         0           0.025
25    24  6.00    0.4128006          1 0.4128006         0           0.025
26    25  6.25    0.4030767          1 0.4030767         0           0.025
27    26  6.50    0.3938866          1 0.3938866         0           0.025
28    27  6.75    0.3851925          1 0.3851925         0           0.025
29    28  7.00    0.3769594          1 0.3769594         0           0.025
30    29  7.25    0.3691551          1 0.3691551         0           0.025
31    30  7.50    0.3617502          1 0.3617502         0           0.025
32    31  7.75    0.3547173          1 0.3547173         0           0.025
33    32  8.00    0.3480312          1 0.3480312         0           0.025
34    33  8.25    0.3416687          1 0.3416687         0           0.025
35    34  8.50    0.3356085          1 0.3356085         0           0.025
36    35  8.75    0.3298307          1 0.3298307         0           0.025
37    36  9.00    0.3243170          1 0.3243170         0           0.025
38    37  9.25    0.3190505          1 0.3190505         0           0.025
39    38  9.50    0.3140156          1 0.3140156         0           0.025
40    39  9.75    0.3091978          1 0.3091978         0           0.025
41    40 10.00    0.3045837          1 0.3045837         0           0.025
42    41 10.25    0.3001609          1 0.3001609         0           0.025
43    42 10.50    0.2959177          1 0.2959177         0           0.025
44    43 10.75    0.2918436          1 0.2918436         0           0.025
45    44 11.00    0.2879286          1 0.2879286         0           0.025
46    45 11.25    0.2841635          1 0.2841635         0           0.025
47    46 11.50    0.2805397          1 0.2805397         0           0.025
48    47 11.75    0.2770492          1 0.2770492         0           0.025
49    48 12.00    0.2736846          1 0.2736846         0           0.025
50    49 12.25    0.2704390          1 0.2704390         0           0.025
51    50 12.50    0.2673060          1 0.2673060         0           0.025
52    51 12.75    0.2642794          1 0.2642794         0           0.025
53    52 13.00    0.2613538          1 0.2613538         0           0.025
54    53 13.25    0.2585239          1 0.2585239         0           0.025
55    54 13.50    0.2557848          1 0.2557848         0           0.025
56    55 13.75    0.2531318          1 0.2531318         0           0.025
57    56 14.00    0.2505608          1 0.2505608         0           0.025
58    57 14.25    0.2480677          1 0.2480677         0           0.025
59    58 14.50    0.2456487          1 0.2456487         0           0.025
60    59 14.75    0.2433004          1 0.2433004         0           0.025
61    60 15.00    0.2410193          1 0.2410193         0           0.025
62    61 15.25    0.2388025          1 0.2388025         0           0.025
63    62 15.50    0.2366470          1 0.2366470         0           0.025
64    63 15.75    0.2345499          1 0.2345499         0           0.025
65    64 16.00    0.2325089          1 0.2325089         0           0.025
66    65 16.25    0.2305213          1 0.2305213         0           0.025
67    66 16.50    0.2285850          1 0.2285850         0           0.025
68    67 16.75    0.2266977          1 0.2266977         0           0.025
69    68 17.00    0.2248574          1 0.2248574         0           0.025
70    69 17.25    0.2230623          1 0.2230623         0           0.025
71    70 17.50    0.2213104          1 0.2213104         0           0.025
72    71 17.75    0.2196000          1 0.2196000         0           0.025
73    72 18.00    0.2179296          1 0.2179296         0           0.025
74    73 18.25    0.2162975          1 0.2162975         0           0.025
75    74 18.50    0.2147023          1 0.2147023         0           0.025
76    75 18.75    0.2131427          1 0.2131427         0           0.025
77    76 19.00    0.2116173          1 0.2116173         0           0.025
78    77 19.25    0.2101248          1 0.2101248         0           0.025
79    78 19.50    0.2086641          1 0.2086641         0           0.025
80    79 19.75    0.2072340          1 0.2072340         0           0.025
81    80 20.00    0.2058336          1 0.2058336         0           0.025
82    81 20.25    0.2044616          1 0.2044616         0           0.025
83    82 20.50    0.2031173          1 0.2031173         0           0.025
84    83 20.75    0.2017996          1 0.2017996         0           0.025
85    84 21.00    0.2005076          1 0.2005076         0           0.025
86    85 21.25    0.1992406          1 0.1992406         0           0.025
87    86 21.50    0.1979978          1 0.1979978         0           0.025
88    87 21.75    0.1967782          1 0.1967782         0           0.025
89    88 22.00    0.1955813          1 0.1955813         0           0.025
90    89 22.25    0.1944063          1 0.1944063         0           0.025
91    90 22.50    0.1932526          1 0.1932526         0           0.025
92    91 22.75    0.1921194          1 0.1921194         0           0.025
93    92 23.00    0.1910063          1 0.1910063         0           0.025
94    93 23.25    0.1899125          1 0.1899125         0           0.025
95    94 23.50    0.1888376          1 0.1888376         0           0.025
96    95 23.75    0.1877810          1 0.1877810         0           0.025
97    96 24.00    0.1867421          1 0.1867421         0           0.025
98    97 24.25    0.1857205          1 0.1857205         0           0.025
99    98 24.50    0.1847157          1 0.1847157         0           0.025
100   99 24.75    0.1837272          1 0.1837272         0           0.025
101  100 25.00    0.1827546          1 0.1827546         0           0.025
