step,time,center_value,total_mass,max_value,min_value,stability_ratio,warning
0,0.000000,1.000000,1.000000,1.000000,0.000000,0.025000,Explicit diffusion schemes require stability checks boundary and grid assumptions shape results.
1,0.250000,0.950000,1.000000,0.950000,0.000000,0.025000,Explicit diffusion schemes require stability checks boundary and grid assumptions shape results.
2,0.500000,0.903750,1.000000,0.903750,0.000000,0.025000,Explicit diffusion schemes require stability checks boundary and grid assumptions shape results.
3,0.750000,0.860937,1.000000,0.860937,0.000000,0.025000,Explicit diffusion schemes require stability checks boundary and grid assumptions shape results.
4,1.000000,0.821277,1.000000,0.821277,0.000000,0.025000,Explicit diffusion schemes require stability checks boundary and grid assumptions shape results.
5,1.250000,0.784509,1.000000,0.784509,0.000000,0.025000,Explicit diffusion schemes require stability checks boundary and grid assumptions shape results.
6,1.500000,0.750396,1.000000,0.750396,0.000000,0.025000,Explicit diffusion schemes require stability checks boundary and grid assumptions shape results.
7,1.750000,0.718719,1.000000,0.718719,0.000000,0.025000,Explicit diffusion schemes require stability checks boundary and grid assumptions shape results.
8,2.000000,0.689282,1.000000,0.689282,0.000000,0.025000,Explicit diffusion schemes require stability checks boundary and grid assumptions shape results.
9,2.250000,0.661903,1.000000,0.661903,0.000000,0.025000,Explicit diffusion schemes require stability checks boundary and grid assumptions shape results.
10,2.500000,0.636417,1.000000,0.636417,0.000000,0.025000,Explicit diffusion schemes require stability checks boundary and grid assumptions shape results.
11,2.750000,0.612672,1.000000,0.612672,0.000000,0.025000,Explicit diffusion schemes require stability checks boundary and grid assumptions shape results.
12,3.000000,0.590529,1.000000,0.590529,0.000000,0.025000,Explicit diffusion schemes require stability checks boundary and grid assumptions shape results.
13,3.250000,0.569862,1.000000,0.569862,0.000000,0.025000,Explicit diffusion schemes require stability checks boundary and grid assumptions shape results.
14,3.500000,0.550555,1.000000,0.550555,0.000000,0.025000,Explicit diffusion schemes require stability checks boundary and grid assumptions shape results.
15,3.750000,0.532503,1.000000,0.532503,0.000000,0.025000,Explicit diffusion schemes require stability checks boundary and grid assumptions shape results.
16,4.000000,0.515606,1.000000,0.515606,0.000000,0.025000,Explicit diffusion schemes require stability checks boundary and grid assumptions shape results.
17,4.250000,0.499778,1.000000,0.499778,0.000000,0.025000,Explicit diffusion schemes require stability checks boundary and grid assumptions shape results.
18,4.500000,0.484935,1.000000,0.484935,0.000000,0.025000,Explicit diffusion schemes require stability checks boundary and grid assumptions shape results.
19,4.750000,0.471004,1.000000,0.471004,0.000000,0.025000,Explicit diffusion schemes require stability checks boundary and grid assumptions shape results.
20,5.000000,0.457915,1.000000,0.457915,0.000000,0.025000,Explicit diffusion schemes require stability checks boundary and grid assumptions shape results.
21,5.250000,0.445606,1.000000,0.445606,0.000000,0.025000,Explicit diffusion schemes require stability checks boundary and grid assumptions shape results.
22,5.500000,0.434018,1.000000,0.434018,0.000000,0.025000,Explicit diffusion schemes require stability checks boundary and grid assumptions shape results.
23,5.750000,0.423100,1.000000,0.423100,0.000000,0.025000,Explicit diffusion schemes require stability checks boundary and grid assumptions shape results.
24,6.000000,0.412801,1.000000,0.412801,0.000000,0.025000,Explicit diffusion schemes require stability checks boundary and grid assumptions shape results.
25,6.250000,0.403077,1.000000,0.403077,0.000000,0.025000,Explicit diffusion schemes require stability checks boundary and grid assumptions shape results.
26,6.500000,0.393887,1.000000,0.393887,0.000000,0.025000,Explicit diffusion schemes require stability checks boundary and grid assumptions shape results.
27,6.750000,0.385192,1.000000,0.385192,0.000000,0.025000,Explicit diffusion schemes require stability checks boundary and grid assumptions shape results.
28,7.000000,0.376959,1.000000,0.376959,0.000000,0.025000,Explicit diffusion schemes require stability checks boundary and grid assumptions shape results.
29,7.250000,0.369155,1.000000,0.369155,0.000000,0.025000,Explicit diffusion schemes require stability checks boundary and grid assumptions shape results.
30,7.500000,0.361750,1.000000,0.361750,0.000000,0.025000,Explicit diffusion schemes require stability checks boundary and grid assumptions shape results.
31,7.750000,0.354717,1.000000,0.354717,0.000000,0.025000,Explicit diffusion schemes require stability checks boundary and grid assumptions shape results.
32,8.000000,0.348031,1.000000,0.348031,0.000000,0.025000,Explicit diffusion schemes require stability checks boundary and grid assumptions shape results.
33,8.250000,0.341669,1.000000,0.341669,0.000000,0.025000,Explicit diffusion schemes require stability checks boundary and grid assumptions shape results.
34,8.500000,0.335609,1.000000,0.335609,0.000000,0.025000,Explicit diffusion schemes require stability checks boundary and grid assumptions shape results.
35,8.750000,0.329831,1.000000,0.329831,0.000000,0.025000,Explicit diffusion schemes require stability checks boundary and grid assumptions shape results.
36,9.000000,0.324317,1.000000,0.324317,0.000000,0.025000,Explicit diffusion schemes require stability checks boundary and grid assumptions shape results.
37,9.250000,0.319051,1.000000,0.319051,0.000000,0.025000,Explicit diffusion schemes require stability checks boundary and grid assumptions shape results.
38,9.500000,0.314016,1.000000,0.314016,0.000000,0.025000,Explicit diffusion schemes require stability checks boundary and grid assumptions shape results.
39,9.750000,0.309198,1.000000,0.309198,0.000000,0.025000,Explicit diffusion schemes require stability checks boundary and grid assumptions shape results.
40,10.000000,0.304584,1.000000,0.304584,0.000000,0.025000,Explicit diffusion schemes require stability checks boundary and grid assumptions shape results.
41,10.250000,0.300161,1.000000,0.300161,0.000000,0.025000,Explicit diffusion schemes require stability checks boundary and grid assumptions shape results.
42,10.500000,0.295918,1.000000,0.295918,0.000000,0.025000,Explicit diffusion schemes require stability checks boundary and grid assumptions shape results.
43,10.750000,0.291844,1.000000,0.291844,0.000000,0.025000,Explicit diffusion schemes require stability checks boundary and grid assumptions shape results.
44,11.000000,0.287929,1.000000,0.287929,0.000000,0.025000,Explicit diffusion schemes require stability checks boundary and grid assumptions shape results.
45,11.250000,0.284164,1.000000,0.284164,0.000000,0.025000,Explicit diffusion schemes require stability checks boundary and grid assumptions shape results.
46,11.500000,0.280540,1.000000,0.280540,0.000000,0.025000,Explicit diffusion schemes require stability checks boundary and grid assumptions shape results.
47,11.750000,0.277049,1.000000,0.277049,0.000000,0.025000,Explicit diffusion schemes require stability checks boundary and grid assumptions shape results.
48,12.000000,0.273685,1.000000,0.273685,0.000000,0.025000,Explicit diffusion schemes require stability checks boundary and grid assumptions shape results.
49,12.250000,0.270439,1.000000,0.270439,0.000000,0.025000,Explicit diffusion schemes require stability checks boundary and grid assumptions shape results.
50,12.500000,0.267306,1.000000,0.267306,0.000000,0.025000,Explicit diffusion schemes require stability checks boundary and grid assumptions shape results.
51,12.750000,0.264279,1.000000,0.264279,0.000000,0.025000,Explicit diffusion schemes require stability checks boundary and grid assumptions shape results.
52,13.000000,0.261354,1.000000,0.261354,0.000000,0.025000,Explicit diffusion schemes require stability checks boundary and grid assumptions shape results.
53,13.250000,0.258524,1.000000,0.258524,0.000000,0.025000,Explicit diffusion schemes require stability checks boundary and grid assumptions shape results.
54,13.500000,0.255785,1.000000,0.255785,0.000000,0.025000,Explicit diffusion schemes require stability checks boundary and grid assumptions shape results.
55,13.750000,0.253132,1.000000,0.253132,0.000000,0.025000,Explicit diffusion schemes require stability checks boundary and grid assumptions shape results.
56,14.000000,0.250561,1.000000,0.250561,0.000000,0.025000,Explicit diffusion schemes require stability checks boundary and grid assumptions shape results.
57,14.250000,0.248068,1.000000,0.248068,0.000000,0.025000,Explicit diffusion schemes require stability checks boundary and grid assumptions shape results.
58,14.500000,0.245649,1.000000,0.245649,0.000000,0.025000,Explicit diffusion schemes require stability checks boundary and grid assumptions shape results.
59,14.750000,0.243300,1.000000,0.243300,0.000000,0.025000,Explicit diffusion schemes require stability checks boundary and grid assumptions shape results.
60,15.000000,0.241019,1.000000,0.241019,0.000000,0.025000,Explicit diffusion schemes require stability checks boundary and grid assumptions shape results.
61,15.250000,0.238803,1.000000,0.238803,0.000000,0.025000,Explicit diffusion schemes require stability checks boundary and grid assumptions shape results.
62,15.500000,0.236647,1.000000,0.236647,0.000000,0.025000,Explicit diffusion schemes require stability checks boundary and grid assumptions shape results.
