terms,partial_sum,absolute_error
1,1.0,3.0
2,1.75,2.25
3,2.3125,1.6875
4,2.734375,1.265625
5,3.05078125,0.94921875
6,3.2880859375,0.7119140625
7,3.466064453125,0.533935546875
8,3.59954833984375,0.40045166015625
9,3.6996612548828125,0.3003387451171875
10,3.7747459411621094,0.22525405883789062
11,3.831059455871582,0.16894054412841797
12,3.8732945919036865,0.12670540809631348
13,3.904970943927765,0.09502905607223511
14,3.9287282079458237,0.07127179205417633
15,3.9465461559593678,0.05345384404063225
16,3.959909616969526,0.040090383030474186
17,3.9699322127271444,0.03006778727285564
18,3.9774491595453583,0.02255084045464173
19,3.9830868696590187,0.016913130340981297
20,3.987315152244264,0.012684847755735973
