period,stock,inflow,demand,losses,raw_next,constrained_next,shortage,logic_active
0,40.000000,3.000000,7.000000,2.000000,34.000000,34.000000,0.000000,0
1,34.000000,3.000000,7.000000,1.700000,28.300000,28.300000,0.000000,0
2,28.300000,3.000000,7.000000,1.415000,22.885000,22.885000,0.000000,0
3,22.885000,3.000000,6.000000,1.144250,17.740750,17.740750,0.000000,1
4,17.740750,3.000000,5.000000,0.887038,13.853713,13.853713,0.000000,1
5,13.853713,3.000000,4.000000,0.692686,11.161027,11.161027,0.000000,1
6,11.161027,3.000000,3.000000,0.558051,9.602976,9.602976,0.000000,1
7,9.602976,3.000000,2.000000,0.480149,9.122827,9.122827,0.000000,1
8,9.122827,3.000000,1.000000,0.456141,9.666685,9.666685,0.000000,1
9,9.666685,3.000000,0.000000,0.483334,11.183351,11.183351,0.000000,1
10,11.183351,3.000000,0.000000,0.559168,13.624184,13.624184,0.000000,1
11,13.624184,3.000000,0.000000,0.681209,15.942974,15.942974,0.000000,1
12,15.942974,3.000000,0.000000,0.797149,18.145826,18.145826,0.000000,1
13,18.145826,3.000000,0.000000,0.907291,20.238534,20.238534,0.000000,1
14,20.238534,3.000000,0.000000,1.011927,22.226608,22.226608,0.000000,1
15,22.226608,3.000000,0.000000,1.111330,24.115277,24.115277,0.000000,1
16,24.115277,3.000000,0.000000,1.205764,25.909513,25.909513,0.000000,1
17,25.909513,3.000000,0.000000,1.295476,27.614038,27.614038,0.000000,0
18,27.614038,3.000000,0.000000,1.380702,29.233336,29.233336,0.000000,0
19,29.233336,3.000000,0.000000,1.461667,30.771669,30.771669,0.000000,0
20,30.771669,3.000000,0.000000,1.538583,32.233086,32.233086,0.000000,0
21,32.233086,3.000000,0.000000,1.611654,33.621431,33.621431,0.000000,0
22,33.621431,3.000000,0.000000,1.681072,34.940360,34.940360,0.000000,0
23,34.940360,3.000000,0.000000,1.747018,36.193342,36.193342,0.000000,0
24,36.193342,3.000000,0.000000,1.809667,37.383675,37.383675,0.000000,0
25,37.383675,3.000000,0.000000,1.869184,38.514491,38.514491,0.000000,0
26,38.514491,3.000000,0.000000,1.925725,39.588766,39.588766,0.000000,0
27,39.588766,3.000000,0.000000,1.979438,40.609328,40.609328,0.000000,0
28,40.609328,3.000000,0.000000,2.030466,41.578862,41.578862,0.000000,0
29,41.578862,3.000000,0.000000,2.078943,42.499919,42.499919,0.000000,0
30,42.499919,3.000000,0.000000,2.124996,43.374923,43.374923,0.000000,0
31,43.374923,3.000000,0.000000,2.168746,44.206177,44.206177,0.000000,0
32,44.206177,3.000000,0.000000,2.210309,44.995868,44.995868,0.000000,0
33,44.995868,3.000000,0.000000,2.249793,45.746074,45.746074,0.000000,0
34,45.746074,3.000000,0.000000,2.287304,46.458771,46.458771,0.000000,0
35,46.458771,3.000000,0.000000,2.322939,47.135832,47.135832,0.000000,0
36,47.135832,3.000000,0.000000,2.356792,47.779040,47.779040,0.000000,0
37,47.779040,3.000000,0.000000,2.388952,48.390088,48.390088,0.000000,0
38,48.390088,3.000000,0.000000,2.419504,48.970584,48.970584,0.000000,0
39,48.970584,3.000000,0.000000,2.448529,49.522055,49.522055,0.000000,0
40,49.522055,3.000000,0.000000,2.476103,50.045952,50.045952,0.000000,0
41,50.045952,3.000000,0.000000,2.502298,50.543654,50.543654,0.000000,0
42,50.543654,3.000000,0.000000,2.527183,51.016472,51.016472,0.000000,0
43,51.016472,3.000000,0.000000,2.550824,51.465648,51.465648,0.000000,0
44,51.465648,3.000000,0.000000,2.573282,51.892366,51.892366,0.000000,0
45,51.892366,3.000000,0.000000,2.594618,52.297747,52.297747,0.000000,0
46,52.297747,3.000000,0.000000,2.614887,52.682860,52.682860,0.000000,0
47,52.682860,3.000000,0.000000,2.634143,53.048717,53.048717,0.000000,0
48,53.048717,3.000000,0.000000,2.652436,53.396281,53.396281,0.000000,0
49,53.396281,3.000000,0.000000,2.669814,53.726467,53.726467,0.000000,0
50,53.726467,3.000000,0.000000,2.686323,54.040144,54.040144,0.000000,0
51,54.040144,3.000000,0.000000,2.702007,54.338137,54.338137,0.000000,0
52,54.338137,3.000000,0.000000,2.716907,54.621230,54.621230,0.000000,0
53,54.621230,3.000000,0.000000,2.731061,54.890168,54.890168,0.000000,0
54,54.890168,3.000000,0.000000,2.744508,55.145660,55.145660,0.000000,0
55,55.145660,3.000000,0.000000,2.757283,55.388377,55.388377,0.000000,0
56,55.388377,3.000000,0.000000,2.769419,55.618958,55.618958,0.000000,0
57,55.618958,3.000000,0.000000,2.780948,55.838010,55.838010,0.000000,0
58,55.838010,3.000000,0.000000,2.791901,56.046110,56.046110,0.000000,0
59,56.046110,3.000000,0.000000,2.802305,56.243804,56.243804,0.000000,0
60,56.243804,3.000000,0.000000,2.812190,56.431614,56.431614,0.000000,0
