scenario,run,demand,supply,reserve,available_supply,shortage,shortage_event
baseline,1,93.99320109,112.7297762,5.0,117.7297762,0.0,False
baseline,2,86.32512224,91.066286,5.0,96.066286,0.0,False
baseline,3,76.91406353,92.05549724,5.0,97.05549724,0.0,False
baseline,4,71.63496833,106.92667658,5.0,111.92667658,0.0,False
baseline,5,80.77265439,89.76101348,5.0,94.76101348,0.0,False
baseline,6,85.45069058,105.119919,5.0,110.119919,0.0,False
baseline,7,86.22346114,106.43072611,5.0,111.43072611,0.0,False
baseline,8,113.35092061,104.55339933,5.0,109.55339933,3.79752128,True
baseline,9,118.03188956,88.91051472,5.0,93.91051472,24.12137485,True
baseline,10,79.54746475,100.77059107,5.0,105.77059107,0.0,False
baseline,11,92.11060872,107.37564868,5.0,112.37564868,0.0,False
baseline,12,55.96335863,96.71105913,5.0,101.71105913,0.0,False
baseline,13,104.96666577,89.77173011,5.0,94.77173011,10.19493566,True
baseline,14,89.53675294,87.57197213,5.0,92.57197213,0.0,False
baseline,15,48.30269705,90.60980012,5.0,95.60980012,0.0,False
baseline,16,66.23434074,83.68788833,5.0,88.68788833,0.0,False
baseline,17,106.14424504,91.20834261,5.0,96.20834261,9.93590243,True
baseline,18,74.60018993,81.72374286,5.0,86.72374286,0.0,False
baseline,19,145.37313269,101.78871835,5.0,106.78871835,38.58441435,True
baseline,20,83.53650061,89.55766738,5.0,94.55766738,0.0,False
baseline,21,96.25284172,93.37657185,5.0,98.37657185,0.0,False
baseline,22,52.41099074,97.22343277,5.0,102.22343277,0.0,False
baseline,23,78.66800615,112.15873666,5.0,117.15873666,0.0,False
baseline,24,115.8889171,109.59773144,5.0,114.59773144,1.29118566,True
baseline,25,54.58492441,95.95003518,5.0,100.95003518,0.0,False
baseline,26,134.05384553,94.18936436,5.0,99.18936436,34.86448117,True
baseline,27,86.39989775,96.97499001,5.0,101.97499001,0.0,False
baseline,28,67.60116816,89.43413764,5.0,94.43413764,0.0,False
baseline,29,94.47242342,85.49059365,5.0,90.49059365,3.98182978,True
baseline,30,67.83336293,111.22930611,5.0,116.22930611,0.0,False
baseline,31,119.35730488,100.3194488,5.0,105.3194488,14.03785608,True
baseline,32,70.2752772,96.88993937,5.0,101.88993937,0.0,False
baseline,33,81.37402766,88.88627316,5.0,93.88627316,0.0,False
baseline,34,102.13913466,84.6483117,5.0,89.6483117,12.49082296,True
baseline,35,105.12511245,101.99396069,5.0,106.99396069,0.0,False
baseline,36,70.78297047,102.21914956,5.0,107.21914956,0.0,False
baseline,37,102.78235745,86.90907322,5.0,91.90907322,10.87328423,True
baseline,38,82.20482605,98.49369474,5.0,103.49369474,0.0,False
baseline,39,108.1315784,91.8334939,5.0,96.8334939,11.2980845,True
baseline,40,112.06597485,89.51560844,5.0,94.51560844,17.55036641,True
baseline,41,65.22798193,88.88428122,5.0,93.88428122,0.0,False
baseline,42,95.42200714,96.89943858,5.0,101.89943858,0.0,False
baseline,43,68.20620464,87.08044826,5.0,92.08044826,0.0,False
baseline,44,109.22256673,74.54561639,5.0,79.54561639,29.67695034,True
baseline,45,101.05171499,93.11681687,5.0,98.11681687,2.93489812,True
baseline,46,78.86567799,86.90366031,5.0,91.90366031,0.0,False
baseline,47,49.57499836,99.78890972,5.0,104.78890972,0.0,False
baseline,48,76.95751441,98.30309136,5.0,103.30309136,0.0,False
baseline,49,114.3239681,86.23710773,5.0,91.23710773,23.08686037,True
baseline,50,87.98337985,80.22650733,5.0,85.22650733,2.75687252,True
baseline,51,68.32998552,91.12524291,5.0,96.12524291,0.0,False
baseline,52,90.57801286,77.50853585,5.0,82.50853585,8.06947701,True
baseline,53,165.50152946,85.78441127,5.0,90.78441127,74.71711819,True
baseline,54,135.54677303,111.04389039,5.0,116.04389039,19.50288264,True
baseline,55,89.1797186,96.77753801,5.0,101.77753801,0.0,False
baseline,56,106.30065671,96.47966957,5.0,101.47966957,4.82098713,True
baseline,57,128.33962912,96.86879419,5.0,101.86879419,26.47083493,True
baseline,58,74.17661805,97.09074079,5.0,102.09074079,0.0,False
baseline,59,121.11222823,96.19122468,5.0,101.19122468,19.92100356,True
baseline,60,80.77245041,107.76750166,5.0,112.76750166,0.0,False
baseline,61,119.09957205,101.68203063,5.0,106.68203063,12.41754142,True
baseline,62,124.16072139,96.38030617,5.0,101.38030617,22.78041522,True
baseline,63,77.37127408,99.41396094,5.0,104.41396094,0.0,False
baseline,64,141.63703849,102.3832527,5.0,107.3832527,34.25378579,True
baseline,65,49.6035361,96.58804163,5.0,101.58804163,0.0,False
baseline,66,60.87526234,104.64111198,5.0,109.64111198,0.0,False
baseline,67,109.44349452,91.8307077,5.0,96.8307077,12.61278682,True
baseline,68,97.61466312,88.00308184,5.0,93.00308184,4.61158128,True
baseline,69,100.48538813,96.47650926,5.0,101.47650926,0.0,False
baseline,70,58.51499666,93.08332363,5.0,98.08332363,0.0,False
baseline,71,143.1170113,92.37994972,5.0,97.37994972,45.73706159,True
baseline,72,122.75425403,116.11173778,5.0,121.11173778,1.64251626,True
baseline,73,77.22099277,95.47635208,5.0,100.47635208,0.0,False
baseline,74,84.39516289,85.36945341,5.0,90.36945341,0.0,False
baseline,75,70.68312364,104.41557984,5.0,109.41557984,0.0,False
baseline,76,101.28486622,97.84839585,5.0,102.84839585,0.0,False
baseline,77,103.86140143,107.56383147,5.0,112.56383147,0.0,False
baseline,78,79.21458943,109.51123054,5.0,114.51123054,0.0,False
baseline,79,87.68437005,105.89464682,5.0,110.89464682,0.0,False
baseline,80,61.78740832,103.0494413,5.0,108.0494413,0.0,False
baseline,81,121.83270049,100.93673677,5.0,105.93673677,15.89596373,True
baseline,82,152.88970212,81.15151401,5.0,86.15151401,66.7381881,True
baseline,83,99.56258825,94.13658584,5.0,99.13658584,0.42600241,True
baseline,84,115.446923,81.45408816,5.0,86.45408816,28.99283483,True
baseline,85,109.59011562,88.91550562,5.0,93.91550562,15.67461001,True
baseline,86,114.08393206,92.48406709,5.0,97.48406709,16.59986497,True
baseline,87,100.35165421,101.511221,5.0,106.511221,0.0,False
baseline,88,105.53007583,102.90725332,5.0,107.90725332,0.0,False
baseline,89,66.53164131,93.50864592,5.0,98.50864592,0.0,False
baseline,90,69.7899631,99.14219689,5.0,104.14219689,0.0,False
baseline,91,104.73933447,96.08421215,5.0,101.08421215,3.65512232,True
baseline,92,65.20013858,92.04104487,5.0,97.04104487,0.0,False
baseline,93,74.25087661,98.56926862,5.0,103.56926862,0.0,False
baseline,94,64.15826342,91.92210577,5.0,96.92210577,0.0,False
baseline,95,94.95614855,104.31487347,5.0,109.31487347,0.0,False
baseline,96,75.05700397,86.90311189,5.0,91.90311189,0.0,False
baseline,97,79.56353499,115.17079821,5.0,120.17079821,0.0,False
baseline,98,66.83301636,86.77046248,5.0,91.77046248,0.0,False
baseline,99,74.23918326,99.89415869,5.0,104.89415869,0.0,False
baseline,100,67.36843272,92.51743687,5.0,97.51743687,0.0,False
baseline,101,165.4868054,95.87461479,5.0,100.87461479,64.61219061,True
baseline,102,76.7313368,94.14501481,5.0,99.14501481,0.0,False
baseline,103,96.46206557,104.7702923,5.0,109.7702923,0.0,False
baseline,104,105.34843804,89.81931206,5.0,94.81931206,10.52912598,True
baseline,105,104.20940533,102.20096808,5.0,107.20096808,0.0,False
baseline,106,101.12915505,97.50376252,5.0,102.50376252,0.0,False
baseline,107,106.00784679,103.52871748,5.0,108.52871748,0.0,False
baseline,108,68.13472613,106.80892549,5.0,111.80892549,0.0,False
baseline,109,122.00704323,96.45263983,5.0,101.45263983,20.5544034,True
baseline,110,78.82945866,111.37889857,5.0,116.37889857,0.0,False
baseline,111,82.40365181,106.07099124,5.0,111.07099124,0.0,False
baseline,112,87.66205374,97.75663137,5.0,102.75663137,0.0,False
baseline,113,78.71204194,97.7155661,5.0,102.7155661,0.0,False
baseline,114,113.93175558,94.4394083,5.0,99.4394083,14.49234728,True
baseline,115,79.97119971,98.11736508,5.0,103.11736508,0.0,False
baseline,116,90.9154716,110.08379145,5.0,115.08379145,0.0,False
baseline,117,120.29935344,98.33734261,5.0,103.33734261,16.96201083,True
baseline,118,71.38815545,92.03599278,5.0,97.03599278,0.0,False
baseline,119,80.50295232,82.97627998,5.0,87.97627998,0.0,False
baseline,120,83.65089195,89.4057348,5.0,94.4057348,0.0,False
baseline,121,105.23742096,96.75007122,5.0,101.75007122,3.48734974,True
baseline,122,65.57539786,94.97678953,5.0,99.97678953,0.0,False
baseline,123,75.96874671,105.33112017,5.0,110.33112017,0.0,False
baseline,124,91.79477127,114.0232667,5.0,119.0232667,0.0,False
baseline,125,108.24804672,92.54783943,5.0,97.54783943,10.70020729,True
baseline,126,68.55990229,105.2478711,5.0,110.2478711,0.0,False
baseline,127,75.42542386,90.75650893,5.0,95.75650893,0.0,False
baseline,128,94.02535639,102.12031059,5.0,107.12031059,0.0,False
baseline,129,98.39274259,99.76012467,5.0,104.76012467,0.0,False
baseline,130,60.20354674,97.38794611,5.0,102.38794611,0.0,False
baseline,131,63.50594098,100.18242714,5.0,105.18242714,0.0,False
baseline,132,62.00608614,103.28602169,5.0,108.28602169,0.0,False
baseline,133,78.05932794,99.67726451,5.0,104.67726451,0.0,False
baseline,134,110.99755683,89.47531333,5.0,94.47531333,16.5222435,True
baseline,135,102.04015136,101.46092495,5.0,106.46092495,0.0,False
baseline,136,100.07973283,83.95163454,5.0,88.95163454,11.12809829,True
baseline,137,115.65450569,110.05981254,5.0,115.05981254,0.59469316,True
baseline,138,76.91219179,88.05564112,5.0,93.05564112,0.0,False
baseline,139,67.23082665,88.06259039,5.0,93.06259039,0.0,False
baseline,140,128.47058729,98.62143832,5.0,103.62143832,24.84914897,True
baseline,141,113.74452225,86.65458451,5.0,91.65458451,22.08993773,True
baseline,142,85.46910847,100.35463445,5.0,105.35463445,0.0,False
baseline,143,143.47676873,94.71717294,5.0,99.71717294,43.75959578,True
baseline,144,88.08712728,105.3087567,5.0,110.3087567,0.0,False
baseline,145,66.1489099,106.61564757,5.0,111.61564757,0.0,False
baseline,146,114.79640055,90.47666145,5.0,95.47666145,19.31973909,True
baseline,147,78.42114711,103.08703985,5.0,108.08703985,0.0,False
baseline,148,102.85901222,102.8599024,5.0,107.8599024,0.0,False
baseline,149,89.52605591,106.35321809,5.0,111.35321809,0.0,False
baseline,150,104.72289659,104.77547511,5.0,109.77547511,0.0,False
baseline,151,82.0123568,98.50119651,5.0,103.50119651,0.0,False
baseline,152,143.84450822,79.5346634,5.0,84.5346634,59.30984482,True
