scenario,seed,step,adoption_share,adopted_count
baseline,1,0,0.08,8
baseline,1,1,0.11,11
baseline,1,2,0.15,15
baseline,1,3,0.19,19
baseline,1,4,0.2,20
baseline,1,5,0.21,21
baseline,1,6,0.22,22
baseline,1,7,0.24,24
baseline,1,8,0.25,25
baseline,1,9,0.26,26
baseline,1,10,0.27,27
baseline,1,11,0.29,29
baseline,1,12,0.3,30
baseline,1,13,0.31,31
baseline,1,14,0.32,32
baseline,1,15,0.33,33
baseline,1,16,0.34,34
baseline,1,17,0.34,34
baseline,1,18,0.34,34
baseline,1,19,0.34,34
baseline,1,20,0.34,34
baseline,1,21,0.34,34
baseline,1,22,0.34,34
baseline,1,23,0.34,34
baseline,1,24,0.34,34
baseline,1,25,0.34,34
baseline,1,26,0.34,34
baseline,1,27,0.34,34
baseline,1,28,0.34,34
baseline,1,29,0.34,34
baseline,1,30,0.34,34
baseline,2,0,0.08,8
baseline,2,1,0.13,13
baseline,2,2,0.14,14
baseline,2,3,0.15,15
baseline,2,4,0.16,16
baseline,2,5,0.17,17
baseline,2,6,0.17,17
baseline,2,7,0.17,17
baseline,2,8,0.17,17
baseline,2,9,0.17,17
baseline,2,10,0.17,17
baseline,2,11,0.17,17
baseline,2,12,0.17,17
baseline,2,13,0.17,17
baseline,2,14,0.17,17
baseline,2,15,0.17,17
baseline,2,16,0.17,17
baseline,2,17,0.17,17
baseline,2,18,0.17,17
baseline,2,19,0.17,17
baseline,2,20,0.17,17
baseline,2,21,0.17,17
baseline,2,22,0.17,17
baseline,2,23,0.17,17
baseline,2,24,0.17,17
baseline,2,25,0.17,17
baseline,2,26,0.17,17
baseline,2,27,0.17,17
baseline,2,28,0.17,17
baseline,2,29,0.17,17
baseline,2,30,0.17,17
baseline,3,0,0.08,8
baseline,3,1,0.1,10
baseline,3,2,0.12,12
baseline,3,3,0.14,14
baseline,3,4,0.16,16
baseline,3,5,0.17,17
baseline,3,6,0.18,18
baseline,3,7,0.19,19
baseline,3,8,0.19,19
baseline,3,9,0.19,19
baseline,3,10,0.19,19
