"scenario","step","adoption_share"
"baseline",0,0.08
"high_threshold",0,0.08
"low_threshold",0,0.08
"baseline",1,0.104
"high_threshold",1,0.0875
"low_threshold",1,0.25925
"baseline",2,0.1265
"high_threshold",2,0.0925
"low_threshold",2,0.4445
"baseline",3,0.14725
"high_threshold",3,0.09475
"low_threshold",3,0.58475
"baseline",4,0.16325
"high_threshold",4,0.09625
"low_threshold",4,0.68875
"baseline",5,0.1765
"high_threshold",5,0.09675
"low_threshold",5,0.769
"baseline",6,0.188
"high_threshold",6,0.097
"low_threshold",6,0.832
"baseline",7,0.1985
"high_threshold",7,0.0975
"low_threshold",7,0.87775
"baseline",8,0.20775
"high_threshold",8,0.0975
"low_threshold",8,0.9135
"baseline",9,0.216
"high_threshold",9,0.0975
"low_threshold",9,0.938
"baseline",10,0.224
"high_threshold",10,0.0975
"low_threshold",10,0.9565
"baseline",11,0.23075
"high_threshold",11,0.0975
"low_threshold",11,0.96975
"baseline",12,0.2355
"high_threshold",12,0.0975
"low_threshold",12,0.9805
"baseline",13,0.23925
"high_threshold",13,0.0975
"low_threshold",13,0.988
"baseline",14,0.2425
"high_threshold",14,0.0975
"low_threshold",14,0.99275
"baseline",15,0.2455
"high_threshold",15,0.0975
"low_threshold",15,0.996
"baseline",16,0.24775
"high_threshold",16,0.0975
"low_threshold",16,0.9975
"baseline",17,0.24975
"high_threshold",17,0.0975
"low_threshold",17,0.99925
"baseline",18,0.2515
"high_threshold",18,0.0975
"low_threshold",18,1
"baseline",19,0.25275
"high_threshold",19,0.0975
"low_threshold",19,1
"baseline",20,0.254
"high_threshold",20,0.0975
"low_threshold",20,1
"baseline",21,0.255
"high_threshold",21,0.0975
"low_threshold",21,1
"baseline",22,0.25575
"high_threshold",22,0.0975
"low_threshold",22,1
"baseline",23,0.2565
"high_threshold",23,0.0975
"low_threshold",23,1
"baseline",24,0.25725
"high_threshold",24,0.0975
"low_threshold",24,1
"baseline",25,0.25775
"high_threshold",25,0.0975
"low_threshold",25,1
"baseline",26,0.2585
"high_threshold",26,0.0975
"low_threshold",26,1
"baseline",27,0.259
"high_threshold",27,0.0975
"low_threshold",27,1
"baseline",28,0.2595
"high_threshold",28,0.0975
"low_threshold",28,1
"baseline",29,0.26
"high_threshold",29,0.0975
"low_threshold",29,1
"baseline",30,0.26
"high_threshold",30,0.0975
"low_threshold",30,1
