"x","y","output","feasible","warning"
0,0,0,TRUE,""
2,0,6,TRUE,""
4,0,12,TRUE,""
6,0,18,TRUE,""
8,0,24,TRUE,""
10,0,30,TRUE,""
0,2,4,TRUE,""
2,2,12,TRUE,""
4,2,20,TRUE,""
6,2,28,TRUE,""
8,2,36,TRUE,""
10,2,44,FALSE,"Input combination is outside the feasible region."
0,4,8,TRUE,""
2,4,18,TRUE,""
4,4,28,TRUE,""
6,4,38,TRUE,""
8,4,48,FALSE,"Input combination is outside the feasible region."
10,4,58,FALSE,"Input combination is outside the feasible region."
0,6,12,TRUE,""
2,6,24,TRUE,""
4,6,36,TRUE,""
6,6,48,FALSE,"Input combination is outside the feasible region."
8,6,60,FALSE,"Input combination is outside the feasible region."
10,6,72,FALSE,"Input combination is outside the feasible region."
0,8,16,TRUE,""
2,8,30,TRUE,""
4,8,44,FALSE,"Input combination is outside the feasible region."
6,8,58,FALSE,"Input combination is outside the feasible region."
8,8,72,FALSE,"Input combination is outside the feasible region."
10,8,86,FALSE,"Input combination is outside the feasible region."
0,10,20,TRUE,""
2,10,36,FALSE,"Input combination is outside the feasible region."
4,10,52,FALSE,"Input combination is outside the feasible region."
6,10,68,FALSE,"Input combination is outside the feasible region."
8,10,84,FALSE,"Input combination is outside the feasible region."
10,10,100,FALSE,"Input combination is outside the feasible region."
