scenario,period,stock,inflow,demand,losses,shortage,capacity,stock_margin
baseline,0,80.0,8.0,6.0,1.2,0.0,100.0,0.8
baseline,1,80.8,8.0,6.0,1.212,0.0,100.0,0.808
baseline,2,81.588,8.0,6.0,1.22382,0.0,100.0,0.81588
baseline,3,82.36418,8.0,6.0,1.2354627,0.0,100.0,0.8236418
baseline,4,83.1287173,8.0,6.0,1.24693076,0.0,100.0,0.83128717
baseline,5,83.88178654,8.0,6.0,1.2582268,0.0,100.0,0.83881787
baseline,6,84.62355974,8.0,6.0,1.2693534,0.0,100.0,0.8462356
baseline,7,85.35420635,8.0,6.0,1.2803131,0.0,100.0,0.85354206
baseline,8,86.07389325,8.0,6.0,1.2911084,0.0,100.0,0.86073893
baseline,9,86.78278485,8.0,6.0,1.30174177,0.0,100.0,0.86782785
baseline,10,87.48104308,8.0,6.0,1.31221565,0.0,100.0,0.87481043
baseline,11,88.16882743,8.0,6.0,1.32253241,0.0,100.0,0.88168827
baseline,12,88.84629502,8.0,6.0,1.33269443,0.0,100.0,0.88846295
baseline,13,89.5136006,8.0,6.0,1.34270401,0.0,100.0,0.89513601
baseline,14,90.17089659,8.0,6.0,1.35256345,0.0,100.0,0.90170897
baseline,15,90.81833314,8.0,6.0,1.362275,0.0,100.0,0.90818333
baseline,16,91.45605814,8.0,6.0,1.37184087,0.0,100.0,0.91456058
baseline,17,92.08421727,8.0,6.0,1.38126326,0.0,100.0,0.92084217
baseline,18,92.70295401,8.0,6.0,1.39054431,0.0,100.0,0.92702954
baseline,19,93.3124097,8.0,6.0,1.39968615,0.0,100.0,0.9331241
baseline,20,93.91272355,8.0,6.0,1.40869085,0.0,100.0,0.93912724
baseline,21,94.5040327,8.0,6.0,1.41756049,0.0,100.0,0.94504033
baseline,22,95.08647221,8.0,6.0,1.42629708,0.0,100.0,0.95086472
baseline,23,95.66017513,8.0,6.0,1.43490263,0.0,100.0,0.95660175
baseline,24,96.2252725,8.0,6.0,1.44337909,0.0,100.0,0.96225273
baseline,25,96.78189341,8.0,6.0,1.4517284,0.0,100.0,0.96781893
baseline,26,97.33016501,8.0,6.0,1.45995248,0.0,100.0,0.97330165
baseline,27,97.87021254,8.0,6.0,1.46805319,0.0,100.0,0.97870213
baseline,28,98.40215935,8.0,6.0,1.47603239,0.0,100.0,0.98402159
baseline,29,98.92612696,8.0,6.0,1.4838919,0.0,100.0,0.98926127
baseline,30,99.44223505,8.0,6.0,1.49163353,0.0,100.0,0.99442235
