rule,model_structure,x,derivative_value,component_a,component_b,warning
sum_rule,total_driver = population + affluence,0.0,1.04,1.0,0.04,
product_rule,impact = population * affluence,0.0,6.0,2.0,4.0,
quotient_rule,resource_per_capita = resource / population,0.0,-0.2,-0.1,-0.1,
chain_rule,forcing = forcing(concentration(emissions(t))),0.0,0.014423076923076924,0.038461538461538464,0.375,
sum_rule,total_driver = population + affluence,5.0,1.09547793309905,1.0512710963760241,0.04420683672302591,
product_rule,impact = population * affluence,5.0,6.971005456369699,2.3236684854565666,4.647336970913133,
quotient_rule,resource_per_capita = resource / population,5.0,-0.18548973777763922,-0.09512294245007138,-0.09036679532756782,
chain_rule,forcing = forcing(concentration(emissions(t))),5.0,0.01446327175358449,0.035781883094367355,0.4042065565817368,
sum_rule,total_driver = population + affluence,10.0,1.1540270284020546,1.1051709180756477,0.0488561103264068,
product_rule,impact = population * affluence,10.0,8.09915284545602,2.6997176151520064,5.399435230304014,
quotient_rule,resource_per_capita = resource / population,10.0,-0.1719191094268323,-0.09048374180359595,-0.08143536762323636,
chain_rule,forcing = forcing(concentration(emissions(t))),10.0,0.014500763101375826,0.033282459908278224,0.43568784102310615,
sum_rule,total_driver = population + affluence,20.0,1.2810757460658206,1.2214027581601699,0.059672987905650815,
product_rule,impact = population * affluence,20.0,10.932712802343055,3.644237600781018,7.288475201562036,
quotient_rule,resource_per_capita = resource / population,20.0,-0.14737153555403676,-0.0818730753077982,-0.06549846024623855,
chain_rule,forcing = forcing(concentration(emissions(t))),20.0,0.014568301472977363,0.02877990180150917,0.5061970528410011,
