scenario,step,time,state,rate,capacity,interpretation
baseline,0,0.0,10.0,0.2,100.0,Basic bounded continuous-change trajectory
baseline,1,0.1,10.18,0.2,100.0,Basic bounded continuous-change trajectory
baseline,2,0.2,10.36287352,0.2,100.0,Basic bounded continuous-change trajectory
baseline,3,0.3,10.5486531609,0.2,100.0,Basic bounded continuous-change trajectory
baseline,4,0.4,10.7373714074,0.2,100.0,Basic bounded continuous-change trajectory
baseline,5,0.5,10.9290606066,0.2,100.0,Basic bounded continuous-change trajectory
baseline,6,0.6,11.1237529456,0.2,100.0,Basic bounded continuous-change trajectory
baseline,7,0.7,11.3214804286,0.2,100.0,Basic bounded continuous-change trajectory
baseline,8,0.8,11.5222748533,0.2,100.0,Basic bounded continuous-change trajectory
baseline,9,0.9,11.7261677868,0.2,100.0,Basic bounded continuous-change trajectory
baseline,10,1.0,11.9331905404,0.2,100.0,Basic bounded continuous-change trajectory
baseline,11,1.1,12.1433741439,0.2,100.0,Basic bounded continuous-change trajectory
baseline,12,1.2,12.3567493196,0.2,100.0,Basic bounded continuous-change trajectory
baseline,13,1.3,12.5733464553,0.2,100.0,Basic bounded continuous-change trajectory
baseline,14,1.4,12.7931955762,0.2,100.0,Basic bounded continuous-change trajectory
baseline,15,1.5,13.0163263171,0.2,100.0,Basic bounded continuous-change trajectory
baseline,16,1.6,13.2427678933,0.2,100.0,Basic bounded continuous-change trajectory
baseline,17,1.7,13.4725490708,0.2,100.0,Basic bounded continuous-change trajectory
baseline,18,1.8,13.7056981366,0.2,100.0,Basic bounded continuous-change trajectory
baseline,19,1.9,13.942242867,0.2,100.0,Basic bounded continuous-change trajectory
baseline,20,2.0,14.1822104971,0.2,100.0,Basic bounded continuous-change trajectory
baseline,21,2.1,14.4256276882,0.2,100.0,Basic bounded continuous-change trajectory
baseline,22,2.2,14.6725204951,0.2,100.0,Basic bounded continuous-change trajectory
baseline,23,2.3,14.9229143334,0.2,100.0,Basic bounded continuous-change trajectory
baseline,24,2.4,15.1768339457,0.2,100.0,Basic bounded continuous-change trajectory
baseline,25,2.5,15.4343033669,0.2,100.0,Basic bounded continuous-change trajectory
baseline,26,2.6,15.6953458901,0.2,100.0,Basic bounded continuous-change trajectory
baseline,27,2.7,15.9599840314,0.2,100.0,Basic bounded continuous-change trajectory
baseline,28,2.8,16.228239494,0.2,100.0,Basic bounded continuous-change trajectory
baseline,29,2.9,16.5001331324,0.2,100.0,Basic bounded continuous-change trajectory
baseline,30,3.0,16.7756849164,0.2,100.0,Basic bounded continuous-change trajectory
baseline,31,3.1,17.0549138938,0.2,100.0,Basic bounded continuous-change trajectory
baseline,32,3.2,17.3378381541,0.2,100.0,Basic bounded continuous-change trajectory
baseline,33,3.3,17.6244747909,0.2,100.0,Basic bounded continuous-change trajectory
baseline,34,3.4,17.9148398643,0.2,100.0,Basic bounded continuous-change trajectory
baseline,35,3.5,18.2089483642,0.2,100.0,Basic bounded continuous-change trajectory
baseline,36,3.6,18.5068141713,0.2,100.0,Basic bounded continuous-change trajectory
baseline,37,3.7,18.8084500206,0.2,100.0,Basic bounded continuous-change trajectory
baseline,38,3.8,19.1138674626,0.2,100.0,Basic bounded continuous-change trajectory
baseline,39,3.9,19.423076826,0.2,100.0,Basic bounded continuous-change trajectory
baseline,40,4.0,19.7360871798,0.2,100.0,Basic bounded continuous-change trajectory
baseline,41,4.1,20.052906296,0.2,100.0,Basic bounded continuous-change trajectory
baseline,42,4.2,20.3735406117,0.2,100.0,Basic bounded continuous-change trajectory
baseline,43,4.3,20.6979951925,0.2,100.0,Basic bounded continuous-change trajectory
baseline,44,4.4,21.0262736954,0.2,100.0,Basic bounded continuous-change trajectory
baseline,45,4.5,21.3583783322,0.2,100.0,Basic bounded continuous-change trajectory
baseline,46,4.6,21.6943098338,0.2,100.0,Basic bounded continuous-change trajectory
baseline,47,4.7,22.0340674147,0.2,100.0,Basic bounded continuous-change trajectory
baseline,48,4.8,22.3776487376,0.2,100.0,Basic bounded continuous-change trajectory
baseline,49,4.9,22.7250498797,0.2,100.0,Basic bounded continuous-change trajectory
baseline,50,5.0,23.0762652989,0.2,100.0,Basic bounded continuous-change trajectory
baseline,51,5.1,23.4312878009,0.2,100.0,Basic bounded continuous-change trajectory
baseline,52,5.2,23.7901085073,0.2,100.0,Basic bounded continuous-change trajectory
baseline,53,5.3,24.1527168249,0.2,100.0,Basic bounded continuous-change trajectory
baseline,54,5.4,24.5191004154,0.2,100.0,Basic bounded continuous-change trajectory
baseline,55,5.5,24.8892451666,0.2,100.0,Basic bounded continuous-change trajectory
baseline,56,5.6,25.263135165,0.2,100.0,Basic bounded continuous-change trajectory
baseline,57,5.7,25.6407526686,0.2,100.0,Basic bounded continuous-change trajectory
baseline,58,5.8,26.0220780825,0.2,100.0,Basic bounded continuous-change trajectory
baseline,59,5.9,26.4070899346,0.2,100.0,Basic bounded continuous-change trajectory
baseline,60,6.0,26.7957648535,0.2,100.0,Basic bounded continuous-change trajectory
baseline,61,6.1,27.1880775478,0.2,100.0,Basic bounded continuous-change trajectory
baseline,62,6.2,27.5840007866,0.2,100.0,Basic bounded continuous-change trajectory
baseline,63,6.3,27.9835053824,0.2,100.0,Basic bounded continuous-change trajectory
baseline,64,6.4,28.3865601754,0.2,100.0,Basic bounded continuous-change trajectory
baseline,65,6.5,28.7931320192,0.2,100.0,Basic bounded continuous-change trajectory
baseline,66,6.6,29.2031857693,0.2,100.0,Basic bounded continuous-change trajectory
baseline,67,6.7,29.6166842728,0.2,100.0,Basic bounded continuous-change trajectory
baseline,68,6.8,30.0335883608,0.2,100.0,Basic bounded continuous-change trajectory
baseline,69,6.9,30.4538568421,0.2,100.0,Basic bounded continuous-change trajectory
baseline,70,7.0,30.8774464996,0.2,100.0,Basic bounded continuous-change trajectory
baseline,71,7.1,31.3043120891,0.2,100.0,Basic bounded continuous-change trajectory
baseline,72,7.2,31.7344063399,0.2,100.0,Basic bounded continuous-change trajectory
baseline,73,7.3,32.1676799575,0.2,100.0,Basic bounded continuous-change trajectory
baseline,74,7.4,32.6040816299,0.2,100.0,Basic bounded continuous-change trajectory
baseline,75,7.5,33.0435580347,0.2,100.0,Basic bounded continuous-change trajectory
baseline,76,7.6,33.4860538499,0.2,100.0,Basic bounded continuous-change trajectory
baseline,77,7.7,33.9315117664,0.2,100.0,Basic bounded continuous-change trajectory
baseline,78,7.8,34.3798725036,0.2,100.0,Basic bounded continuous-change trajectory
baseline,79,7.9,34.831074827,0.2,100.0,Basic bounded continuous-change trajectory
baseline,80,8.0,35.2850555688,0.2,100.0,Basic bounded continuous-change trajectory
baseline,81,8.1,35.7417496509,0.2,100.0,Basic bounded continuous-change trajectory
baseline,82,8.2,36.2010901102,0.2,100.0,Basic bounded continuous-change trajectory
baseline,83,8.3,36.6630081274,0.2,100.0,Basic bounded continuous-change trajectory
baseline,84,8.4,37.127433057,0.2,100.0,Basic bounded continuous-change trajectory
baseline,85,8.5,37.594292461,0.2,100.0,Basic bounded continuous-change trajectory
baseline,86,8.6,38.0635121451,0.2,100.0,Basic bounded continuous-change trajectory
baseline,87,8.7,38.5350161967,0.2,100.0,Basic bounded continuous-change trajectory
baseline,88,8.8,39.0087270259,0.2,100.0,Basic bounded continuous-change trajectory
baseline,89,8.9,39.4845654096,0.2,100.0,Basic bounded continuous-change trajectory
baseline,90,9.0,39.9624505367,0.2,100.0,Basic bounded continuous-change trajectory
baseline,91,9.1,40.4423000569,0.2,100.0,Basic bounded continuous-change trajectory
baseline,92,9.2,40.9240301312,0.2,100.0,Basic bounded continuous-change trajectory
baseline,93,9.3,41.4075554854,0.2,100.0,Basic bounded continuous-change trajectory
baseline,94,9.4,41.8927894649,0.2,100.0,Basic bounded continuous-change trajectory
baseline,95,9.5,42.3796440923,0.2,100.0,Basic bounded continuous-change trajectory
baseline,96,9.6,42.8680301275,0.2,100.0,Basic bounded continuous-change trajectory
baseline,97,9.7,43.3578571286,0.2,100.0,Basic bounded continuous-change trajectory
baseline,98,9.8,43.8490335163,0.2,100.0,Basic bounded continuous-change trajectory
baseline,99,9.9,44.3414666385,0.2,100.0,Basic bounded continuous-change trajectory
baseline,100,10.0,44.8350628386,0.2,100.0,Basic bounded continuous-change trajectory
baseline,101,10.1,45.3297275234,0.2,100.0,Basic bounded continuous-change trajectory
baseline,102,10.2,45.8253652344,0.2,100.0,Basic bounded continuous-change trajectory
baseline,103,10.3,46.3218797193,0.2,100.0,Basic bounded continuous-change trajectory
baseline,104,10.4,46.8191740055,0.2,100.0,Basic bounded continuous-change trajectory
baseline,105,10.5,47.3171504747,0.2,100.0,Basic bounded continuous-change trajectory
baseline,106,10.6,47.8157109384,0.2,100.0,Basic bounded continuous-change trajectory
baseline,107,10.7,48.3147567147,0.2,100.0,Basic bounded continuous-change trajectory
baseline,108,10.8,48.8141887057,0.2,100.0,Basic bounded continuous-change trajectory
baseline,109,10.9,49.313907476,0.2,100.0,Basic bounded continuous-change trajectory
baseline,110,11.0,49.8138133314,0.2,100.0,Basic bounded continuous-change trajectory
baseline,111,11.1,50.3138063983,0.2,100.0,Basic bounded continuous-change trajectory
baseline,112,11.2,50.8137867034,0.2,100.0,Basic bounded continuous-change trajectory
baseline,113,11.3,51.3136542537,0.2,100.0,Basic bounded continuous-change trajectory
baseline,114,11.4,51.8133091162,0.2,100.0,Basic bounded continuous-change trajectory
baseline,115,11.5,52.3126514982,0.2,100.0,Basic bounded continuous-change trajectory
baseline,116,11.6,52.8115818268,0.2,100.0,Basic bounded continuous-change trajectory
baseline,117,11.7,53.3100008283,0.2,100.0,Basic bounded continuous-change trajectory
baseline,118,11.8,53.8078096072,0.2,100.0,Basic bounded continuous-change trajectory
baseline,119,11.9,54.3049097244,0.2,100.0,Basic bounded continuous-change trajectory
baseline,120,12.0,54.8012032749,0.2,100.0,Basic bounded continuous-change trajectory
baseline,121,12.1,55.2965929643,0.2,100.0,Basic bounded continuous-change trajectory
baseline,122,12.2,55.7909821849,0.2,100.0,Basic bounded continuous-change trajectory
baseline,123,12.3,56.28427509,0.2,100.0,Basic bounded continuous-change trajectory
baseline,124,12.4,56.7763766673,0.2,100.0,Basic bounded continuous-change trajectory
baseline,125,12.5,57.2671928111,0.2,100.0,Basic bounded continuous-change trajectory
baseline,126,12.6,57.7566303929,0.2,100.0,Basic bounded continuous-change trajectory
baseline,127,12.7,58.2445973298,0.2,100.0,Basic bounded continuous-change trajectory
baseline,128,12.8,58.7310026528,0.2,100.0,Basic bounded continuous-change trajectory
baseline,129,12.9,59.2157565714,0.2,100.0,Basic bounded continuous-change trajectory
baseline,130,13.0,59.6987705375,0.2,100.0,Basic bounded continuous-change trajectory
baseline,131,13.1,60.1799573075,0.2,100.0,Basic bounded continuous-change trajectory
baseline,132,13.2,60.6592310014,0.2,100.0,Basic bounded continuous-change trajectory
baseline,133,13.3,61.1365071603,0.2,100.0,Basic bounded continuous-change trajectory
baseline,134,13.4,61.6117028019,0.2,100.0,Basic bounded continuous-change trajectory
baseline,135,13.5,62.0847364735,0.2,100.0,Basic bounded continuous-change trajectory
baseline,136,13.6,62.5555283024,0.2,100.0,Basic bounded continuous-change trajectory
baseline,137,13.7,63.0240000442,0.2,100.0,Basic bounded continuous-change trajectory
baseline,138,13.8,63.4900751288,0.2,100.0,Basic bounded continuous-change trajectory
baseline,139,13.9,63.9536787034,0.2,100.0,Basic bounded continuous-change trajectory
baseline,140,14.0,64.4147376735,0.2,100.0,Basic bounded continuous-change trajectory
baseline,141,14.1,64.8731807411,0.2,100.0,Basic bounded continuous-change trajectory
baseline,142,14.2,65.32893844,0.2,100.0,Basic bounded continuous-change trajectory
baseline,143,14.3,65.7819431693,0.2,100.0,Basic bounded continuous-change trajectory
baseline,144,14.4,66.2321292232,0.2,100.0,Basic bounded continuous-change trajectory
baseline,145,14.5,66.6794328194,0.2,100.0,Basic bounded continuous-change trajectory
baseline,146,14.6,67.1237921236,0.2,100.0,Basic bounded continuous-change trajectory
baseline,147,14.7,67.5651472722,0.2,100.0,Basic bounded continuous-change trajectory
baseline,148,14.8,68.0034403925,0.2,100.0,Basic bounded continuous-change trajectory
baseline,149,14.9,68.4386156193,0.2,100.0,Basic bounded continuous-change trajectory
baseline,150,15.0,68.8706191101,0.2,100.0,Basic bounded continuous-change trajectory
baseline,151,15.1,69.299399057,0.2,100.0,Basic bounded continuous-change trajectory
baseline,152,15.2,69.7249056962,0.2,100.0,Basic bounded continuous-change trajectory
baseline,153,15.3,70.1470913152,0.2,100.0,Basic bounded continuous-change trajectory
baseline,154,15.4,70.5659102576,0.2,100.0,Basic bounded continuous-change trajectory
baseline,155,15.5,70.9813189246,0.2,100.0,Basic bounded continuous-change trajectory
baseline,156,15.6,71.3932757758,0.2,100.0,Basic bounded continuous-change trajectory
baseline,157,15.7,71.8017413262,0.2,100.0,Basic bounded continuous-change trajectory
baseline,158,15.8,72.2066781412,0.2,100.0,Basic bounded continuous-change trajectory
baseline,159,15.9,72.6080508304,0.2,100.0,Basic bounded continuous-change trajectory
baseline,160,16.0,73.0058260379,0.2,100.0,Basic bounded continuous-change trajectory
baseline,161,16.1,73.3999724316,0.2,100.0,Basic bounded continuous-change trajectory
baseline,162,16.2,73.7904606896,0.2,100.0,Basic bounded continuous-change trajectory
baseline,163,16.3,74.1772634856,0.2,100.0,Basic bounded continuous-change trajectory
baseline,164,16.4,74.5603554717,0.2,100.0,Basic bounded continuous-change trajectory
baseline,165,16.5,74.9397132595,0.2,100.0,Basic bounded continuous-change trajectory
baseline,166,16.6,75.3153154,0.2,100.0,Basic bounded continuous-change trajectory
baseline,167,16.7,75.6871423613,0.2,100.0,Basic bounded continuous-change trajectory
baseline,168,16.8,76.0551765047,0.2,100.0,Basic bounded continuous-change trajectory
baseline,169,16.9,76.4194020602,0.2,100.0,Basic bounded continuous-change trajectory
baseline,170,17.0,76.7798050992,0.2,100.0,Basic bounded continuous-change trajectory
baseline,171,17.1,77.1363735069,0.2,100.0,Basic bounded continuous-change trajectory
baseline,172,17.2,77.4890969535,0.2,100.0,Basic bounded continuous-change trajectory
baseline,173,17.3,77.8379668632,0.2,100.0,Basic bounded continuous-change trajectory
baseline,174,17.4,78.1829763834,0.2,100.0,Basic bounded continuous-change trajectory
baseline,175,17.5,78.5241203519,0.2,100.0,Basic bounded continuous-change trajectory
baseline,176,17.6,78.8613952635,0.2,100.0,Basic bounded continuous-change trajectory
baseline,177,17.7,79.1947992362,0.2,100.0,Basic bounded continuous-change trajectory
baseline,178,17.8,79.5243319757,0.2,100.0,Basic bounded continuous-change trajectory
baseline,179,17.9,79.84999474,0.2,100.0,Basic bounded continuous-change trajectory
baseline,180,18.0,80.1717903028,0.2,100.0,Basic bounded continuous-change trajectory
baseline,181,18.1,80.4897229168,0.2,100.0,Basic bounded continuous-change trajectory
baseline,182,18.2,80.8037982761,0.2,100.0,Basic bounded continuous-change trajectory
baseline,183,18.3,81.1140234784,0.2,100.0,Basic bounded continuous-change trajectory
baseline,184,18.4,81.420406987,0.2,100.0,Basic bounded continuous-change trajectory
baseline,185,18.5,81.722958592,0.2,100.0,Basic bounded continuous-change trajectory
baseline,186,18.6,82.0216893716,0.2,100.0,Basic bounded continuous-change trajectory
baseline,187,18.7,82.3166116536,0.2,100.0,Basic bounded continuous-change trajectory
baseline,188,18.8,82.6077389758,0.2,100.0,Basic bounded continuous-change trajectory
baseline,189,18.9,82.8950860476,0.2,100.0,Basic bounded continuous-change trajectory
baseline,190,19.0,83.1786687104,0.2,100.0,Basic bounded continuous-change trajectory
baseline,191,19.1,83.4585038989,0.2,100.0,Basic bounded continuous-change trajectory
baseline,192,19.2,83.7346096023,0.2,100.0,Basic bounded continuous-change trajectory
