"rate","capacity","final_state","maximum_state"
0.1,80,59.2815392024354,59.2815392024354
0.1,100,68.9640517441914,68.9640517441914
0.1,120,77.3856957526784,77.3856957526784
0.15,80,74.2476059429638,74.2476059429638
0.15,100,90.9159333902983,90.9159333902983
0.15,120,106.91180227856,106.91180227856
0.2,80,78.6607804935632,78.6607804935632
0.2,100,97.8486562481603,97.8486562481603
0.2,120,116.848718823382,116.848718823382
0.25,80,79.7042607034208,79.7042607034208
0.25,100,99.5225384229885,99.5225384229885
0.25,120,119.29726336659,119.29726336659
