source,target,relationship,weight,evidence_quality
power_substation,hospital,electricity_supply,0.95,high
power_substation,water_treatment,electricity_supply,0.9,high
communications_hub,hospital,data_connectivity,0.7,medium
fuel_depot,power_substation,fuel_dependency,0.6,medium
transport_hub,hospital,patient_transfer,0.5,medium
transport_hub,fuel_depot,fuel_delivery,0.65,medium
water_treatment,hospital,water_service,0.8,high
emergency_depot,hospital,emergency_supply,0.75,medium
communications_hub,emergency_depot,coordination,0.55,medium
power_substation,communications_hub,electricity_supply,0.85,high
