period,stock,inflow,demand,losses,raw_next,next_stock,shortage,overflow
0,40.000000,3.000000,7.000000,2.000000,34.000000,34.000000,0.000000,0.000000
1,34.000000,3.000000,7.000000,1.700000,28.300000,28.300000,0.000000,0.000000
2,28.300000,3.000000,7.000000,1.415000,22.885000,22.885000,0.000000,0.000000
3,22.885000,3.000000,7.000000,1.144250,17.740750,17.740750,0.000000,0.000000
4,17.740750,3.000000,7.000000,0.887038,12.853713,12.853713,0.000000,0.000000
5,12.853713,3.000000,7.000000,0.642686,8.211027,8.211027,0.000000,0.000000
6,8.211027,3.000000,7.000000,0.410551,3.800476,3.800476,0.000000,0.000000
7,3.800476,3.000000,7.000000,0.190024,-0.389548,0.000000,0.389548,0.000000
8,0.000000,3.000000,6.922090,0.000000,-3.922090,0.000000,3.922090,0.000000
9,0.000000,3.000000,6.137672,0.000000,-3.137672,0.000000,3.137672,0.000000
10,0.000000,3.000000,5.510138,0.000000,-2.510138,0.000000,2.510138,0.000000
11,0.000000,3.000000,5.008110,0.000000,-2.008110,0.000000,2.008110,0.000000
12,0.000000,3.000000,4.606488,0.000000,-1.606488,0.000000,1.606488,0.000000
13,0.000000,3.000000,4.285191,0.000000,-1.285191,0.000000,1.285191,0.000000
14,0.000000,3.000000,4.028152,0.000000,-1.028152,0.000000,1.028152,0.000000
15,0.000000,3.000000,3.822522,0.000000,-0.822522,0.000000,0.822522,0.000000
16,0.000000,3.000000,3.658018,0.000000,-0.658018,0.000000,0.658018,0.000000
17,0.000000,3.000000,3.526414,0.000000,-0.526414,0.000000,0.526414,0.000000
18,0.000000,3.000000,3.421131,0.000000,-0.421131,0.000000,0.421131,0.000000
19,0.000000,3.000000,3.336905,0.000000,-0.336905,0.000000,0.336905,0.000000
20,0.000000,3.000000,3.269524,0.000000,-0.269524,0.000000,0.269524,0.000000
21,0.000000,3.000000,3.215619,0.000000,-0.215619,0.000000,0.215619,0.000000
22,0.000000,3.000000,3.172495,0.000000,-0.172495,0.000000,0.172495,0.000000
23,0.000000,3.000000,3.137996,0.000000,-0.137996,0.000000,0.137996,0.000000
24,0.000000,3.000000,3.110397,0.000000,-0.110397,0.000000,0.110397,0.000000
25,0.000000,3.000000,3.088318,0.000000,-0.088318,0.000000,0.088318,0.000000
26,0.000000,3.000000,3.070654,0.000000,-0.070654,0.000000,0.070654,0.000000
27,0.000000,3.000000,3.056523,0.000000,-0.056523,0.000000,0.056523,0.000000
28,0.000000,3.000000,3.045219,0.000000,-0.045219,0.000000,0.045219,0.000000
29,0.000000,3.000000,3.036175,0.000000,-0.036175,0.000000,0.036175,0.000000
30,0.000000,3.000000,3.028940,0.000000,-0.028940,0.000000,0.028940,0.000000
31,0.000000,3.000000,3.023152,0.000000,-0.023152,0.000000,0.023152,0.000000
32,0.000000,3.000000,3.018522,0.000000,-0.018522,0.000000,0.018522,0.000000
33,0.000000,3.000000,3.014817,0.000000,-0.014817,0.000000,0.014817,0.000000
34,0.000000,3.000000,3.011854,0.000000,-0.011854,0.000000,0.011854,0.000000
35,0.000000,3.000000,3.009483,0.000000,-0.009483,0.000000,0.009483,0.000000
36,0.000000,3.000000,3.007586,0.000000,-0.007586,0.000000,0.007586,0.000000
37,0.000000,3.000000,3.006069,0.000000,-0.006069,0.000000,0.006069,0.000000
38,0.000000,3.000000,3.004855,0.000000,-0.004855,0.000000,0.004855,0.000000
39,0.000000,3.000000,3.003884,0.000000,-0.003884,0.000000,0.003884,0.000000
40,0.000000,3.000000,3.003107,0.000000,-0.003107,0.000000,0.003107,0.000000
41,0.000000,3.000000,3.002486,0.000000,-0.002486,0.000000,0.002486,0.000000
42,0.000000,3.000000,3.001989,0.000000,-0.001989,0.000000,0.001989,0.000000
43,0.000000,3.000000,3.001591,0.000000,-0.001591,0.000000,0.001591,0.000000
44,0.000000,3.000000,3.001273,0.000000,-0.001273,0.000000,0.001273,0.000000
45,0.000000,3.000000,3.001018,0.000000,-0.001018,0.000000,0.001018,0.000000
46,0.000000,3.000000,3.000815,0.000000,-0.000815,0.000000,0.000815,0.000000
47,0.000000,3.000000,3.000652,0.000000,-0.000652,0.000000,0.000652,0.000000
48,0.000000,3.000000,3.000521,0.000000,-0.000521,0.000000,0.000521,0.000000
49,0.000000,3.000000,3.000417,0.000000,-0.000417,0.000000,0.000417,0.000000
50,0.000000,3.000000,3.000334,0.000000,-0.000334,0.000000,0.000334,0.000000
51,0.000000,3.000000,3.000267,0.000000,-0.000267,0.000000,0.000267,0.000000
52,0.000000,3.000000,3.000214,0.000000,-0.000214,0.000000,0.000214,0.000000
53,0.000000,3.000000,3.000171,0.000000,-0.000171,0.000000,0.000171,0.000000
54,0.000000,3.000000,3.000137,0.000000,-0.000137,0.000000,0.000137,0.000000
55,0.000000,3.000000,3.000109,0.000000,-0.000109,0.000000,0.000109,0.000000
56,0.000000,3.000000,3.000087,0.000000,-0.000087,0.000000,0.000087,0.000000
57,0.000000,3.000000,3.000070,0.000000,-0.000070,0.000000,0.000070,0.000000
58,0.000000,3.000000,3.000056,0.000000,-0.000056,0.000000,0.000056,0.000000
59,0.000000,3.000000,3.000045,0.000000,-0.000045,0.000000,0.000045,0.000000
60,0.000000,3.000000,3.000036,0.000000,-0.000036,0.000000,0.000036,0.000000
