step,time,current_state,delayed_state,derivative_value,target,absolute_gap,warning
0,0.000000,80.000000,80.000000,4.000000,100.000000,20.000000,Delayed adjustment depends on delay length history function time step and feedback strength.
1,0.100000,80.400000,80.000000,4.000000,100.000000,19.600000,Delayed adjustment depends on delay length history function time step and feedback strength.
2,0.200000,80.800000,80.000000,4.000000,100.000000,19.200000,Delayed adjustment depends on delay length history function time step and feedback strength.
3,0.300000,81.200000,80.000000,4.000000,100.000000,18.800000,Delayed adjustment depends on delay length history function time step and feedback strength.
4,0.400000,81.600000,80.000000,4.000000,100.000000,18.400000,Delayed adjustment depends on delay length history function time step and feedback strength.
5,0.500000,82.000000,80.000000,4.000000,100.000000,18.000000,Delayed adjustment depends on delay length history function time step and feedback strength.
6,0.600000,82.400000,80.000000,4.000000,100.000000,17.600000,Delayed adjustment depends on delay length history function time step and feedback strength.
7,0.700000,82.800000,80.000000,4.000000,100.000000,17.200000,Delayed adjustment depends on delay length history function time step and feedback strength.
8,0.800000,83.200000,80.000000,4.000000,100.000000,16.800000,Delayed adjustment depends on delay length history function time step and feedback strength.
9,0.900000,83.600000,80.000000,4.000000,100.000000,16.400000,Delayed adjustment depends on delay length history function time step and feedback strength.
10,1.000000,84.000000,80.000000,4.000000,100.000000,16.000000,Delayed adjustment depends on delay length history function time step and feedback strength.
11,1.100000,84.400000,80.000000,4.000000,100.000000,15.600000,Delayed adjustment depends on delay length history function time step and feedback strength.
12,1.200000,84.800000,80.000000,4.000000,100.000000,15.200000,Delayed adjustment depends on delay length history function time step and feedback strength.
13,1.300000,85.200000,80.000000,4.000000,100.000000,14.800000,Delayed adjustment depends on delay length history function time step and feedback strength.
14,1.400000,85.600000,80.000000,4.000000,100.000000,14.400000,Delayed adjustment depends on delay length history function time step and feedback strength.
15,1.500000,86.000000,80.000000,4.000000,100.000000,14.000000,Delayed adjustment depends on delay length history function time step and feedback strength.
16,1.600000,86.400000,80.000000,4.000000,100.000000,13.600000,Delayed adjustment depends on delay length history function time step and feedback strength.
17,1.700000,86.800000,80.000000,4.000000,100.000000,13.200000,Delayed adjustment depends on delay length history function time step and feedback strength.
18,1.800000,87.200000,80.000000,4.000000,100.000000,12.800000,Delayed adjustment depends on delay length history function time step and feedback strength.
19,1.900000,87.600000,80.000000,4.000000,100.000000,12.400000,Delayed adjustment depends on delay length history function time step and feedback strength.
20,2.000000,88.000000,80.000000,4.000000,100.000000,12.000000,Delayed adjustment depends on delay length history function time step and feedback strength.
21,2.100000,88.400000,80.000000,4.000000,100.000000,11.600000,Delayed adjustment depends on delay length history function time step and feedback strength.
22,2.200000,88.800000,80.000000,4.000000,100.000000,11.200000,Delayed adjustment depends on delay length history function time step and feedback strength.
23,2.300000,89.200000,80.000000,4.000000,100.000000,10.800000,Delayed adjustment depends on delay length history function time step and feedback strength.
24,2.400000,89.600000,80.000000,4.000000,100.000000,10.400000,Delayed adjustment depends on delay length history function time step and feedback strength.
