"step","time","current_state","delayed_state","derivative_value","target","absolute_gap","warning"
0,0,80,80,4,100,20,"Delayed adjustment depends on delay length, history function, time step, and feedback strength."
1,0.1,80.4,80,4,100,19.6,"Delayed adjustment depends on delay length, history function, time step, and feedback strength."
2,0.2,80.8,80,4,100,19.2,"Delayed adjustment depends on delay length, history function, time step, and feedback strength."
3,0.3,81.2,80,4,100,18.8,"Delayed adjustment depends on delay length, history function, time step, and feedback strength."
4,0.4,81.6,80,4,100,18.4,"Delayed adjustment depends on delay length, history function, time step, and feedback strength."
5,0.5,82,80,4,100,18,"Delayed adjustment depends on delay length, history function, time step, and feedback strength."
6,0.6,82.4,80,4,100,17.6,"Delayed adjustment depends on delay length, history function, time step, and feedback strength."
7,0.7,82.8,80,4,100,17.2,"Delayed adjustment depends on delay length, history function, time step, and feedback strength."
8,0.8,83.2,80,4,100,16.8,"Delayed adjustment depends on delay length, history function, time step, and feedback strength."
9,0.9,83.6,80,4,100,16.4,"Delayed adjustment depends on delay length, history function, time step, and feedback strength."
10,1,84.0000000000001,80,4,100,15.9999999999999,"Delayed adjustment depends on delay length, history function, time step, and feedback strength."
11,1.1,84.4000000000001,80,4,100,15.5999999999999,"Delayed adjustment depends on delay length, history function, time step, and feedback strength."
12,1.2,84.8000000000001,80,4,100,15.1999999999999,"Delayed adjustment depends on delay length, history function, time step, and feedback strength."
13,1.3,85.2000000000001,80,4,100,14.7999999999999,"Delayed adjustment depends on delay length, history function, time step, and feedback strength."
14,1.4,85.6000000000001,80,4,100,14.3999999999999,"Delayed adjustment depends on delay length, history function, time step, and feedback strength."
15,1.5,86.0000000000001,80,4,100,13.9999999999999,"Delayed adjustment depends on delay length, history function, time step, and feedback strength."
16,1.6,86.4000000000001,80,4,100,13.5999999999999,"Delayed adjustment depends on delay length, history function, time step, and feedback strength."
17,1.7,86.8000000000001,80,4,100,13.1999999999999,"Delayed adjustment depends on delay length, history function, time step, and feedback strength."
18,1.8,87.2000000000001,80,4,100,12.7999999999999,"Delayed adjustment depends on delay length, history function, time step, and feedback strength."
19,1.9,87.6000000000001,80,4,100,12.3999999999999,"Delayed adjustment depends on delay length, history function, time step, and feedback strength."
20,2,88.0000000000001,80,4,100,11.9999999999999,"Delayed adjustment depends on delay length, history function, time step, and feedback strength."
21,2.1,88.4000000000001,80,4,100,11.5999999999999,"Delayed adjustment depends on delay length, history function, time step, and feedback strength."
22,2.2,88.8000000000001,80,4,100,11.1999999999999,"Delayed adjustment depends on delay length, history function, time step, and feedback strength."
23,2.3,89.2000000000001,80,4,100,10.7999999999999,"Delayed adjustment depends on delay length, history function, time step, and feedback strength."
24,2.4,89.6000000000001,80,4,100,10.3999999999999,"Delayed adjustment depends on delay length, history function, time step, and feedback strength."
25,2.5,90.0000000000001,80,4,100,9.99999999999986,"Delayed adjustment depends on delay length, history function, time step, and feedback strength."
26,2.6,90.4000000000001,80,4,100,9.59999999999985,"Delayed adjustment depends on delay length, history function, time step, and feedback strength."
27,2.7,90.8000000000002,80,4,100,9.19999999999985,"Delayed adjustment depends on delay length, history function, time step, and feedback strength."
28,2.8,91.2000000000002,80,4,100,8.79999999999984,"Delayed adjustment depends on delay length, history function, time step, and feedback strength."
29,2.9,91.6000000000002,80,4,100,8.39999999999984,"Delayed adjustment depends on delay length, history function, time step, and feedback strength."
30,3,92.0000000000002,80,4,100,7.99999999999983,"Delayed adjustment depends on delay length, history function, time step, and feedback strength."
31,3.1,92.4000000000002,80,4,100,7.59999999999982,"Delayed adjustment depends on delay length, history function, time step, and feedback strength."
32,3.2,92.8000000000002,80,4,100,7.19999999999982,"Delayed adjustment depends on delay length, history function, time step, and feedback strength."
33,3.3,93.2000000000002,80,4,100,6.79999999999981,"Delayed adjustment depends on delay length, history function, time step, and feedback strength."
