"step","time","center_value","total_mass","max_value","min_value","diffusion_ratio","transport_ratio"
0,0,1,1,1,0,0.016,0.08
1,0.2,0.888,1,0.888,0,0.016,0.08
2,0.4,0.791616,1,0.791616,0,0.016,0.08
3,0.6,0.70841088,1,0.70841088,0,0.016,0.08
4,0.8,0.63635023872,1,0.63635023872,0,0.016,0.08
5,1,0.573733683560448,1,0.573733683560448,0,0.016,0.08
6,1.2,0.519138081190969,1,0.519138081190969,0,0.016,0.08
7,1.4,0.47137065788034,1,0.47137065788034,0,0.016,0.08
8,1.6,0.429430214987429,1,0.429430214987429,0,0.016,0.08
9,1.8,0.3924750337384,1,0.3924750337384,0,0.016,0.08
10,2,0.359796296737881,1,0.359796296737881,0,0.016,0.08
11,2.2,0.330796061599887,1,0.350690316309377,0,0.016,0.08
12,2.4,0.3049689928226,1,0.346085395116835,0,0.016,0.08
13,2.6,0.281887198270208,1,0.339743743379568,0,0.016,0.08
14,2.8,0.261187631852091,1,0.332093800443007,0,0.016,0.08
15,3,0.242561618698833,1,0.32348186260218,0,0.016,0.08
16,3.2,0.225746137007833,1,0.314187035087917,0,0.016,0.08
17,3.4,0.210516554785769,1,0.30443349293782,0,0.016,0.08
18,3.6,0.196680572423773,1,0.29440053497146,0,0.016,0.08
19,3.8,0.184073165431397,1,0.28423082771202,0,0.016,0.08
20,4,0.172552357389865,1,0.274037164543906,0,0.016,0.08
21,4.2,0.161995682627606,1,0.263908006791396,0,0.016,0.08
22,4.4,0.152297222390638,1,0.253912025395466,0,0.016,0.08
23,4.6,0.143365118295542,1,0.249469406971641,0,0.016,0.08
24,4.8,0.135119483367446,1,0.247750507677092,0,0.016,0.08
25,5,0.127490644599119,1,0.245397880583532,0,0.016,0.08
26,5.2,0.12041766222837,1,0.242495627125417,0,0.016,0.08
27,5.4,0.113847080237886,1,0.239120652999036,0,0.016,0.08
28,5.6,0.107731870277731,1,0.235342910153935,0,0.016,0.08
29,5.8,0.102030537578973,1,0.231225723247505,0,0.016,0.08
30,6,0.0967063626994647,1,0.226826169581067,0,0.016,0.08
31,6.2,0.0917267573113211,1,0.222195489145096,0,0.016,0.08
32,6.4,0.0870627158614578,1,0.217379507364587,0,0.016,0.08
33,6.6,0.0826883479415534,1,0.212419057788985,0,0.016,0.08
34,6.8,0.0785804786988385,1,0.207350395583883,0,0.016,0.08
35,7,0.0747183066923773,1,0.20341244817548,0,0.016,0.08
36,7.2,0.071083110323667,1,0.202572672286201,0,0.016,0.08
37,7.4,0.0676579954054382,1,0.201382689364456,0,0.016,0.08
38,7.6,0.0644276776280108,1,0.199873415174476,0,0.016,0.08
39,7.8,0.0613782946793514,1,0.198074490248386,0,0.016,0.08
40,8,0.0584972436068947,1,0.19601418475517,0,0.016,0.08
41,8.2,0.0557730397041888,1,0.193719336366335,0,0.016,0.08
42,8.4,0.0531951937866219,1,0.191215315566013,0,0.016,0.08
43,8.6,0.0507541052070422,1,0.188526013570434,0,0.016,0.08
44,8.8,0.0484409683698449,1,0.185673848670922,0,0.016,0.08
45,9,0.0462476908442228,1,0.182679787397097,0,0.016,0.08
46,9.2,0.0441668214646622,1,0.17956337741577,0,0.016,0.08
47,9.4,0.0421914870484627,1,0.17634278953994,0,0.016,0.08
48,9.6,0.0403153365635954,1,0.175411382598476,0,0.016,0.08
49,9.8,0.0385324917518251,1,0.174724756695134,0,0.016,0.08
50,10,0.036837503356919,1,0.173823498169793,0,0.016,0.08
51,10.2,0.0352253122302737,1,0.172722290336122,0,0.016,0.08
52,10.4,0.033691214690012,1,0.17143550376358,0,0.016,0.08
53,10.6,0.0322308315975563,1,0.169977139366847,0,0.016,0.08
54,10.8,0.0308400806903656,1,0.16836078201049,0,0.016,0.08
55,11,0.02951515177305,1,0.166599563500538,0,0.016,0.08
56,11.2,0.0282524844231818,1,0.164706133911588,0,0.016,0.08
57,11.4,0.0270487479142918,1,0.162692640276099,0,0.016,0.08
58,11.6,0.0259008230979953,1,0.160570711740048,0,0.016,0.08
59,11.8,0.0248057860209676,0.999999999999999,0.158351450364873,0,0.016,0.08
60,12,0.0237608930814544,0.999999999999999,0.156815624714442,0,0.016,0.08
61,12.2,0.0227635675548822,0.999999999999998,0.156393830281044,0,0.016,0.08
62,12.4,0.021811387339544,0.999999999999996,0.155815212937737,0,0.016,0.08
63,12.6,0.0209020737917954,0.999999999999994,0.15508816706652,0,0.016,0.08
64,12.8,0.0200334815361342,0.99999999999999,0.154221045327631,0,0.016,0.08
65,13,0.0192035891493292,0.999999999999982,0.15322212195873,0,0.016,0.08
66,13.2,0.0184104906297201,0.999999999999972,0.152099560483535,0,0.016,0.08
67,13.4,0.0176523875731902,0.999999999999954,0.150861385530729,0,0.016,0.08
68,13.6,0.0169275819863472,0.999999999999927,0.149515458467393,0,0.016,0.08
69,13.8,0.0162344696753203,0.999999999999883,0.148069456557477,0,0.016,0.08
70,14,0.015571534155457,0.999999999999817,0.146530855364423,0,0.016,0.08
71,14.2,0.0149373410332186,0.999999999999715,0.144906914127341,0,0.016,0.08
