day,susceptible,infectious,recovered,hospital_demand
0.0,95880.0,120.0,4000.0,5.4
1.0,95843.18208,142.41792,4014.4,6.4088064
2.0,95799.50276276,169.00708684,4031.4901504,7.60531891
3.0,95747.69221913,200.53678005,4051.77100082,9.0241551
4.0,95686.24923067,237.9153549,4075.83541443,10.70619097
5.0,95613.40050125,282.21424174,4104.38525701,12.69964088
6.0,95527.05341862,334.69561536,4138.25096602,15.06130269
7.0,95424.74146365,396.84409649,4178.41443987,17.85798434
8.0,95303.56147866,470.4027899,4226.03573145,21.16812555
9.0,95160.1020828,557.41385097,4282.48406623,25.08362329
10.0,94990.36269412,660.26357753,4349.37372835,29.71186099
11.0,94789.66292868,781.73171367,4428.60535765,35.17792712
12.0,94552.54265463,925.04418208,4522.41316329,41.62698819
13.0,94272.65376028,1093.92777458,4633.41846514,49.22674986
14.0,93942.64584242,1292.66435949,4764.68979809,58.16989618
15.0,93554.04965005,1526.14082872,4919.80952123,68.67633729
16.0,93097.16435449,1799.88922484,5102.94642068,80.99501512
17.0,92560.95768894,2120.10918341,5318.93312766,95.40491325
18.0,91932.99181239,2493.66195795,5573.34622967,112.21478811
19.0,91199.39243843,2928.02189695,5872.58566462,131.76098536
20.0,90344.88422067,3431.16748708,6223.94829225,154.40253692
21.0,89352.92124671,4011.39036258,6635.6883907,180.51256632
22.0,88205.94701581,4676.99774998,7117.05523421,210.46489875
23.0,86885.82216548,5435.88287031,7678.29496421,244.61472916
24.0,85374.45847786,6294.94061349,8330.60090865,283.27232761
25.0,83654.69161057,7259.31460716,9085.99378227,326.66915732
26.0,81711.40929132,8331.47917356,9957.11153513,374.91656281
27.0,79532.92319611,9510.18776794,10956.88903595,427.95844956
28.0,77112.52948946,10789.35894243,12098.11156811,485.52115241
29.0,74450.14625868,12157.01910013,13392.8346412,547.06585951
30.0,71553.85233844,13594.47072835,14851.67693321,611.75118278
31.0,68441.09473487,15075.89184452,16483.01342061,678.415133
32.0,65139.30100065,16568.57855739,18292.12044196,745.58603508
33.0,61685.65099808,18033.99913308,20280.34986884,811.52996099
34.0,58125.84627289,19429.7239623,22444.42976481,874.3375783
35.0,54511.86499879,20712.13836093,24775.99664029,932.04622624
36.0,50898.88167025,21839.66508615,27261.4532436,982.78492888
37.0,47341.71517765,22776.07176841,29882.21305394,1024.92322958
38.0,43891.28860957,23493.36972429,32615.34166615,1057.20163759
39.0,40591.59494243,23973.85902451,35434.54603306,1078.8236561
40.0,37477.5559833,24211.0349007,38311.409116,1089.49657053
41.0,34573.9706524,24209.29604351,41216.73330409,1089.41832196
42.0,31895.53388145,23982.61728925,44121.84882931,1079.21777802
43.0,29447.73105804,23552.50603794,46999.76290402,1059.86277171
44.0,27228.31389468,22945.62247675,49826.06362857,1032.55301145
45.0,25229.04793851,22191.41373571,52579.53832578,998.61361811
46.0,23437.46956743,21320.02245851,55242.50797407,959.40101063
47.0,21838.46995927,20360.61937164,57800.91066909,916.22787172
48.0,20415.60668088,19340.20832544,60244.18499368,870.30937464
49.0,19152.11200472,18282.87800254,62565.00999274,822.72951011
50.0,18031.61367745,17209.43096951,64758.95535304,774.42439363
51.0,17038.60948272,16137.30344789,66824.08706938,726.17865516
52.0,16158.74640575,15080.69011112,68760.56348313,678.631055
53.0,15378.95425494,14050.7994486,70570.24629646,632.28597519
54.0,14687.47712865,13056.18064105,72256.3422303,587.52812885
55.0,14073.83759408,12103.0784987,73823.08390722,544.63853244
56.0,13528.75995831,11195.78671463,75275.45332707,503.81040216
57.0,13044.07160309,10336.98066409,76618.94773282,465.16412988
58.0,12612.59539207,9528.01919542,77859.38541251,428.76086379
59.0,12228.04162887,8769.21065516,79002.74771596,394.61447948
60.0,11884.90475545,8060.04224996,80055.05299458,362.70190125
61.0,11578.36768516,7399.37425026,81022.25806458,332.97184126
62.0,11304.21512289,6785.6019025,81910.18297461,305.35208561
63.0,11058.75623123,6216.78856586,82724.45520291,279.75548546
64.0,10838.7563935,5690.77377569,83470.46983081,256.08481991
65.0,10641.37747944,5205.25983667,84153.36268389,234.23669265
66.0,10464.12584807,4757.88028763,84777.99386429,214.10461294
67.0,10304.80726215,4346.25323904,85348.93949881,195.58139576
68.0,10161.48789594,3968.02221656,85870.48988749,178.56099975
69.0,10032.46066483,3620.88678169,86346.65255348,162.93990518
70.0,9916.21617136,3302.62486136,86781.15896729,148.61811876
71.0,9811.41763677,3011.10841258,87177.47395065,135.49987857
72.0,9716.87926178,2744.31377807,87538.80696016,123.49412001
73.0,9631.54753174,2500.32785474,87868.12461353,112.51475346
