step,time,euler_value,exact_value,absolute_error,step_size,stability_multiplier,stability_status,warning
0,0.0,100.0,100.0,0.0,0.1,0.965,stable_for_simple_decay,"Euler estimates depend on time step, rate function, initial condition, stability, and accumulated error."
1,0.1,96.5,96.56054162575664,0.06054162575664179,0.1,0.965,stable_for_simple_decay,"Euler estimates depend on time step, rate function, initial condition, stability, and accumulated error."
2,0.2,93.1225,93.23938199059482,0.11688199059481974,0.1,0.965,stable_for_simple_decay,"Euler estimates depend on time step, rate function, initial condition, stability, and accumulated error."
3,0.30000000000000004,89.8632125,90.03245225862656,0.16923975862655993,0.1,0.965,stable_for_simple_decay,"Euler estimates depend on time step, rate function, initial condition, stability, and accumulated error."
4,0.4,86.7180000625,86.93582353988059,0.21782347738059116,0.1,0.965,stable_for_simple_decay,"Euler estimates depend on time step, rate function, initial condition, stability, and accumulated error."
5,0.5,83.6828700603125,83.94570207692074,0.2628320166082432,0.1,0.965,stable_for_simple_decay,"Euler estimates depend on time step, rate function, initial condition, stability, and accumulated error."
6,0.6000000000000001,80.75396960820156,81.05842459701871,0.30445498881715594,0.1,0.965,stable_for_simple_decay,"Euler estimates depend on time step, rate function, initial condition, stability, and accumulated error."
7,0.7000000000000001,77.9275806719145,78.27045382418682,0.3428731522723183,0.1,0.965,stable_for_simple_decay,"Euler estimates depend on time step, rate function, initial condition, stability, and accumulated error."
8,0.8,75.20011534839749,75.57837414557255,0.3782587971750644,0.1,0.965,stable_for_simple_decay,"Euler estimates depend on time step, rate function, initial condition, stability, and accumulated error."
9,0.9,72.56811131120358,72.97888742690569,0.4107761157021059,0.1,0.965,stable_for_simple_decay,"Euler estimates depend on time step, rate function, initial condition, stability, and accumulated error."
10,1.0,70.02822741531145,70.46880897187134,0.4405815565598914,0.1,0.965,stable_for_simple_decay,"Euler estimates depend on time step, rate function, initial condition, stability, and accumulated error."
11,1.1,67.57723945577555,68.04506362045876,0.46782416468320775,0.1,0.965,stable_for_simple_decay,"Euler estimates depend on time step, rate function, initial condition, stability, and accumulated error."
12,1.2000000000000002,65.21203607482342,65.70468198150567,0.49264590668225594,0.1,0.965,stable_for_simple_decay,"Euler estimates depend on time step, rate function, initial condition, stability, and accumulated error."
13,1.3,62.9296148122046,63.44479679482282,0.5151819826182233,0.1,0.965,stable_for_simple_decay,"Euler estimates depend on time step, rate function, initial condition, stability, and accumulated error."
14,1.4000000000000001,60.72707829377744,61.26263941844161,0.53556112466417,0.1,0.965,stable_for_simple_decay,"Euler estimates depend on time step, rate function, initial condition, stability, and accumulated error."
