x,y,dxdt,dydt,x_nullcline_residual,y_nullcline_residual,speed,warning
0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Vector-field values depend on parameter values, state ranges, and the assumed interaction structure."
0.0,3.0,0.0,-1.5,0.0,-1.5,1.5,"Vector-field values depend on parameter values, state ranges, and the assumed interaction structure."
0.0,6.0,0.0,-3.0,0.0,-3.0,3.0,"Vector-field values depend on parameter values, state ranges, and the assumed interaction structure."
0.0,9.0,0.0,-4.5,0.0,-4.5,4.5,"Vector-field values depend on parameter values, state ranges, and the assumed interaction structure."
0.0,12.0,0.0,-6.0,0.0,-6.0,6.0,"Vector-field values depend on parameter values, state ranges, and the assumed interaction structure."
0.0,15.0,0.0,-7.5,0.0,-7.5,7.5,"Vector-field values depend on parameter values, state ranges, and the assumed interaction structure."
0.0,18.0,0.0,-9.0,0.0,-9.0,9.0,"Vector-field values depend on parameter values, state ranges, and the assumed interaction structure."
0.0,21.0,0.0,-10.5,0.0,-10.5,10.5,"Vector-field values depend on parameter values, state ranges, and the assumed interaction structure."
0.0,24.0,0.0,-12.0,0.0,-12.0,12.0,"Vector-field values depend on parameter values, state ranges, and the assumed interaction structure."
0.0,27.0,0.0,-13.5,0.0,-13.5,13.5,"Vector-field values depend on parameter values, state ranges, and the assumed interaction structure."
0.0,30.0,0.0,-15.0,0.0,-15.0,15.0,"Vector-field values depend on parameter values, state ranges, and the assumed interaction structure."
5.0,0.0,3.5,0.0,3.5,0.0,3.5,"Vector-field values depend on parameter values, state ranges, and the assumed interaction structure."
5.0,3.0,2.75,-1.2,2.75,-1.2,3.0004166377354995,"Vector-field values depend on parameter values, state ranges, and the assumed interaction structure."
5.0,6.0,2.0,-2.4,2.0,-2.4,3.1240998703626617,"Vector-field values depend on parameter values, state ranges, and the assumed interaction structure."
5.0,9.0,1.25,-3.6,1.25,-3.6,3.8108398024582457,"Vector-field values depend on parameter values, state ranges, and the assumed interaction structure."
5.0,12.0,0.5,-4.8,0.5,-4.8,4.825971404805461,"Vector-field values depend on parameter values, state ranges, and the assumed interaction structure."
5.0,15.0,-0.25,-6.0,-0.25,-6.0,6.005206074732157,"Vector-field values depend on parameter values, state ranges, and the assumed interaction structure."
5.0,18.0,-1.0,-7.2,-1.0,-7.2,7.269112738154499,"Vector-field values depend on parameter values, state ranges, and the assumed interaction structure."
5.0,21.0,-1.75,-8.4,-1.75,-8.4,8.580355470491885,"Vector-field values depend on parameter values, state ranges, and the assumed interaction structure."
5.0,24.0,-2.5,-9.6,-2.5,-9.6,9.920181449953423,"Vector-field values depend on parameter values, state ranges, and the assumed interaction structure."
5.0,27.0,-3.25,-10.8,-3.25,-10.8,11.278408575681235,"Vector-field values depend on parameter values, state ranges, and the assumed interaction structure."
5.0,30.0,-4.0,-12.0,-4.0,-12.0,12.649110640673518,"Vector-field values depend on parameter values, state ranges, and the assumed interaction structure."
10.0,0.0,7.0,0.0,7.0,0.0,7.0,"Vector-field values depend on parameter values, state ranges, and the assumed interaction structure."
10.0,3.0,5.5,-0.8999999999999999,5.5,-0.8999999999999999,5.573149917237109,"Vector-field values depend on parameter values, state ranges, and the assumed interaction structure."
10.0,6.0,4.0,-1.7999999999999998,4.0,-1.7999999999999998,4.386342439892261,"Vector-field values depend on parameter values, state ranges, and the assumed interaction structure."
10.0,9.0,2.5,-2.7,2.5,-2.7,3.67967389859482,"Vector-field values depend on parameter values, state ranges, and the assumed interaction structure."
10.0,12.0,1.0,-3.5999999999999996,1.0,-3.5999999999999996,3.7363083384538807,"Vector-field values depend on parameter values, state ranges, and the assumed interaction structure."
10.0,15.0,-0.5,-4.5,-0.5,-4.5,4.527692569068709,"Vector-field values depend on parameter values, state ranges, and the assumed interaction structure."
10.0,18.0,-2.0,-5.4,-2.0,-5.4,5.758472019555188,"Vector-field values depend on parameter values, state ranges, and the assumed interaction structure."
10.0,21.0,-3.5,-6.3,-3.5,-6.3,7.2069410986909,"Vector-field values depend on parameter values, state ranges, and the assumed interaction structure."
10.0,24.0,-5.0,-7.199999999999999,-5.0,-7.199999999999999,8.76584280032445,"Vector-field values depend on parameter values, state ranges, and the assumed interaction structure."
10.0,27.0,-6.5,-8.1,-6.5,-8.1,10.385566907973777,"Vector-field values depend on parameter values, state ranges, and the assumed interaction structure."
10.0,30.0,-8.0,-9.0,-8.0,-9.0,12.041594578792296,"Vector-field values depend on parameter values, state ranges, and the assumed interaction structure."
15.0,0.0,10.5,0.0,10.5,0.0,10.5,"Vector-field values depend on parameter values, state ranges, and the assumed interaction structure."
15.0,3.0,8.25,-0.6000000000000001,8.25,-0.6000000000000001,8.271789407377343,"Vector-field values depend on parameter values, state ranges, and the assumed interaction structure."
15.0,6.0,6.0,-1.2000000000000002,6.0,-1.2000000000000002,6.118823416311342,"Vector-field values depend on parameter values, state ranges, and the assumed interaction structure."
15.0,9.0,3.75,-1.8000000000000003,3.75,-1.8000000000000003,4.159627387158615,"Vector-field values depend on parameter values, state ranges, and the assumed interaction structure."
15.0,12.0,1.5,-2.4000000000000004,1.5,-2.4000000000000004,2.8301943396169813,"Vector-field values depend on parameter values, state ranges, and the assumed interaction structure."
15.0,15.0,-0.75,-3.0,-0.75,-3.0,3.092329219213245,"Vector-field values depend on parameter values, state ranges, and the assumed interaction structure."
15.0,18.0,-3.0,-3.6000000000000005,-3.0,-3.6000000000000005,4.686149805543993,"Vector-field values depend on parameter values, state ranges, and the assumed interaction structure."
15.0,21.0,-5.25,-4.2,-5.25,-4.2,6.723280449304491,"Vector-field values depend on parameter values, state ranges, and the assumed interaction structure."
15.0,24.0,-7.5,-4.800000000000001,-7.5,-4.800000000000001,8.904493247793498,"Vector-field values depend on parameter values, state ranges, and the assumed interaction structure."
15.0,27.0,-9.75,-5.4,-9.75,-5.4,11.145514792955954,"Vector-field values depend on parameter values, state ranges, and the assumed interaction structure."
15.0,30.0,-12.0,-6.0,-12.0,-6.0,13.416407864998739,"Vector-field values depend on parameter values, state ranges, and the assumed interaction structure."
20.0,0.0,14.0,0.0,14.0,0.0,14.0,"Vector-field values depend on parameter values, state ranges, and the assumed interaction structure."
20.0,3.0,11.0,-0.2999999999999998,11.0,-0.2999999999999998,11.00409014866745,"Vector-field values depend on parameter values, state ranges, and the assumed interaction structure."
20.0,6.0,8.0,-0.5999999999999996,8.0,-0.5999999999999996,8.022468448052631,"Vector-field values depend on parameter values, state ranges, and the assumed interaction structure."
20.0,9.0,5.0,-0.8999999999999999,5.0,-0.8999999999999999,5.080354318352215,"Vector-field values depend on parameter values, state ranges, and the assumed interaction structure."
20.0,12.0,2.0,-1.1999999999999993,2.0,-1.1999999999999993,2.33238075793812,"Vector-field values depend on parameter values, state ranges, and the assumed interaction structure."
20.0,15.0,-1.0,-1.5,-1.0,-1.5,1.8027756377319946,"Vector-field values depend on parameter values, state ranges, and the assumed interaction structure."
20.0,18.0,-4.0,-1.7999999999999998,-4.0,-1.7999999999999998,4.386342439892261,"Vector-field values depend on parameter values, state ranges, and the assumed interaction structure."
20.0,21.0,-7.0,-2.0999999999999996,-7.0,-2.0999999999999996,7.308214556237385,"Vector-field values depend on parameter values, state ranges, and the assumed interaction structure."
20.0,24.0,-10.0,-2.3999999999999986,-10.0,-2.3999999999999986,10.283968105745952,"Vector-field values depend on parameter values, state ranges, and the assumed interaction structure."
20.0,27.0,-13.0,-2.6999999999999993,-13.0,-2.6999999999999993,13.277424449041312,"Vector-field values depend on parameter values, state ranges, and the assumed interaction structure."
20.0,30.0,-16.0,-3.0,-16.0,-3.0,16.278820596099706,"Vector-field values depend on parameter values, state ranges, and the assumed interaction structure."
25.0,0.0,17.5,0.0,17.5,0.0,17.5,"Vector-field values depend on parameter values, state ranges, and the assumed interaction structure."
25.0,3.0,13.75,0.0,13.75,0.0,13.75,"Vector-field values depend on parameter values, state ranges, and the assumed interaction structure."
25.0,6.0,10.0,0.0,10.0,0.0,10.0,"Vector-field values depend on parameter values, state ranges, and the assumed interaction structure."
25.0,9.0,6.25,0.0,6.25,0.0,6.25,"Vector-field values depend on parameter values, state ranges, and the assumed interaction structure."
25.0,12.0,2.5,0.0,2.5,0.0,2.5,"Vector-field values depend on parameter values, state ranges, and the assumed interaction structure."
25.0,15.0,-1.25,0.0,-1.25,0.0,1.25,"Vector-field values depend on parameter values, state ranges, and the assumed interaction structure."
25.0,18.0,-5.0,0.0,-5.0,0.0,5.0,"Vector-field values depend on parameter values, state ranges, and the assumed interaction structure."
25.0,21.0,-8.75,0.0,-8.75,0.0,8.75,"Vector-field values depend on parameter values, state ranges, and the assumed interaction structure."
25.0,24.0,-12.5,0.0,-12.5,0.0,12.5,"Vector-field values depend on parameter values, state ranges, and the assumed interaction structure."
25.0,27.0,-16.25,0.0,-16.25,0.0,16.25,"Vector-field values depend on parameter values, state ranges, and the assumed interaction structure."
25.0,30.0,-20.0,0.0,-20.0,0.0,20.0,"Vector-field values depend on parameter values, state ranges, and the assumed interaction structure."
30.0,0.0,21.0,0.0,21.0,0.0,21.0,"Vector-field values depend on parameter values, state ranges, and the assumed interaction structure."
30.0,3.0,16.5,0.2999999999999998,16.5,0.2999999999999998,16.50272704737008,"Vector-field values depend on parameter values, state ranges, and the assumed interaction structure."
30.0,6.0,12.0,0.5999999999999996,12.0,0.5999999999999996,12.014990636700473,"Vector-field values depend on parameter values, state ranges, and the assumed interaction structure."
30.0,9.0,7.5,0.8999999999999995,7.5,0.8999999999999995,7.553806987208503,"Vector-field values depend on parameter values, state ranges, and the assumed interaction structure."
30.0,12.0,3.0,1.1999999999999993,3.0,1.1999999999999993,3.2310988842807022,"Vector-field values depend on parameter values, state ranges, and the assumed interaction structure."
30.0,15.0,-1.5,1.5,-1.5,1.5,2.1213203435596424,"Vector-field values depend on parameter values, state ranges, and the assumed interaction structure."
30.0,18.0,-6.0,1.799999999999999,-6.0,1.799999999999999,6.2641839053463295,"Vector-field values depend on parameter values, state ranges, and the assumed interaction structure."
30.0,21.0,-10.5,2.0999999999999996,-10.5,2.0999999999999996,10.707940978544848,"Vector-field values depend on parameter values, state ranges, and the assumed interaction structure."
