"x","y","dxdt","dydt","x_nullcline_residual","y_nullcline_residual","speed","warning"
0,0,0,0,0,0,0,"Vector-field values depend on parameter values, state ranges, and the assumed interaction structure."
5,0,3.5,0,3.5,0,3.5,"Vector-field values depend on parameter values, state ranges, and the assumed interaction structure."
10,0,7,0,7,0,7,"Vector-field values depend on parameter values, state ranges, and the assumed interaction structure."
15,0,10.5,0,10.5,0,10.5,"Vector-field values depend on parameter values, state ranges, and the assumed interaction structure."
20,0,14,0,14,0,14,"Vector-field values depend on parameter values, state ranges, and the assumed interaction structure."
25,0,17.5,0,17.5,0,17.5,"Vector-field values depend on parameter values, state ranges, and the assumed interaction structure."
30,0,21,0,21,0,21,"Vector-field values depend on parameter values, state ranges, and the assumed interaction structure."
35,0,24.5,0,24.5,0,24.5,"Vector-field values depend on parameter values, state ranges, and the assumed interaction structure."
40,0,28,0,28,0,28,"Vector-field values depend on parameter values, state ranges, and the assumed interaction structure."
45,0,31.5,0,31.5,0,31.5,"Vector-field values depend on parameter values, state ranges, and the assumed interaction structure."
50,0,35,0,35,0,35,"Vector-field values depend on parameter values, state ranges, and the assumed interaction structure."
55,0,38.5,0,38.5,0,38.5,"Vector-field values depend on parameter values, state ranges, and the assumed interaction structure."
60,0,42,0,42,0,42,"Vector-field values depend on parameter values, state ranges, and the assumed interaction structure."
0,3,0,-1.5,0,-1.5,1.5,"Vector-field values depend on parameter values, state ranges, and the assumed interaction structure."
5,3,2.75,-1.2,2.75,-1.2,3.0004166377355,"Vector-field values depend on parameter values, state ranges, and the assumed interaction structure."
10,3,5.5,-0.9,5.5,-0.9,5.57314991723711,"Vector-field values depend on parameter values, state ranges, and the assumed interaction structure."
15,3,8.25,-0.6,8.25,-0.6,8.27178940737734,"Vector-field values depend on parameter values, state ranges, and the assumed interaction structure."
20,3,11,-0.3,11,-0.3,11.0040901486674,"Vector-field values depend on parameter values, state ranges, and the assumed interaction structure."
25,3,13.75,0,13.75,0,13.75,"Vector-field values depend on parameter values, state ranges, and the assumed interaction structure."
30,3,16.5,0.3,16.5,0.3,16.5027270473701,"Vector-field values depend on parameter values, state ranges, and the assumed interaction structure."
35,3,19.25,0.6,19.25,0.6,19.2593483794234,"Vector-field values depend on parameter values, state ranges, and the assumed interaction structure."
40,3,22,0.9,22,0.9,22.0184013951967,"Vector-field values depend on parameter values, state ranges, and the assumed interaction structure."
45,3,24.75,1.2,24.75,1.2,24.7790738325709,"Vector-field values depend on parameter values, state ranges, and the assumed interaction structure."
50,3,27.5,1.5,27.5,1.5,27.5408787078408,"Vector-field values depend on parameter values, state ranges, and the assumed interaction structure."
