x,y,dxdt,dydt,x_nullcline_residual,y_nullcline_residual,speed,warning
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,Vector-field values depend on parameter values state ranges and the assumed interaction structure.
0.000000,3.000000,0.000000,-1.500000,0.000000,-1.500000,1.500000,Vector-field values depend on parameter values state ranges and the assumed interaction structure.
0.000000,6.000000,0.000000,-3.000000,0.000000,-3.000000,3.000000,Vector-field values depend on parameter values state ranges and the assumed interaction structure.
0.000000,9.000000,0.000000,-4.500000,0.000000,-4.500000,4.500000,Vector-field values depend on parameter values state ranges and the assumed interaction structure.
0.000000,12.000000,0.000000,-6.000000,0.000000,-6.000000,6.000000,Vector-field values depend on parameter values state ranges and the assumed interaction structure.
0.000000,15.000000,0.000000,-7.500000,0.000000,-7.500000,7.500000,Vector-field values depend on parameter values state ranges and the assumed interaction structure.
0.000000,18.000000,0.000000,-9.000000,0.000000,-9.000000,9.000000,Vector-field values depend on parameter values state ranges and the assumed interaction structure.
0.000000,21.000000,0.000000,-10.500000,0.000000,-10.500000,10.500000,Vector-field values depend on parameter values state ranges and the assumed interaction structure.
0.000000,24.000000,0.000000,-12.000000,0.000000,-12.000000,12.000000,Vector-field values depend on parameter values state ranges and the assumed interaction structure.
0.000000,27.000000,0.000000,-13.500000,0.000000,-13.500000,13.500000,Vector-field values depend on parameter values state ranges and the assumed interaction structure.
0.000000,30.000000,0.000000,-15.000000,0.000000,-15.000000,15.000000,Vector-field values depend on parameter values state ranges and the assumed interaction structure.
5.000000,0.000000,3.500000,0.000000,3.500000,0.000000,3.500000,Vector-field values depend on parameter values state ranges and the assumed interaction structure.
5.000000,3.000000,2.750000,-1.200000,2.750000,-1.200000,3.000417,Vector-field values depend on parameter values state ranges and the assumed interaction structure.
5.000000,6.000000,2.000000,-2.400000,2.000000,-2.400000,3.124100,Vector-field values depend on parameter values state ranges and the assumed interaction structure.
5.000000,9.000000,1.250000,-3.600000,1.250000,-3.600000,3.810840,Vector-field values depend on parameter values state ranges and the assumed interaction structure.
5.000000,12.000000,0.500000,-4.800000,0.500000,-4.800000,4.825971,Vector-field values depend on parameter values state ranges and the assumed interaction structure.
5.000000,15.000000,-0.250000,-6.000000,-0.250000,-6.000000,6.005206,Vector-field values depend on parameter values state ranges and the assumed interaction structure.
5.000000,18.000000,-1.000000,-7.200000,-1.000000,-7.200000,7.269113,Vector-field values depend on parameter values state ranges and the assumed interaction structure.
5.000000,21.000000,-1.750000,-8.400000,-1.750000,-8.400000,8.580355,Vector-field values depend on parameter values state ranges and the assumed interaction structure.
5.000000,24.000000,-2.500000,-9.600000,-2.500000,-9.600000,9.920181,Vector-field values depend on parameter values state ranges and the assumed interaction structure.
5.000000,27.000000,-3.250000,-10.800000,-3.250000,-10.800000,11.278409,Vector-field values depend on parameter values state ranges and the assumed interaction structure.
5.000000,30.000000,-4.000000,-12.000000,-4.000000,-12.000000,12.649111,Vector-field values depend on parameter values state ranges and the assumed interaction structure.
10.000000,0.000000,7.000000,0.000000,7.000000,0.000000,7.000000,Vector-field values depend on parameter values state ranges and the assumed interaction structure.
10.000000,3.000000,5.500000,-0.900000,5.500000,-0.900000,5.573150,Vector-field values depend on parameter values state ranges and the assumed interaction structure.
10.000000,6.000000,4.000000,-1.800000,4.000000,-1.800000,4.386342,Vector-field values depend on parameter values state ranges and the assumed interaction structure.
10.000000,9.000000,2.500000,-2.700000,2.500000,-2.700000,3.679674,Vector-field values depend on parameter values state ranges and the assumed interaction structure.
10.000000,12.000000,1.000000,-3.600000,1.000000,-3.600000,3.736308,Vector-field values depend on parameter values state ranges and the assumed interaction structure.
10.000000,15.000000,-0.500000,-4.500000,-0.500000,-4.500000,4.527693,Vector-field values depend on parameter values state ranges and the assumed interaction structure.
10.000000,18.000000,-2.000000,-5.400000,-2.000000,-5.400000,5.758472,Vector-field values depend on parameter values state ranges and the assumed interaction structure.
10.000000,21.000000,-3.500000,-6.300000,-3.500000,-6.300000,7.206941,Vector-field values depend on parameter values state ranges and the assumed interaction structure.
10.000000,24.000000,-5.000000,-7.200000,-5.000000,-7.200000,8.765843,Vector-field values depend on parameter values state ranges and the assumed interaction structure.
10.000000,27.000000,-6.500000,-8.100000,-6.500000,-8.100000,10.385567,Vector-field values depend on parameter values state ranges and the assumed interaction structure.
10.000000,30.000000,-8.000000,-9.000000,-8.000000,-9.000000,12.041595,Vector-field values depend on parameter values state ranges and the assumed interaction structure.
15.000000,0.000000,10.500000,0.000000,10.500000,0.000000,10.500000,Vector-field values depend on parameter values state ranges and the assumed interaction structure.
15.000000,3.000000,8.250000,-0.600000,8.250000,-0.600000,8.271789,Vector-field values depend on parameter values state ranges and the assumed interaction structure.
15.000000,6.000000,6.000000,-1.200000,6.000000,-1.200000,6.118823,Vector-field values depend on parameter values state ranges and the assumed interaction structure.
15.000000,9.000000,3.750000,-1.800000,3.750000,-1.800000,4.159627,Vector-field values depend on parameter values state ranges and the assumed interaction structure.
15.000000,12.000000,1.500000,-2.400000,1.500000,-2.400000,2.830194,Vector-field values depend on parameter values state ranges and the assumed interaction structure.
15.000000,15.000000,-0.750000,-3.000000,-0.750000,-3.000000,3.092329,Vector-field values depend on parameter values state ranges and the assumed interaction structure.
15.000000,18.000000,-3.000000,-3.600000,-3.000000,-3.600000,4.686150,Vector-field values depend on parameter values state ranges and the assumed interaction structure.
15.000000,21.000000,-5.250000,-4.200000,-5.250000,-4.200000,6.723280,Vector-field values depend on parameter values state ranges and the assumed interaction structure.
15.000000,24.000000,-7.500000,-4.800000,-7.500000,-4.800000,8.904493,Vector-field values depend on parameter values state ranges and the assumed interaction structure.
15.000000,27.000000,-9.750000,-5.400000,-9.750000,-5.400000,11.145515,Vector-field values depend on parameter values state ranges and the assumed interaction structure.
15.000000,30.000000,-12.000000,-6.000000,-12.000000,-6.000000,13.416408,Vector-field values depend on parameter values state ranges and the assumed interaction structure.
20.000000,0.000000,14.000000,0.000000,14.000000,0.000000,14.000000,Vector-field values depend on parameter values state ranges and the assumed interaction structure.
20.000000,3.000000,11.000000,-0.300000,11.000000,-0.300000,11.004090,Vector-field values depend on parameter values state ranges and the assumed interaction structure.
20.000000,6.000000,8.000000,-0.600000,8.000000,-0.600000,8.022468,Vector-field values depend on parameter values state ranges and the assumed interaction structure.
20.000000,9.000000,5.000000,-0.900000,5.000000,-0.900000,5.080354,Vector-field values depend on parameter values state ranges and the assumed interaction structure.
