model_key,parameter_name,parameter_value,unit,interpretation
linear_growth,a,10.0,output units,baseline level
linear_growth,b,2.0,output units per input unit,constant marginal change
exponential_growth,a,10.0,output units,initial scale
exponential_growth,b,0.18,per input unit,compounding rate
logistic_growth,K,100.0,output units,upper capacity
logistic_growth,r,0.75,per input unit,response rate
logistic_growth,c,5.0,input units,midpoint
threshold_response,threshold,5.0,input units,regime breakpoint
threshold_response,low,20.0,output units,lower response value
threshold_response,high,80.0,output units,higher response value
