    step time baseline_state forced_state shock_value absolute_deviation
1      0  0.0            100    100.00000           0           0.000000
2      1  0.1            100    100.00000           0           0.000000
3      2  0.2            100    100.00000           0           0.000000
4      3  0.3            100    100.00000           0           0.000000
5      4  0.4            100    100.00000           0           0.000000
6      5  0.5            100    100.00000           0           0.000000
7      6  0.6            100    100.00000           0           0.000000
8      7  0.7            100    100.00000           0           0.000000
9      8  0.8            100    100.00000           0           0.000000
10     9  0.9            100    100.00000           0           0.000000
11    10  1.0            100    100.00000           0           0.000000
12    11  1.1            100    100.00000           0           0.000000
13    12  1.2            100    100.00000           0           0.000000
14    13  1.3            100    100.00000           0           0.000000
15    14  1.4            100    100.00000           0           0.000000
16    15  1.5            100    100.00000           0           0.000000
17    16  1.6            100    100.00000           0           0.000000
18    17  1.7            100    100.00000           0           0.000000
19    18  1.8            100    100.00000           0           0.000000
20    19  1.9            100    100.00000           0           0.000000
21    20  2.0            100    100.00000           0           0.000000
22    21  2.1            100    100.00000           0           0.000000
23    22  2.2            100    100.00000           0           0.000000
24    23  2.3            100    100.00000           0           0.000000
25    24  2.4            100    100.00000           0           0.000000
26    25  2.5            100    100.00000           0           0.000000
27    26  2.6            100    100.00000           0           0.000000
28    27  2.7            100    100.00000           0           0.000000
29    28  2.8            100    100.00000           0           0.000000
30    29  2.9            100    100.00000           0           0.000000
31    30  3.0            100    100.00000           0           0.000000
32    31  3.1            100    100.00000           0           0.000000
33    32  3.2            100    100.00000           0           0.000000
34    33  3.3            100    100.00000           0           0.000000
35    34  3.4            100    100.00000           0           0.000000
36    35  3.5            100    100.00000           0           0.000000
37    36  3.6            100    100.00000           0           0.000000
38    37  3.7            100    100.00000           0           0.000000
39    38  3.8            100    100.00000           0           0.000000
40    39  3.9            100    100.00000           0           0.000000
41    40  4.0            100    100.00000           0           0.000000
42    41  4.1            100    100.00000           0           0.000000
43    42  4.2            100    100.00000           0           0.000000
44    43  4.3            100    100.00000           0           0.000000
45    44  4.4            100    100.00000           0           0.000000
46    45  4.5            100    100.00000           0           0.000000
47    46  4.6            100    100.00000           0           0.000000
48    47  4.7            100    100.00000           0           0.000000
49    48  4.8            100    100.00000           0           0.000000
50    49  4.9            100    100.00000           0           0.000000
51    50  5.0            100    100.00000           0           0.000000
52    51  5.1            100    100.00000           0           0.000000
53    52  5.2            100    100.00000           0           0.000000
54    53  5.3            100    100.00000           0           0.000000
55    54  5.4            100    100.00000           0           0.000000
56    55  5.5            100    100.00000           0           0.000000
57    56  5.6            100    100.00000           0           0.000000
58    57  5.7            100    100.00000           0           0.000000
59    58  5.8            100    100.00000           0           0.000000
60    59  5.9            100    100.00000           0           0.000000
61    60  6.0            100    100.00000           0           0.000000
62    61  6.1            100    100.00000           0           0.000000
63    62  6.2            100    100.00000           0           0.000000
64    63  6.3            100    100.00000           0           0.000000
65    64  6.4            100    100.00000           0           0.000000
66    65  6.5            100    100.00000           0           0.000000
67    66  6.6            100    100.00000           0           0.000000
68    67  6.7            100    100.00000           0           0.000000
69    68  6.8            100    100.00000           0           0.000000
70    69  6.9            100    100.00000           0           0.000000
71    70  7.0            100    100.00000           0           0.000000
72    71  7.1            100    100.00000           0           0.000000
73    72  7.2            100    100.00000           0           0.000000
74    73  7.3            100    100.00000           0           0.000000
75    74  7.4            100    100.00000           0           0.000000
76    75  7.5            100    100.00000           0           0.000000
77    76  7.6            100    100.00000           0           0.000000
78    77  7.7            100    100.00000           0           0.000000
79    78  7.8            100    100.00000           0           0.000000
80    79  7.9            100    100.00000           0           0.000000
81    80  8.0            100    100.00000           0           0.000000
82    81  8.1            100    100.00000           0           0.000000
83    82  8.2            100    100.00000           0           0.000000
84    83  8.3            100    100.00000           0           0.000000
85    84  8.4            100    100.00000           0           0.000000
86    85  8.5            100    100.00000           0           0.000000
87    86  8.6            100    100.00000           0           0.000000
88    87  8.7            100    100.00000           0           0.000000
89    88  8.8            100    100.00000           0           0.000000
90    89  8.9            100    100.00000           0           0.000000
91    90  9.0            100    100.00000           0           0.000000
92    91  9.1            100    100.00000           0           0.000000
93    92  9.2            100    100.00000           0           0.000000
94    93  9.3            100    100.00000           0           0.000000
95    94  9.4            100    100.00000           0           0.000000
96    95  9.5            100    100.00000           0           0.000000
97    96  9.6            100    100.00000           0           0.000000
98    97  9.7            100    100.00000           0           0.000000
99    98  9.8            100    100.00000           0           0.000000
100   99  9.9            100    100.00000           0           0.000000
101  100 10.0            100    100.00000         -30           0.000000
102  101 10.1            100     70.45000           0          29.550000
103  102 10.2            100     70.89325           0          29.106750
104  103 10.3            100     71.32985           0          28.670149
105  104 10.4            100     71.75990           0          28.240097
106  105 10.5            100     72.18350           0          27.816495
107  106 10.6            100     72.60075           0          27.399248
108  107 10.7            100     73.01174           0          26.988259
109  108 10.8            100     73.41656           0          26.583435
110  109 10.9            100     73.81532           0          26.184684
111  110 11.0            100     74.20809           0          25.791913
112  111 11.1            100     74.59497           0          25.405035
113  112 11.2            100     74.97604           0          25.023959
114  113 11.3            100     75.35140           0          24.648600
115  114 11.4            100     75.72113           0          24.278871
116  115 11.5            100     76.08531           0          23.914688
117  116 11.6            100     76.44403           0          23.555967
118  117 11.7            100     76.79737           0          23.202628
119  118 11.8            100     77.14541           0          22.854588
120  119 11.9            100     77.48823           0          22.511770
121  120 12.0            100     77.82591           0          22.174093
122  121 12.1            100     78.15852           0          21.841482
123  122 12.2            100     78.48614           0          21.513859
124  123 12.3            100     78.80885           0          21.191151
125  124 12.4            100     79.12672           0          20.873284
126  125 12.5            100     79.43982           0          20.560185
127  126 12.6            100     79.74822           0          20.251782
128  127 12.7            100     80.05199           0          19.948005
129  128 12.8            100     80.35121           0          19.648785
130  129 12.9            100     80.64595           0          19.354054
131  130 13.0            100     80.93626           0          19.063743
132  131 13.1            100     81.22221           0          18.777787
133  132 13.2            100     81.50388           0          18.496120
134  133 13.3            100     81.78132           0          18.218678
135  134 13.4            100     82.05460           0          17.945398
136  135 13.5            100     82.32378           0          17.676217
137  136 13.6            100     82.58893           0          17.411074
138  137 13.7            100     82.85009           0          17.149908
139  138 13.8            100     83.10734           0          16.892659
140  139 13.9            100     83.36073           0          16.639269
141  140 14.0            100     83.61032           0          16.389680
142  141 14.1            100     83.85617           0          16.143835
143  142 14.2            100     84.09832           0          15.901677
144  143 14.3            100     84.33685           0          15.663152
145  144 14.4            100     84.57180           0          15.428205
146  145 14.5            100     84.80322           0          15.196782
147  146 14.6            100     85.03117           0          14.968830
148  147 14.7            100     85.25570           0          14.744298
149  148 14.8            100     85.47687           0          14.523133
150  149 14.9            100     85.69471           0          14.305286
151  150 15.0            100     85.90929           0          14.090707
152  151 15.1            100     86.12065           0          13.879346
153  152 15.2            100     86.32884           0          13.671156
154  153 15.3            100     86.53391           0          13.466089
155  154 15.4            100     86.73590           0          13.264097
156  155 15.5            100     86.93486           0          13.065136
157  156 15.6            100     87.13084           0          12.869159
158  157 15.7            100     87.32388           0          12.676121
159  158 15.8            100     87.51402           0          12.485980
160  159 15.9            100     87.70131           0          12.298690
161  160 16.0            100     87.88579           0          12.114210
162  161 16.1            100     88.06750           0          11.932496
163  162 16.2            100     88.24649           0          11.753509
164  163 16.3            100     88.42279           0          11.577206
165  164 16.4            100     88.59645           0          11.403548
166  165 16.5            100     88.76750           0          11.232495
167  166 16.6            100     88.93599           0          11.064008
168  167 16.7            100     89.10195           0          10.898048
169  168 16.8            100     89.26542           0          10.734577
170  169 16.9            100     89.42644           0          10.573558
171  170 17.0            100     89.58505           0          10.414955
172  171 17.1            100     89.74127           0          10.258730
173  172 17.2            100     89.89515           0          10.104850
174  173 17.3            100     90.04672           0           9.953277
175  174 17.4            100     90.19602           0           9.803978
176  175 17.5            100     90.34308           0           9.656918
