"step","time","baseline_state","forced_state","shock_value","absolute_deviation"
0,0,100,100,0,0
1,0.1,100,100,0,0
2,0.2,100,100,0,0
3,0.3,100,100,0,0
4,0.4,100,100,0,0
5,0.5,100,100,0,0
6,0.6,100,100,0,0
7,0.7,100,100,0,0
8,0.8,100,100,0,0
9,0.9,100,100,0,0
10,1,100,100,0,0
11,1.1,100,100,0,0
12,1.2,100,100,0,0
13,1.3,100,100,0,0
14,1.4,100,100,0,0
15,1.5,100,100,0,0
16,1.6,100,100,0,0
17,1.7,100,100,0,0
18,1.8,100,100,0,0
19,1.9,100,100,0,0
20,2,100,100,0,0
21,2.1,100,100,0,0
22,2.2,100,100,0,0
23,2.3,100,100,0,0
24,2.4,100,100,0,0
25,2.5,100,100,0,0
26,2.6,100,100,0,0
27,2.7,100,100,0,0
28,2.8,100,100,0,0
29,2.9,100,100,0,0
30,3,100,100,0,0
31,3.1,100,100,0,0
32,3.2,100,100,0,0
33,3.3,100,100,0,0
34,3.4,100,100,0,0
35,3.5,100,100,0,0
36,3.6,100,100,0,0
37,3.7,100,100,0,0
38,3.8,100,100,0,0
39,3.9,100,100,0,0
40,4,100,100,0,0
41,4.1,100,100,0,0
42,4.2,100,100,0,0
43,4.3,100,100,0,0
44,4.4,100,100,0,0
45,4.5,100,100,0,0
46,4.6,100,100,0,0
47,4.7,100,100,0,0
48,4.8,100,100,0,0
49,4.9,100,100,0,0
50,5,100,100,0,0
51,5.1,100,100,0,0
52,5.2,100,100,0,0
53,5.3,100,100,0,0
54,5.4,100,100,0,0
55,5.5,100,100,0,0
56,5.6,100,100,0,0
57,5.7,100,100,0,0
58,5.8,100,100,0,0
59,5.9,100,100,0,0
60,6,100,100,0,0
61,6.1,100,100,0,0
62,6.2,100,100,0,0
63,6.3,100,100,0,0
64,6.4,100,100,0,0
65,6.5,100,100,0,0
66,6.6,100,100,0,0
67,6.7,100,100,0,0
68,6.8,100,100,0,0
69,6.9,100,100,0,0
70,7,100,100,0,0
71,7.1,100,100,0,0
72,7.2,100,100,0,0
73,7.3,100,100,0,0
74,7.4,100,100,0,0
75,7.5,100,100,0,0
76,7.6,100,100,0,0
77,7.7,100,100,0,0
78,7.8,100,100,0,0
79,7.9,100,100,0,0
80,8,100,100,0,0
81,8.1,100,100,0,0
82,8.2,100,100,0,0
83,8.3,100,100,0,0
84,8.4,100,100,0,0
85,8.5,100,100,0,0
86,8.6,100,100,0,0
87,8.7,100,100,0,0
88,8.8,100,100,0,0
89,8.9,100,100,0,0
90,9,100,100,0,0
91,9.1,100,100,0,0
92,9.2,100,100,0,0
93,9.3,100,100,0,0
94,9.4,100,100,0,0
95,9.5,100,100,0,0
96,9.6,100,100,0,0
97,9.7,100,100,0,0
98,9.8,100,100,0,0
99,9.9,100,100,0,0
100,10,100,100,-30,0
101,10.1,100,70.45,0,29.55
102,10.2,100,70.89325,0,29.10675
103,10.3,100,71.32985125,0,28.67014875
104,10.4,100,71.75990348125,0,28.24009651875
105,10.5,100,72.1835049290313,0,27.8164950709687
106,10.6,100,72.6007523550958,0,27.3992476449042
107,10.7,100,73.0117410697694,0,26.9882589302306
108,10.8,100,73.4165649537228,0,26.5834350462772
109,10.9,100,73.815316479417,0,26.184683520583
110,11,100,74.2080867322257,0,25.7919132677743
111,11.1,100,74.5949654312423,0,25.4050345687577
112,11.2,100,74.9760409497737,0,25.0239590502263
113,11.3,100,75.3514003355271,0,24.6485996644729
114,11.4,100,75.7211293304942,0,24.2788706695058
115,11.5,100,76.0853123905368,0,23.9146876094632
116,11.6,100,76.4440327046787,0,23.5559672953213
117,11.7,100,76.7973722141085,0,23.2026277858915
118,11.8,100,77.1454116308969,0,22.8545883691031
119,11.9,100,77.4882304564334,0,22.5117695435666
120,12,100,77.8259069995869,0,22.1740930004131
121,12.1,100,78.1585183945931,0,21.8414816054069
122,12.2,100,78.4861406186742,0,21.5138593813258
123,12.3,100,78.8088485093941,0,21.1911514906059
124,12.4,100,79.1267157817532,0,20.8732842182468
125,12.5,100,79.4398150450269,0,20.5601849549731
126,12.6,100,79.7482178193515,0,20.2517821806485
127,12.7,100,80.0519945520612,0,19.9480054479388
128,12.8,100,80.3512146337803,0,19.6487853662197
129,12.9,100,80.6459464142736,0,19.3540535857264
130,13,100,80.9362572180595,0,19.0637427819405
