step,time,solver_value,exact_value,absolute_error,solver_method,step_size,warning
0,0.000000,100.000000000000,100.000000000000,0.000000000000,fixed_step_rk4,0.500000,ODE solver outputs depend on equation initial condition method tolerances step size stiffness and diagnostics.
1,0.500000,83.945834960938,83.945702076921,0.000132884017,fixed_step_rk4,0.500000,ODE solver outputs depend on equation initial condition method tolerances step size stiffness and diagnostics.
2,1.000000,70.469032072890,70.468808971871,0.000223101018,fixed_step_rk4,0.500000,ODE solver outputs depend on equation initial condition method tolerances step size stiffness and diagnostics.
3,1.500000,59.155817362478,59.155536436682,0.000280925796,fixed_step_rk4,0.500000,ODE solver outputs depend on equation initial condition method tolerances step size stiffness and diagnostics.
4,2.000000,49.658844812899,49.658530379141,0.000314433758,fixed_step_rk4,0.500000,ODE solver outputs depend on equation initial condition method tolerances step size stiffness and diagnostics.
5,2.500000,41.686531910145,41.686201967851,0.000329942294,fixed_step_rk4,0.500000,ODE solver outputs depend on equation initial condition method tolerances step size stiffness and diagnostics.
6,3.000000,34.994107278229,34.993774911116,0.000332367113,fixed_step_rk4,0.500000,ODE solver outputs depend on equation initial condition method tolerances step size stiffness and diagnostics.
7,3.500000,29.376095541835,29.375770032353,0.000325509482,fixed_step_rk4,0.500000,ODE solver outputs depend on equation initial condition method tolerances step size stiffness and diagnostics.
8,4.000000,24.660008681516,24.659696394161,0.000312287356,fixed_step_rk4,0.500000,ODE solver outputs depend on equation initial condition method tolerances step size stiffness and diagnostics.
9,4.500000,20.701050189138,20.700755268115,0.000294921023,fixed_step_rk4,0.500000,ODE solver outputs depend on equation initial condition method tolerances step size stiffness and diagnostics.
10,5.000000,17.377669426955,17.377394345045,0.000275081911,fixed_step_rk4,0.500000,ODE solver outputs depend on equation initial condition method tolerances step size stiffness and diagnostics.
11,5.500000,14.587829697209,14.587575685623,0.000254011586,fixed_step_rk4,0.500000,ODE solver outputs depend on equation initial condition method tolerances step size stiffness and diagnostics.
12,6.000000,12.245875442002,12.245642825298,0.000232616703,fixed_step_rk4,0.500000,ODE solver outputs depend on equation initial condition method tolerances step size stiffness and diagnostics.
13,6.500000,10.279902388065,10.279690843529,0.000211544536,fixed_step_rk4,0.500000,ODE solver outputs depend on equation initial condition method tolerances step size stiffness and diagnostics.
14,7.000000,8.629549892830,8.629358649937,0.000191242893,fixed_step_rk4,0.500000,ODE solver outputs depend on equation initial condition method tolerances step size stiffness and diagnostics.
15,7.500000,7.244147710907,7.243975703425,0.000172007482,fixed_step_rk4,0.500000,ODE solver outputs depend on equation initial condition method tolerances step size stiffness and diagnostics.
