x y left_slope right_slope slope_change level_jump flag
  0.0000     2.0000 NA NA NA NA ok
  0.2500     2.1250     0.5000     0.5000     0.0000     0.1250 ok
  0.5000     2.2500     0.5000     0.5000     0.0000     0.1250 ok
  0.7500     2.3750     0.5000     0.5000     0.0000     0.1250 ok
  1.0000     2.5000     0.5000     0.5000     0.0000     0.1250 ok
  1.2500     2.6250     0.5000     0.5000     0.0000     0.1250 ok
  1.5000     2.7500     0.5000     0.5000     0.0000     0.1250 ok
  1.7500     2.8750     0.5000     0.5000     0.0000     0.1250 ok
  2.0000     3.0000     0.5000     0.5000     0.0000     0.1250 ok
  2.2500     3.1250     0.5000     0.5000     0.0000     0.1250 ok
  2.5000     3.2500     0.5000     0.5000     0.0000     0.1250 ok
  2.7500     3.3750     0.5000     0.5000     0.0000     0.1250 ok
  3.0000     3.5000     0.5000     0.5000     0.0000     0.1250 ok
  3.2500     3.6250     0.5000     0.5000     0.0000     0.1250 ok
  3.5000     3.7500     0.5000     0.5000     0.0000     0.1250 ok
  3.7500     3.8750     0.5000     0.5000     0.0000     0.1250 ok
  4.0000     4.0000     0.5000     0.5000     0.0000     0.1250 ok
  4.2500     4.1250     0.5000     0.5000     0.0000     0.1250 ok
  4.5000     4.2500     0.5000     0.5000     0.0000     0.1250 ok
  4.7500     4.3750     0.5000     6.5000     6.0000     0.1250 possible_slope_break
  5.0000     6.0000     6.5000     1.4000     5.1000     1.6250 level_and_slope_break
  5.2500     6.3500     1.4000     1.4000     0.0000     0.3500 ok
  5.5000     6.7000     1.4000     1.4000     0.0000     0.3500 ok
  5.7500     7.0500     1.4000     1.4000     0.0000     0.3500 ok
  6.0000     7.4000     1.4000     1.4000     0.0000     0.3500 ok
  6.2500     7.7500     1.4000     1.4000     0.0000     0.3500 ok
  6.5000     8.1000     1.4000     1.4000     0.0000     0.3500 ok
  6.7500     8.4500     1.4000     1.4000     0.0000     0.3500 ok
  7.0000     8.8000     1.4000     1.4000     0.0000     0.3500 ok
  7.2500     9.1500     1.4000     1.4000     0.0000     0.3500 ok
  7.5000     9.5000     1.4000     1.4000     0.0000     0.3500 ok
  7.7500     9.8500     1.4000     1.4000     0.0000     0.3500 ok
  8.0000    10.2000     1.4000     1.4000     0.0000     0.3500 ok
  8.2500    10.5500     1.4000     1.4000     0.0000     0.3500 ok
  8.5000    10.9000     1.4000     1.4000     0.0000     0.3500 ok
  8.7500    11.2500     1.4000     1.4000     0.0000     0.3500 ok
  9.0000    11.6000     1.4000     1.4000     0.0000     0.3500 ok
  9.2500    11.9500     1.4000     1.4000     0.0000     0.3500 ok
  9.5000    12.3000     1.4000     1.4000     0.0000     0.3500 ok
  9.7500    12.6500     1.4000     1.4000     0.0000     0.3500 ok
 10.0000    13.0000 NA NA NA NA ok
