"x","y","left_slope","right_slope","slope_change","level_jump","flag"
0,2,NA,NA,NA,NA,"ok"
0.25,2.125,0.5,0.5,0,0.125,"ok"
0.5,2.25,0.5,0.5,0,0.125,"ok"
0.75,2.375,0.5,0.5,0,0.125,"ok"
1,2.5,0.5,0.5,0,0.125,"ok"
1.25,2.625,0.5,0.5,0,0.125,"ok"
1.5,2.75,0.5,0.5,0,0.125,"ok"
1.75,2.875,0.5,0.5,0,0.125,"ok"
2,3,0.5,0.5,0,0.125,"ok"
2.25,3.125,0.5,0.5,0,0.125,"ok"
2.5,3.25,0.5,0.5,0,0.125,"ok"
2.75,3.375,0.5,0.5,0,0.125,"ok"
3,3.5,0.5,0.5,0,0.125,"ok"
3.25,3.625,0.5,0.5,0,0.125,"ok"
3.5,3.75,0.5,0.5,0,0.125,"ok"
3.75,3.875,0.5,0.5,0,0.125,"ok"
4,4,0.5,0.5,0,0.125,"ok"
4.25,4.125,0.5,0.5,0,0.125,"ok"
4.5,4.25,0.5,0.5,0,0.125,"ok"
4.75,4.375,0.5,6.5,6,0.125,"possible_slope_break"
5,6,6.5,1.4,5.1,1.625,"level_and_slope_break"
5.25,6.35,1.4,1.4,3.5527136788005e-15,0.35,"ok"
5.5,6.7,1.4,1.4,3.5527136788005e-15,0.350000000000001,"ok"
5.75,7.05,1.4,1.4,3.5527136788005e-15,0.35,"ok"
6,7.4,1.4,1.4,3.5527136788005e-15,0.350000000000001,"ok"
6.25,7.75,1.4,1.4,0,0.35,"ok"
6.5,8.1,1.4,1.4,0,0.35,"ok"
6.75,8.45,1.4,1.40000000000001,7.105427357601e-15,0.35,"ok"
7,8.8,1.40000000000001,1.4,7.105427357601e-15,0.350000000000001,"ok"
7.25,9.15,1.4,1.4,0,0.35,"ok"
7.5,9.5,1.4,1.4,0,0.35,"ok"
7.75,9.85,1.4,1.4,0,0.35,"ok"
8,10.2,1.4,1.40000000000001,7.105427357601e-15,0.35,"ok"
8.25,10.55,1.40000000000001,1.39999999999999,1.4210854715202e-14,0.350000000000001,"ok"
8.5,10.9,1.39999999999999,1.40000000000001,1.4210854715202e-14,0.349999999999998,"ok"
8.75,11.25,1.40000000000001,1.4,7.105427357601e-15,0.350000000000001,"ok"
9,11.6,1.4,1.4,0,0.35,"ok"
9.25,11.95,1.4,1.40000000000001,7.105427357601e-15,0.35,"ok"
9.5,12.3,1.40000000000001,1.39999999999999,1.4210854715202e-14,0.350000000000001,"ok"
9.75,12.65,1.39999999999999,1.40000000000001,1.4210854715202e-14,0.349999999999998,"ok"
10,13,NA,NA,NA,NA,"ok"
