x,y,left_slope,right_slope,slope_change,level_jump,flag
0.000000,2.000000,,,,,ok
0.250000,2.125000,0.500000,0.500000,0.000000,0.125000,ok
0.500000,2.250000,0.500000,0.500000,0.000000,0.125000,ok
0.750000,2.375000,0.500000,0.500000,0.000000,0.125000,ok
1.000000,2.500000,0.500000,0.500000,0.000000,0.125000,ok
1.250000,2.625000,0.500000,0.500000,0.000000,0.125000,ok
1.500000,2.750000,0.500000,0.500000,0.000000,0.125000,ok
1.750000,2.875000,0.500000,0.500000,0.000000,0.125000,ok
2.000000,3.000000,0.500000,0.500000,0.000000,0.125000,ok
2.250000,3.125000,0.500000,0.500000,0.000000,0.125000,ok
2.500000,3.250000,0.500000,0.500000,0.000000,0.125000,ok
2.750000,3.375000,0.500000,0.500000,0.000000,0.125000,ok
3.000000,3.500000,0.500000,0.500000,0.000000,0.125000,ok
3.250000,3.625000,0.500000,0.500000,0.000000,0.125000,ok
3.500000,3.750000,0.500000,0.500000,0.000000,0.125000,ok
3.750000,3.875000,0.500000,0.500000,0.000000,0.125000,ok
4.000000,4.000000,0.500000,0.500000,0.000000,0.125000,ok
4.250000,4.125000,0.500000,0.500000,0.000000,0.125000,ok
4.500000,4.250000,0.500000,0.500000,0.000000,0.125000,ok
4.750000,4.375000,0.500000,6.500000,6.000000,0.125000,possible_slope_break
5.000000,6.000000,6.500000,1.400000,5.100000,1.625000,level_and_slope_break
5.250000,6.350000,1.400000,1.400000,0.000000,0.350000,ok
5.500000,6.700000,1.400000,1.400000,0.000000,0.350000,ok
5.750000,7.050000,1.400000,1.400000,0.000000,0.350000,ok
6.000000,7.400000,1.400000,1.400000,0.000000,0.350000,ok
6.250000,7.750000,1.400000,1.400000,0.000000,0.350000,ok
6.500000,8.100000,1.400000,1.400000,0.000000,0.350000,ok
6.750000,8.450000,1.400000,1.400000,0.000000,0.350000,ok
7.000000,8.800000,1.400000,1.400000,0.000000,0.350000,ok
7.250000,9.150000,1.400000,1.400000,0.000000,0.350000,ok
7.500000,9.500000,1.400000,1.400000,0.000000,0.350000,ok
7.750000,9.850000,1.400000,1.400000,0.000000,0.350000,ok
8.000000,10.200000,1.400000,1.400000,0.000000,0.350000,ok
8.250000,10.550000,1.400000,1.400000,0.000000,0.350000,ok
8.500000,10.900000,1.400000,1.400000,0.000000,0.350000,ok
8.750000,11.250000,1.400000,1.400000,0.000000,0.350000,ok
9.000000,11.600000,1.400000,1.400000,0.000000,0.350000,ok
9.250000,11.950000,1.400000,1.400000,0.000000,0.350000,ok
9.500000,12.300000,1.400000,1.400000,0.000000,0.350000,ok
9.750000,12.650000,1.400000,1.400000,0.000000,0.350000,ok
10.000000,13.000000,,,,,ok
