growth_rate,carrying_capacity,initial_value,stop_time,final_value,output_metric,warning
0.18,80.0,10.0,20.0,67.15544316998819,final_state_value,"Sweep results depend on tested ranges, baseline assumptions, and model structure."
0.18,100.0,10.0,20.0,80.26239368737704,final_state_value,"Sweep results depend on tested ranges, baseline assumptions, and model structure."
0.18,125.0,10.0,20.0,95.11324809264502,final_state_value,"Sweep results depend on tested ranges, baseline assumptions, and model structure."
0.18,150.0,10.0,20.0,108.49657556060464,final_state_value,"Sweep results depend on tested ranges, baseline assumptions, and model structure."
0.25,80.0,10.0,20.0,76.39670151978324,final_state_value,"Sweep results depend on tested ranges, baseline assumptions, and model structure."
0.25,100.0,10.0,20.0,94.28256185740149,final_state_value,"Sweep results depend on tested ranges, baseline assumptions, and model structure."
0.25,125.0,10.0,20.0,116.01074603198906,final_state_value,"Sweep results depend on tested ranges, baseline assumptions, and model structure."
0.25,150.0,10.0,20.0,137.07001322058096,final_state_value,"Sweep results depend on tested ranges, baseline assumptions, and model structure."
0.35,80.0,10.0,20.0,79.49258501729196,final_state_value,"Sweep results depend on tested ranges, baseline assumptions, and model structure."
0.35,100.0,10.0,20.0,99.18598678672114,final_state_value,"Sweep results depend on tested ranges, baseline assumptions, and model structure."
0.35,125.0,10.0,20.0,123.70277322804901,final_state_value,"Sweep results depend on tested ranges, baseline assumptions, and model structure."
0.35,150.0,10.0,20.0,148.1091866526194,final_state_value,"Sweep results depend on tested ranges, baseline assumptions, and model structure."
0.45,80.0,10.0,20.0,79.9309501597023,final_state_value,"Sweep results depend on tested ranges, baseline assumptions, and model structure."
0.45,100.0,10.0,20.0,99.88905440229227,final_state_value,"Sweep results depend on tested ranges, baseline assumptions, and model structure."
0.45,125.0,10.0,20.0,124.8228498204184,final_state_value,"Sweep results depend on tested ranges, baseline assumptions, and model structure."
0.45,150.0,10.0,20.0,149.7412864005427,final_state_value,"Sweep results depend on tested ranges, baseline assumptions, and model structure."
0.55,80.0,10.0,20.0,79.99064814090113,final_state_value,"Sweep results depend on tested ranges, baseline assumptions, and model structure."
0.55,100.0,10.0,20.0,99.98497072841835,final_state_value,"Sweep results depend on tested ranges, baseline assumptions, and model structure."
0.55,125.0,10.0,20.0,124.97599591556794,final_state_value,"Sweep results depend on tested ranges, baseline assumptions, and model structure."
0.55,150.0,10.0,20.0,149.9649346274595,final_state_value,"Sweep results depend on tested ranges, baseline assumptions, and model structure."
