"growth_rate","carrying_capacity","initial_value","stop_time","final_value","output_metric","warning"
0.18,80,10,20,67.1554431699882,"final_state_value","Sweep results depend on tested ranges, baseline assumptions, and model structure."
0.25,80,10,20,76.3967015197832,"final_state_value","Sweep results depend on tested ranges, baseline assumptions, and model structure."
0.35,80,10,20,79.492585017292,"final_state_value","Sweep results depend on tested ranges, baseline assumptions, and model structure."
0.45,80,10,20,79.9309501597023,"final_state_value","Sweep results depend on tested ranges, baseline assumptions, and model structure."
0.55,80,10,20,79.9906481409011,"final_state_value","Sweep results depend on tested ranges, baseline assumptions, and model structure."
0.18,100,10,20,80.262393687377,"final_state_value","Sweep results depend on tested ranges, baseline assumptions, and model structure."
0.25,100,10,20,94.2825618574015,"final_state_value","Sweep results depend on tested ranges, baseline assumptions, and model structure."
0.35,100,10,20,99.1859867867211,"final_state_value","Sweep results depend on tested ranges, baseline assumptions, and model structure."
0.45,100,10,20,99.8890544022923,"final_state_value","Sweep results depend on tested ranges, baseline assumptions, and model structure."
0.55,100,10,20,99.9849707284183,"final_state_value","Sweep results depend on tested ranges, baseline assumptions, and model structure."
0.18,125,10,20,95.113248092645,"final_state_value","Sweep results depend on tested ranges, baseline assumptions, and model structure."
0.25,125,10,20,116.010746031989,"final_state_value","Sweep results depend on tested ranges, baseline assumptions, and model structure."
0.35,125,10,20,123.702773228049,"final_state_value","Sweep results depend on tested ranges, baseline assumptions, and model structure."
0.45,125,10,20,124.822849820418,"final_state_value","Sweep results depend on tested ranges, baseline assumptions, and model structure."
0.55,125,10,20,124.975995915568,"final_state_value","Sweep results depend on tested ranges, baseline assumptions, and model structure."
0.18,150,10,20,108.496575560605,"final_state_value","Sweep results depend on tested ranges, baseline assumptions, and model structure."
0.25,150,10,20,137.070013220581,"final_state_value","Sweep results depend on tested ranges, baseline assumptions, and model structure."
0.35,150,10,20,148.109186652619,"final_state_value","Sweep results depend on tested ranges, baseline assumptions, and model structure."
0.45,150,10,20,149.741286400543,"final_state_value","Sweep results depend on tested ranges, baseline assumptions, and model structure."
0.55,150,10,20,149.96493462746,"final_state_value","Sweep results depend on tested ranges, baseline assumptions, and model structure."
