scenario,seed,step,resource_stock,depleted
baseline,1,0,70.0,0
baseline,1,1,67.78,0
baseline,1,2,65.71096888,0
baseline,1,3,63.7666667,0
baseline,1,4,61.9255287,0
baseline,1,5,60.16953588,0
baseline,1,6,58.48338085,0
baseline,1,7,56.8538389,0
baseline,1,8,55.26928371,0
baseline,1,9,53.71930607,0
baseline,1,10,46.82247564,0
baseline,1,11,45.30430165,0
baseline,1,12,43.7646124,0
baseline,1,13,42.19462829,0
baseline,1,14,36.36550257,0
baseline,1,15,34.53088344,0
baseline,1,16,32.60015502,0
baseline,1,17,30.55519673,0
baseline,1,18,28.37461605,0
baseline,1,19,26.03283304,0
baseline,1,20,20.89558457,0
baseline,1,21,15.78130552,0
baseline,1,22,12.17365122,0
baseline,1,23,8.09815243,0
baseline,1,24,3.43777574,1
baseline,1,25,0.0,1
baseline,1,26,0.0,1
baseline,1,27,0.0,1
baseline,1,28,0.0,1
baseline,1,29,0.0,1
baseline,1,30,0.0,1
baseline,1,31,0.0,1
baseline,1,32,0.0,1
baseline,1,33,0.0,1
baseline,1,34,0.0,1
baseline,1,35,0.0,1
baseline,1,36,0.0,1
baseline,1,37,0.0,1
baseline,1,38,0.0,1
baseline,1,39,0.0,1
baseline,1,40,0.0,1
baseline,1,41,0.0,1
baseline,1,42,0.0,1
baseline,1,43,0.0,1
baseline,1,44,0.0,1
baseline,1,45,0.0,1
baseline,1,46,0.0,1
baseline,1,47,0.0,1
baseline,1,48,0.0,1
baseline,1,49,0.0,1
baseline,1,50,0.0,1
baseline,2,0,70.0,0
baseline,2,1,67.78,0
baseline,2,2,65.71096888,0
baseline,2,3,63.7666667,0
baseline,2,4,61.9255287,0
baseline,2,5,60.16953588,0
baseline,2,6,58.48338085,0
baseline,2,7,56.8538389,0
baseline,2,8,55.26928371,0
baseline,2,9,53.71930607,0
baseline,2,10,52.19440625,0
baseline,2,11,50.68573849,0
baseline,2,12,49.18489206,0
baseline,2,13,47.68369614,0
baseline,2,14,46.17403867,0
baseline,2,15,44.6476903,0
baseline,2,16,43.09612531,0
baseline,2,17,41.51033104,0
baseline,2,18,39.88059697,0
baseline,2,19,38.1962728,0
baseline,2,20,36.44548245,0
baseline,2,21,30.9702293,0
baseline,2,22,25.72136846,0
baseline,2,23,23.16035495,0
baseline,2,24,20.36369516,0
baseline,2,25,17.28273615,0
baseline,2,26,13.85598131,0
baseline,2,27,10.00447915,0
baseline,2,28,5.62512412,0
baseline,2,29,0.58069082,1
baseline,2,30,0.0,1
baseline,2,31,0.0,1
baseline,2,32,0.0,1
baseline,2,33,0.0,1
baseline,2,34,0.0,1
baseline,2,35,0.0,1
baseline,2,36,0.0,1
baseline,2,37,0.0,1
baseline,2,38,0.0,1
baseline,2,39,0.0,1
baseline,2,40,0.0,1
baseline,2,41,0.0,1
baseline,2,42,0.0,1
baseline,2,43,0.0,1
baseline,2,44,0.0,1
baseline,2,45,0.0,1
baseline,2,46,0.0,1
baseline,2,47,0.0,1
baseline,2,48,0.0,1
baseline,2,49,0.0,1
baseline,2,50,0.0,1
baseline,3,0,70.0,0
baseline,3,1,67.78,0
baseline,3,2,65.71096888,0
baseline,3,3,63.7666667,0
baseline,3,4,61.9255287,0
baseline,3,5,60.16953588,0
baseline,3,6,58.48338085,0
baseline,3,7,51.00550081,0
baseline,3,8,49.50368096,0
baseline,3,9,48.00323756,0
baseline,3,10,46.49606085,0
baseline,3,11,44.97396119,0
baseline,3,12,43.42849127,0
baseline,3,13,41.85075876,0
baseline,3,14,40.23122052,0
baseline,3,15,38.55944823,0
baseline,3,16,36.82385302,0
baseline,3,17,35.01135349,0
baseline,3,18,33.10696635,0
baseline,3,19,31.0932921,0
baseline,3,20,28.94985761,0
baseline,3,21,26.65226232,0
baseline,3,22,24.17105198,0
baseline,3,23,21.47020978,0
baseline,3,24,18.50510171,0
baseline,3,25,15.21963019,0
baseline,3,26,10.02025375,0
baseline,3,27,5.64316955,0
baseline,3,28,0.60161842,1
baseline,3,29,0.0,1
baseline,3,30,0.0,1
baseline,3,31,0.0,1
baseline,3,32,0.0,1
baseline,3,33,0.0,1
baseline,3,34,0.0,1
baseline,3,35,0.0,1
baseline,3,36,0.0,1
baseline,3,37,0.0,1
baseline,3,38,0.0,1
baseline,3,39,0.0,1
baseline,3,40,0.0,1
baseline,3,41,0.0,1
baseline,3,42,0.0,1
baseline,3,43,0.0,1
baseline,3,44,0.0,1
baseline,3,45,0.0,1
baseline,3,46,0.0,1
baseline,3,47,0.0,1
baseline,3,48,0.0,1
baseline,3,49,0.0,1
baseline,3,50,0.0,1
baseline,4,0,70.0,0
baseline,4,1,67.78,0
