step,infrastructure_stress,service_delay,state_norm
0,10.0,4.0,10.770329614269
1,8.68,4.84,9.938209094198
2,7.6984,5.2408,9.312966616498
3,6.941584,5.36872,8.775462544359
4,6.33634528,5.32971232,8.279801019429
5,5.835368608,5.1911235136,7.810204230664
6,5.407937080192,4.995620219776,7.362201086873
7,5.033982832131,4.770100041464,6.935044164226
8,4.700277927323,4.531392941296,6.528869318841
9,4.39799505336,4.289908662303,6.143751038273
10,4.121144983232,4.051969692955,5.779471806787
11,3.865575249405,3.821303063628,5.435533930802
12,3.628328072147,3.59999387325,5.111234732094
13,3.407228283951,3.389094396656,4.805742961125
14,3.200618520438,3.18901283257,4.518159111814
15,3.007188726668,2.999761086432,4.247558194242
16,2.82586608624,2.821112396489,3.993018193169
17,2.655743678295,2.652701316854,3.753638070092
18,2.496033974224,2.494086862903,3.528548551485
19,2.346038282412,2.344792131166,3.316918111881
20,2.205126447318,2.204328910521,3.117955835867
