step,time,baseline_state,forced_state,shock_value,absolute_deviation,warning
0,0.0,100.0,100.0,0.0,0.0,"Shock response depends on forcing form, timing, magnitude, recovery rate, and numerical step size."
1,0.1,100.0,100.0,0.0,0.0,"Shock response depends on forcing form, timing, magnitude, recovery rate, and numerical step size."
2,0.2,100.0,100.0,0.0,0.0,"Shock response depends on forcing form, timing, magnitude, recovery rate, and numerical step size."
3,0.30000000000000004,100.0,100.0,0.0,0.0,"Shock response depends on forcing form, timing, magnitude, recovery rate, and numerical step size."
4,0.4,100.0,100.0,0.0,0.0,"Shock response depends on forcing form, timing, magnitude, recovery rate, and numerical step size."
5,0.5,100.0,100.0,0.0,0.0,"Shock response depends on forcing form, timing, magnitude, recovery rate, and numerical step size."
6,0.6000000000000001,100.0,100.0,0.0,0.0,"Shock response depends on forcing form, timing, magnitude, recovery rate, and numerical step size."
7,0.7000000000000001,100.0,100.0,0.0,0.0,"Shock response depends on forcing form, timing, magnitude, recovery rate, and numerical step size."
8,0.8,100.0,100.0,0.0,0.0,"Shock response depends on forcing form, timing, magnitude, recovery rate, and numerical step size."
9,0.9,100.0,100.0,0.0,0.0,"Shock response depends on forcing form, timing, magnitude, recovery rate, and numerical step size."
10,1.0,100.0,100.0,0.0,0.0,"Shock response depends on forcing form, timing, magnitude, recovery rate, and numerical step size."
11,1.1,100.0,100.0,0.0,0.0,"Shock response depends on forcing form, timing, magnitude, recovery rate, and numerical step size."
12,1.2000000000000002,100.0,100.0,0.0,0.0,"Shock response depends on forcing form, timing, magnitude, recovery rate, and numerical step size."
13,1.3,100.0,100.0,0.0,0.0,"Shock response depends on forcing form, timing, magnitude, recovery rate, and numerical step size."
14,1.4000000000000001,100.0,100.0,0.0,0.0,"Shock response depends on forcing form, timing, magnitude, recovery rate, and numerical step size."
15,1.5,100.0,100.0,0.0,0.0,"Shock response depends on forcing form, timing, magnitude, recovery rate, and numerical step size."
16,1.6,100.0,100.0,0.0,0.0,"Shock response depends on forcing form, timing, magnitude, recovery rate, and numerical step size."
17,1.7000000000000002,100.0,100.0,0.0,0.0,"Shock response depends on forcing form, timing, magnitude, recovery rate, and numerical step size."
18,1.8,100.0,100.0,0.0,0.0,"Shock response depends on forcing form, timing, magnitude, recovery rate, and numerical step size."
19,1.9000000000000001,100.0,100.0,0.0,0.0,"Shock response depends on forcing form, timing, magnitude, recovery rate, and numerical step size."
20,2.0,100.0,100.0,0.0,0.0,"Shock response depends on forcing form, timing, magnitude, recovery rate, and numerical step size."
21,2.1,100.0,100.0,0.0,0.0,"Shock response depends on forcing form, timing, magnitude, recovery rate, and numerical step size."
22,2.2,100.0,100.0,0.0,0.0,"Shock response depends on forcing form, timing, magnitude, recovery rate, and numerical step size."
23,2.3000000000000003,100.0,100.0,0.0,0.0,"Shock response depends on forcing form, timing, magnitude, recovery rate, and numerical step size."
24,2.4000000000000004,100.0,100.0,0.0,0.0,"Shock response depends on forcing form, timing, magnitude, recovery rate, and numerical step size."
25,2.5,100.0,100.0,0.0,0.0,"Shock response depends on forcing form, timing, magnitude, recovery rate, and numerical step size."
26,2.6,100.0,100.0,0.0,0.0,"Shock response depends on forcing form, timing, magnitude, recovery rate, and numerical step size."
27,2.7,100.0,100.0,0.0,0.0,"Shock response depends on forcing form, timing, magnitude, recovery rate, and numerical step size."
28,2.8000000000000003,100.0,100.0,0.0,0.0,"Shock response depends on forcing form, timing, magnitude, recovery rate, and numerical step size."
29,2.9000000000000004,100.0,100.0,0.0,0.0,"Shock response depends on forcing form, timing, magnitude, recovery rate, and numerical step size."
30,3.0,100.0,100.0,0.0,0.0,"Shock response depends on forcing form, timing, magnitude, recovery rate, and numerical step size."
31,3.1,100.0,100.0,0.0,0.0,"Shock response depends on forcing form, timing, magnitude, recovery rate, and numerical step size."
32,3.2,100.0,100.0,0.0,0.0,"Shock response depends on forcing form, timing, magnitude, recovery rate, and numerical step size."
33,3.3000000000000003,100.0,100.0,0.0,0.0,"Shock response depends on forcing form, timing, magnitude, recovery rate, and numerical step size."
34,3.4000000000000004,100.0,100.0,0.0,0.0,"Shock response depends on forcing form, timing, magnitude, recovery rate, and numerical step size."
35,3.5,100.0,100.0,0.0,0.0,"Shock response depends on forcing form, timing, magnitude, recovery rate, and numerical step size."
36,3.6,100.0,100.0,0.0,0.0,"Shock response depends on forcing form, timing, magnitude, recovery rate, and numerical step size."
37,3.7,100.0,100.0,0.0,0.0,"Shock response depends on forcing form, timing, magnitude, recovery rate, and numerical step size."
38,3.8000000000000003,100.0,100.0,0.0,0.0,"Shock response depends on forcing form, timing, magnitude, recovery rate, and numerical step size."
39,3.9000000000000004,100.0,100.0,0.0,0.0,"Shock response depends on forcing form, timing, magnitude, recovery rate, and numerical step size."
40,4.0,100.0,100.0,0.0,0.0,"Shock response depends on forcing form, timing, magnitude, recovery rate, and numerical step size."
41,4.1000000000000005,100.0,100.0,0.0,0.0,"Shock response depends on forcing form, timing, magnitude, recovery rate, and numerical step size."
42,4.2,100.0,100.0,0.0,0.0,"Shock response depends on forcing form, timing, magnitude, recovery rate, and numerical step size."
43,4.3,100.0,100.0,0.0,0.0,"Shock response depends on forcing form, timing, magnitude, recovery rate, and numerical step size."
44,4.4,100.0,100.0,0.0,0.0,"Shock response depends on forcing form, timing, magnitude, recovery rate, and numerical step size."
45,4.5,100.0,100.0,0.0,0.0,"Shock response depends on forcing form, timing, magnitude, recovery rate, and numerical step size."
46,4.6000000000000005,100.0,100.0,0.0,0.0,"Shock response depends on forcing form, timing, magnitude, recovery rate, and numerical step size."
47,4.7,100.0,100.0,0.0,0.0,"Shock response depends on forcing form, timing, magnitude, recovery rate, and numerical step size."
48,4.800000000000001,100.0,100.0,0.0,0.0,"Shock response depends on forcing form, timing, magnitude, recovery rate, and numerical step size."
49,4.9,100.0,100.0,0.0,0.0,"Shock response depends on forcing form, timing, magnitude, recovery rate, and numerical step size."
50,5.0,100.0,100.0,0.0,0.0,"Shock response depends on forcing form, timing, magnitude, recovery rate, and numerical step size."
