step,time,baseline_state,forced_state,shock_value,absolute_deviation,warning
0,0.000000,100.000000,100.000000,0.000000,0.000000,Shock response depends on forcing form timing magnitude recovery rate and numerical step size.
1,0.100000,100.000000,100.000000,0.000000,0.000000,Shock response depends on forcing form timing magnitude recovery rate and numerical step size.
2,0.200000,100.000000,100.000000,0.000000,0.000000,Shock response depends on forcing form timing magnitude recovery rate and numerical step size.
3,0.300000,100.000000,100.000000,0.000000,0.000000,Shock response depends on forcing form timing magnitude recovery rate and numerical step size.
4,0.400000,100.000000,100.000000,0.000000,0.000000,Shock response depends on forcing form timing magnitude recovery rate and numerical step size.
5,0.500000,100.000000,100.000000,0.000000,0.000000,Shock response depends on forcing form timing magnitude recovery rate and numerical step size.
6,0.600000,100.000000,100.000000,0.000000,0.000000,Shock response depends on forcing form timing magnitude recovery rate and numerical step size.
7,0.700000,100.000000,100.000000,0.000000,0.000000,Shock response depends on forcing form timing magnitude recovery rate and numerical step size.
8,0.800000,100.000000,100.000000,0.000000,0.000000,Shock response depends on forcing form timing magnitude recovery rate and numerical step size.
9,0.900000,100.000000,100.000000,0.000000,0.000000,Shock response depends on forcing form timing magnitude recovery rate and numerical step size.
10,1.000000,100.000000,100.000000,0.000000,0.000000,Shock response depends on forcing form timing magnitude recovery rate and numerical step size.
11,1.100000,100.000000,100.000000,0.000000,0.000000,Shock response depends on forcing form timing magnitude recovery rate and numerical step size.
12,1.200000,100.000000,100.000000,0.000000,0.000000,Shock response depends on forcing form timing magnitude recovery rate and numerical step size.
13,1.300000,100.000000,100.000000,0.000000,0.000000,Shock response depends on forcing form timing magnitude recovery rate and numerical step size.
14,1.400000,100.000000,100.000000,0.000000,0.000000,Shock response depends on forcing form timing magnitude recovery rate and numerical step size.
15,1.500000,100.000000,100.000000,0.000000,0.000000,Shock response depends on forcing form timing magnitude recovery rate and numerical step size.
16,1.600000,100.000000,100.000000,0.000000,0.000000,Shock response depends on forcing form timing magnitude recovery rate and numerical step size.
17,1.700000,100.000000,100.000000,0.000000,0.000000,Shock response depends on forcing form timing magnitude recovery rate and numerical step size.
18,1.800000,100.000000,100.000000,0.000000,0.000000,Shock response depends on forcing form timing magnitude recovery rate and numerical step size.
19,1.900000,100.000000,100.000000,0.000000,0.000000,Shock response depends on forcing form timing magnitude recovery rate and numerical step size.
20,2.000000,100.000000,100.000000,0.000000,0.000000,Shock response depends on forcing form timing magnitude recovery rate and numerical step size.
21,2.100000,100.000000,100.000000,0.000000,0.000000,Shock response depends on forcing form timing magnitude recovery rate and numerical step size.
22,2.200000,100.000000,100.000000,0.000000,0.000000,Shock response depends on forcing form timing magnitude recovery rate and numerical step size.
23,2.300000,100.000000,100.000000,0.000000,0.000000,Shock response depends on forcing form timing magnitude recovery rate and numerical step size.
24,2.400000,100.000000,100.000000,0.000000,0.000000,Shock response depends on forcing form timing magnitude recovery rate and numerical step size.
25,2.500000,100.000000,100.000000,0.000000,0.000000,Shock response depends on forcing form timing magnitude recovery rate and numerical step size.
