"step","time","baseline_state","forced_state","shock_value","absolute_deviation","warning"
0,0,100,100,0,0,"Shock response depends on forcing form, timing, magnitude, recovery rate, and numerical step size."
1,0.1,100,100,0,0,"Shock response depends on forcing form, timing, magnitude, recovery rate, and numerical step size."
2,0.2,100,100,0,0,"Shock response depends on forcing form, timing, magnitude, recovery rate, and numerical step size."
3,0.3,100,100,0,0,"Shock response depends on forcing form, timing, magnitude, recovery rate, and numerical step size."
4,0.4,100,100,0,0,"Shock response depends on forcing form, timing, magnitude, recovery rate, and numerical step size."
5,0.5,100,100,0,0,"Shock response depends on forcing form, timing, magnitude, recovery rate, and numerical step size."
6,0.6,100,100,0,0,"Shock response depends on forcing form, timing, magnitude, recovery rate, and numerical step size."
7,0.7,100,100,0,0,"Shock response depends on forcing form, timing, magnitude, recovery rate, and numerical step size."
8,0.8,100,100,0,0,"Shock response depends on forcing form, timing, magnitude, recovery rate, and numerical step size."
9,0.9,100,100,0,0,"Shock response depends on forcing form, timing, magnitude, recovery rate, and numerical step size."
10,1,100,100,0,0,"Shock response depends on forcing form, timing, magnitude, recovery rate, and numerical step size."
11,1.1,100,100,0,0,"Shock response depends on forcing form, timing, magnitude, recovery rate, and numerical step size."
12,1.2,100,100,0,0,"Shock response depends on forcing form, timing, magnitude, recovery rate, and numerical step size."
13,1.3,100,100,0,0,"Shock response depends on forcing form, timing, magnitude, recovery rate, and numerical step size."
14,1.4,100,100,0,0,"Shock response depends on forcing form, timing, magnitude, recovery rate, and numerical step size."
15,1.5,100,100,0,0,"Shock response depends on forcing form, timing, magnitude, recovery rate, and numerical step size."
16,1.6,100,100,0,0,"Shock response depends on forcing form, timing, magnitude, recovery rate, and numerical step size."
17,1.7,100,100,0,0,"Shock response depends on forcing form, timing, magnitude, recovery rate, and numerical step size."
18,1.8,100,100,0,0,"Shock response depends on forcing form, timing, magnitude, recovery rate, and numerical step size."
19,1.9,100,100,0,0,"Shock response depends on forcing form, timing, magnitude, recovery rate, and numerical step size."
