step,time,analytical_state,euler_state,absolute_error,rate
0,0.0,10.0,10.0,0.0,2.25
1,0.1,10.22726077133817,10.225,0.0022607713381699313,2.2948734375
2,0.2,10.45908608270509,10.45448734375,0.004598738955090553,2.3403810718859277
3,0.30000000000000004,10.695540202156575,10.688525450938592,0.007014751217983672,2.3865199219462427
4,0.4,10.936687039095704,10.927177443133216,0.009509595962487793,2.4332863435990055
5,0.5,11.182590073708786,11.170506077493116,0.012083996215670467,2.4806760043050025
6,0.6000000000000001,11.433312283751146,11.418573677923616,0.014738605827529838,2.528683857385479
7,0.7000000000000001,11.688916068680133,11.671442063662164,0.017474005017968253,2.5773041163019847
8,0.8,11.949463171139337,11.929172475292363,0.02029069584697396,2.6265302289599086
9,0.9,12.215014595804965,12.191825498188354,0.023189097616610255,2.676354852101399
10,1.0,12.48563052561278,12.459460983398493,0.026169542214287134,2.72676982585755
11,1.1,12.761370235391801,12.732137965984249,0.029232269407552636,2.7777661485339182
12,1.2000000000000002,13.042292002939389,13.009914580837641,0.032377422101747655,2.8293339517076808
13,1.3,13.328453017580943,13.29284797600841,0.035605041572532414,2.8814624757189256
14,1.4000000000000001,13.619909286266738,13.580994223580303,0.038915062686434965,2.934140045642772
15,1.5,13.916715537267947,13.87440822814458,0.04230730912336789,2.9873540478331297
16,1.6,14.218925121543979,14.173143632927893,0.04578148861608611,3.0410909071329617
17,1.7000000000000002,14.52658991186362,14.47725272364119,0.04933718822243094,3.0953360648498567
18,1.8,14.839760199773366,14.786786330126175,0.05297386964719131,3.1500739575995276
19,1.9000000000000001,15.158484590517425,15.101793725886127,0.0566908646312978,3.2052879971234978
20,2.0,15.482809896025467,15.422322525598476,0.060487370426990594,3.2609605511906636
