index,time,rate,left_cumulative,trapezoid_cumulative,true_cumulative,error
0,0,2,0,0,0,0
1,0.1,2.10983,0.2,0.205492,0.205496,4.16389e-06
2,0.2,2.21867,0.410983,0.421917,0.421933,1.6614e-05
3,0.3,2.32552,0.63285,0.649126,0.649164,3.72258e-05
4,0.4,2.42942,0.865402,0.886873,0.886939,6.57935e-05
5,0.5,2.52943,1.10834,1.13482,1.13492,0.000102032
6,0.6,2.62464,1.36129,1.39252,1.39266,0.000145578
7,0.7,2.71422,1.62375,1.65946,1.65966,0.000195998
8,0.8,2.79736,1.89517,1.93504,1.93529,0.000252787
9,0.9,2.87333,2.17491,2.21857,2.21889,0.000315378
10,1,2.94147,2.46224,2.50931,2.5097,0.000383145
11,1.1,3.00121,2.75639,2.80645,2.8069,0.000455412
12,1.2,3.05204,3.05651,3.10911,3.10964,0.000531457
13,1.3,3.09356,3.36171,3.41639,3.417,0.000610519
14,1.4,3.12545,3.67107,3.72734,3.72803,0.000691809
15,1.5,3.14749,3.98361,4.04099,4.04176,0.000774515
16,1.6,3.15957,4.29836,4.35634,4.3572,0.000857809
17,1.7,3.16166,4.61432,4.6724,4.67334,0.000940861
18,1.8,3.15385,4.93049,4.98818,4.9892,0.00102284
19,1.9,3.1363,5.24587,5.30269,5.30379,0.00110293
20,2,3.1093,5.5595,5.61497,5.61615,0.00118032
21,2.1,3.07321,5.87043,5.92409,5.92535,0.00125425
22,2.2,3.0285,6.17775,6.22918,6.2305,0.00132397
23,2.3,2.97571,6.4806,6.52939,6.53078,0.00138879
24,2.4,2.91546,6.77817,6.82395,6.82539,0.00144807
25,2.5,2.84847,7.06972,7.11214,7.11364,0.0015012
26,2.6,2.7755,7.35457,7.39334,7.39489,0.00154767
27,2.7,2.69738,7.63212,7.66699,7.66857,0.00158699
28,2.8,2.61499,7.90185,7.9326,7.93422,0.00161879
29,2.9,2.52925,8.16335,8.18982,8.19146,0.00164274
30,3,2.44112,8.41628,8.43833,8.43999,0.0016586
31,3.1,2.35158,8.66039,8.67797,8.67964,0.00166622
32,3.2,2.26163,8.89555,8.90863,8.91029,0.00166552
33,3.3,2.17225,9.12171,9.13032,9.13198,0.00165651
34,3.4,2.08446,9.33894,9.34316,9.3448,0.00163927
35,3.5,1.99922,9.54738,9.54734,9.54896,0.00161398
36,3.6,1.91748,9.7473,9.74318,9.74476,0.0015809
37,3.7,1.84016,9.93905,9.93106,9.9326,0.00154034
38,3.8,1.76814,10.1231,10.1115,10.113,0.00149272
39,3.9,1.70223,10.2999,10.285,10.2864,0.00143852
40,4,1.6432,10.4701,10.4523,10.4536,0.00137827
41,4.1,1.59172,10.6344,10.614,10.6153,0.00131257
42,4.2,1.54842,10.7936,10.771,10.7723,0.00124209
43,4.3,1.51383,10.9484,10.9241,10.9253,0.00116753
44,4.4,1.4884,11.0998,11.0742,11.0753,0.00108963
45,4.5,1.47247,11.2487,11.2223,11.2233,0.00100916
46,4.6,1.46631,11.3959,11.3692,11.3702,0.000926948
47,4.7,1.47008,11.5425,11.516,11.5169,0.000843798
48,4.8,1.48384,11.6895,11.6637,11.6645,0.000760544
49,4.9,1.50755,11.8379,11.8133,11.814,0.000678019
50,5,1.54108,11.9887,11.9657,11.9663,0.000597048
51,5.1,1.58419,12.1428,12.122,12.1225,0.000518438
52,5.2,1.63655,12.3012,12.283,12.2835,0.000442977
53,5.3,1.69773,12.4649,12.4498,12.4501,0.000371417
54,5.4,1.76724,12.6346,12.623,12.6233,0.000304473
55,5.5,1.84446,12.8114,12.8036,12.8038,0.000242816
56,5.6,1.92873,12.9958,12.9922,12.9924,0.00018706
57,5.7,2.01931,13.1887,13.1896,13.1898,0.000137762
58,5.8,2.1154,13.3906,13.3964,13.3965,9.54163e-05
59,5.9,2.21612,13.6022,13.613,13.613,6.04447e-05
60,6,2.32058,13.8238,13.8398,13.8398,3.3197e-05
61,6.1,2.42784,14.0558,14.0772,14.0772,1.39453e-05
62,6.2,2.53691,14.2986,14.3255,14.3255,2.88207e-06
