"index","x","value","true_derivative","forward_difference","backward_difference","central_difference","central_absolute_error","step_size","warning"
0,0,0,1,1.00833416646828,NA,NA,NA,0.1,"Numerical derivatives depend on step size, formula choice, boundary handling, smoothness, and noise."
1,0.1,0.100833416646828,1.01500416527803,1.01835914148233,1.00833416646828,1.01334665397531,0.00165751130271974,0.1,"Numerical derivatives depend on step size, formula choice, boundary handling, smoothness, and noise."
2,0.2,0.202669330795061,1.02006657784124,1.01850875866278,1.01835914148233,1.01843395007256,0.00163262776868445,0.1,"Numerical derivatives depend on step size, formula choice, boundary handling, smoothness, and noise."
3,0.3,0.30452020666134,1.01533648912561,1.00898135647311,1.01850875866278,1.01374505756795,0.00159143155765951,0.1,"Numerical derivatives depend on step size, formula choice, boundary handling, smoothness, and noise."
4,0.4,0.405418342308651,1.00106099400289,0.990071962955525,1.00898135647311,0.999526659714317,0.00153433428856808,0.1,"Numerical derivatives depend on step size, formula choice, boundary handling, smoothness, and noise."
5,0.5,0.504425538604203,0.977582561890373,0.962169347908325,0.990071962955525,0.976120655431925,0.0014619064584479,0.1,"Numerical derivatives depend on step size, formula choice, boundary handling, smoothness, and noise."
6,0.6,0.600642473395036,0.945335614909678,0.925752138426557,0.962169347908325,0.943960743167441,0.00137487174223749,0.1,"Numerical derivatives depend on step size, formula choice, boundary handling, smoothness, and noise."
7,0.7,0.693217687237691,0.904842187284488,0.881384036618317,0.925752138426557,0.903568087522437,0.00127409976205173,0.1,"Numerical derivatives depend on step size, formula choice, boundary handling, smoothness, and noise."
8,0.8,0.781356090899523,0.856706709347165,0.829708187279606,0.881384036618317,0.855546111948962,0.00116059739820384,0.1,"Numerical derivatives depend on step size, formula choice, boundary handling, smoothness, and noise."
9,0.9,0.864326909627483,0.801609968270664,0.77144075180413,0.829708187279606,0.800574469541868,0.00103549872879627,0.1,"Numerical derivatives depend on step size, formula choice, boundary handling, smoothness, and noise."
10,1,0.941470984807896,0.74030230586814,0.707363752535389,0.77144075180413,0.73940225216976,0.000900053698380088,0.1,"Numerical derivatives depend on step size, formula choice, boundary handling, smoothness, and noise."
11,1.1,1.01220736006144,0.673596121425577,0.63831725905791,0.707363752535389,0.67284050579665,0.000755615628927675,0.1,"Numerical derivatives depend on step size, formula choice, boundary handling, smoothness, and noise."
12,1.2,1.07603908596723,0.602357754476673,0.565190994499667,0.63831725905791,0.601754126778788,0.000603627697884912,0.1,"Numerical derivatives depend on step size, formula choice, boundary handling, smoothness, and noise."
13,1.3,1.13255818541719,0.527498828624587,0.488915445712672,0.565190994499667,0.52705322010617,0.000445608518417906,0.1,"Numerical derivatives depend on step size, formula choice, boundary handling, smoothness, and noise."
14,1.4,1.18144972998846,0.449967142900241,0.410452566155941,0.488915445712672,0.449684005934307,0.000283136965934294,0.1,"Numerical derivatives depend on step size, formula choice, boundary handling, smoothness, and noise."
15,1.5,1.22249498660405,0.370737201667703,0.330786164374508,0.410452566155941,0.370619365265225,0.000117836402478422,0.1,"Numerical derivatives depend on step size, formula choice, boundary handling, smoothness, and noise."
16,1.6,1.25557360304151,0.290800477698711,0.250912074109635,0.330786164374508,0.290849119242071,4.86415433602061e-05,0.1,"Numerical derivatives depend on step size, formula choice, boundary handling, smoothness, and noise."
