period,stock,inflow,effective_demand,losses,shortage
0,80.000000,5.000000,4.500000,1.200000,0.000000
1,79.300000,5.000000,4.500000,1.189500,0.000000
2,78.610500,5.000000,4.500000,1.179158,0.000000
3,77.931342,5.000000,4.500000,1.168970,0.000000
4,77.262372,5.000000,4.500000,1.158936,0.000000
5,76.603437,5.000000,4.500000,1.149052,0.000000
6,75.954385,5.000000,4.500000,1.139316,0.000000
7,75.315069,5.000000,4.500000,1.129726,0.000000
8,74.685343,5.000000,4.500000,1.120280,0.000000
9,74.065063,5.000000,4.500000,1.110976,0.000000
10,73.454087,5.000000,4.500000,1.101811,0.000000
11,72.852276,5.000000,4.500000,1.092784,0.000000
12,72.259492,5.000000,4.500000,1.083892,0.000000
13,71.675599,5.000000,4.500000,1.075134,0.000000
14,71.100465,5.000000,4.500000,1.066507,0.000000
15,70.533959,5.000000,4.500000,1.058009,0.000000
16,69.975949,5.000000,4.500000,1.049639,0.000000
17,69.426310,5.000000,4.500000,1.041395,0.000000
18,68.884915,5.000000,4.500000,1.033274,0.000000
19,68.351642,5.000000,4.500000,1.025275,0.000000
20,67.826367,5.000000,4.500000,1.017396,0.000000
21,67.308971,5.000000,4.500000,1.009635,0.000000
22,66.799337,5.000000,4.500000,1.001990,0.000000
23,66.297347,5.000000,4.500000,0.994460,0.000000
24,65.802887,5.000000,4.500000,0.987043,0.000000
25,65.315843,5.000000,4.500000,0.979738,0.000000
26,64.836106,5.000000,4.500000,0.972542,0.000000
27,64.363564,5.000000,4.500000,0.965453,0.000000
28,63.898111,5.000000,4.500000,0.958472,0.000000
29,63.439639,5.000000,4.500000,0.951595,0.000000
30,62.988044,5.000000,4.500000,0.944821,0.000000
31,62.543224,5.000000,4.500000,0.938148,0.000000
32,62.105075,5.000000,4.500000,0.931576,0.000000
33,61.673499,5.000000,4.500000,0.925102,0.000000
34,61.248397,5.000000,4.500000,0.918726,0.000000
35,60.829671,5.000000,4.500000,0.912445,0.000000
36,60.417226,5.000000,4.500000,0.906258,0.000000
37,60.010967,5.000000,4.500000,0.900165,0.000000
38,59.610803,5.000000,4.500000,0.894162,0.000000
39,59.216641,5.000000,4.500000,0.888250,0.000000
40,58.828391,5.000000,4.500000,0.882426,0.000000
41,58.445965,5.000000,4.500000,0.876689,0.000000
42,58.069276,5.000000,4.500000,0.871039,0.000000
43,57.698237,5.000000,4.500000,0.865474,0.000000
44,57.332763,5.000000,4.500000,0.859991,0.000000
45,56.972772,5.000000,4.500000,0.854592,0.000000
46,56.618180,5.000000,4.500000,0.849273,0.000000
47,56.268907,5.000000,4.500000,0.844034,0.000000
48,55.924874,5.000000,4.500000,0.838873,0.000000
49,55.586001,5.000000,4.500000,0.833790,0.000000
50,55.252211,5.000000,4.500000,0.828783,0.000000
51,54.923427,5.000000,4.500000,0.823851,0.000000
52,54.599576,5.000000,4.500000,0.818994,0.000000
53,54.280582,5.000000,4.500000,0.814209,0.000000
54,53.966374,5.000000,4.500000,0.809496,0.000000
55,53.656878,5.000000,4.500000,0.804853,0.000000
56,53.352025,5.000000,4.500000,0.800280,0.000000
57,53.051745,5.000000,4.500000,0.795776,0.000000
58,52.755968,5.000000,4.500000,0.791340,0.000000
59,52.464629,5.000000,4.500000,0.786969,0.000000
60,52.177659,5.000000,4.500000,0.782665,0.000000
