period,storage,demand,raw_next_storage,next_storage,shortage,overflow
0,45.000000,10.000000,38.100000,38.100000,0.000000,0.000000
1,38.100000,10.000000,31.338000,31.338000,0.000000,0.000000
2,31.338000,10.000000,24.711240,24.711240,0.000000,0.000000
3,24.711240,10.000000,18.217015,18.217015,0.000000,0.000000
4,18.217015,10.000000,11.852675,11.852675,0.000000,0.000000
5,11.852675,10.000000,5.615621,5.615621,0.000000,0.000000
6,5.615621,10.000000,-0.496691,0.000000,0.496691,0.000000
7,0.000000,9.900662,-5.900662,0.000000,5.900662,0.000000
8,0.000000,8.720529,-4.720529,0.000000,4.720529,0.000000
9,0.000000,7.776424,-3.776424,0.000000,3.776424,0.000000
10,0.000000,7.021139,-3.021139,0.000000,3.021139,0.000000
11,0.000000,6.416911,-2.416911,0.000000,2.416911,0.000000
12,0.000000,5.933529,-1.933529,0.000000,1.933529,0.000000
13,0.000000,5.546823,-1.546823,0.000000,1.546823,0.000000
14,0.000000,5.237458,-1.237458,0.000000,1.237458,0.000000
15,0.000000,4.989967,-0.989967,0.000000,0.989967,0.000000
16,0.000000,4.791973,-0.791973,0.000000,0.791973,0.000000
17,0.000000,4.633579,-0.633579,0.000000,0.633579,0.000000
18,0.000000,4.506863,-0.506863,0.000000,0.506863,0.000000
19,0.000000,4.405490,-0.405490,0.000000,0.405490,0.000000
20,0.000000,4.324392,-0.324392,0.000000,0.324392,0.000000
21,0.000000,4.259514,-0.259514,0.000000,0.259514,0.000000
22,0.000000,4.207611,-0.207611,0.000000,0.207611,0.000000
23,0.000000,4.166089,-0.166089,0.000000,0.166089,0.000000
24,0.000000,4.132871,-0.132871,0.000000,0.132871,0.000000
25,0.000000,4.106297,-0.106297,0.000000,0.106297,0.000000
26,0.000000,4.085037,-0.085037,0.000000,0.085037,0.000000
27,0.000000,4.068030,-0.068030,0.000000,0.068030,0.000000
28,0.000000,4.054424,-0.054424,0.000000,0.054424,0.000000
29,0.000000,4.043539,-0.043539,0.000000,0.043539,0.000000
30,0.000000,4.034831,-0.034831,0.000000,0.034831,0.000000
31,0.000000,4.027865,-0.027865,0.000000,0.027865,0.000000
32,0.000000,4.022292,-0.022292,0.000000,0.022292,0.000000
33,0.000000,4.017834,-0.017834,0.000000,0.017834,0.000000
34,0.000000,4.014267,-0.014267,0.000000,0.014267,0.000000
35,0.000000,4.011414,-0.011414,0.000000,0.011414,0.000000
36,0.000000,4.009131,-0.009131,0.000000,0.009131,0.000000
37,0.000000,4.007305,-0.007305,0.000000,0.007305,0.000000
38,0.000000,4.005844,-0.005844,0.000000,0.005844,0.000000
39,0.000000,4.004675,-0.004675,0.000000,0.004675,0.000000
40,0.000000,4.003740,-0.003740,0.000000,0.003740,0.000000
41,0.000000,4.002992,-0.002992,0.000000,0.002992,0.000000
42,0.000000,4.002394,-0.002394,0.000000,0.002394,0.000000
43,0.000000,4.001915,-0.001915,0.000000,0.001915,0.000000
44,0.000000,4.001532,-0.001532,0.000000,0.001532,0.000000
45,0.000000,4.001226,-0.001226,0.000000,0.001226,0.000000
46,0.000000,4.000980,-0.000980,0.000000,0.000980,0.000000
47,0.000000,4.000784,-0.000784,0.000000,0.000784,0.000000
48,0.000000,4.000627,-0.000627,0.000000,0.000627,0.000000
49,0.000000,4.000502,-0.000502,0.000000,0.000502,0.000000
50,0.000000,4.000402,-0.000402,0.000000,0.000402,0.000000
51,0.000000,4.000321,-0.000321,0.000000,0.000321,0.000000
52,0.000000,4.000257,-0.000257,0.000000,0.000257,0.000000
53,0.000000,4.000206,-0.000206,0.000000,0.000206,0.000000
54,0.000000,4.000164,-0.000164,0.000000,0.000164,0.000000
55,0.000000,4.000132,-0.000132,0.000000,0.000132,0.000000
56,0.000000,4.000105,-0.000105,0.000000,0.000105,0.000000
57,0.000000,4.000084,-0.000084,0.000000,0.000084,0.000000
58,0.000000,4.000067,-0.000067,0.000000,0.000067,0.000000
59,0.000000,4.000054,-0.000054,0.000000,0.000054,0.000000
60,0.000000,4.000043,-0.000043,0.000000,0.000043,0.000000
