h,estimate,absolute_error,warning
0.1,0.5491293550525267,0.005472989360717606,
0.01,0.5442003846763743,0.0005440189845652421,
0.001,0.5437107349535175,5.436926170843126e-05,
0.0001,0.5436618022924833,5.436600674202374e-06,
1e-05,0.5436569093575372,5.436657281032709e-07,
1e-06,0.5436564203264993,5.46346902163819e-08,
1e-07,0.5436563732530431,7.561233972275261e-09,
1e-08,0.5436563643712589,1.3205502247259915e-09,
1e-09,0.5436566752337058,3.0954189667031784e-07,error increased after refinement; possible roundoff or cancellation
1e-10,0.5436584515905452,2.0858987360705683e-06,error increased after refinement; possible roundoff or cancellation
1e-11,0.5436540106984467,2.354993362430058e-06,error increased after refinement; possible roundoff or cancellation
1e-12,0.5440092820663267,0.00035291637451762004,error increased after refinement; possible roundoff or cancellation
