step,time,storage,rate_of_change,raw_next_storage,next_storage,shortage,overflow
0,0.000000,80.000000,0.800000,80.200000,80.200000,0.000000,0.000000
1,0.250000,80.200000,0.797000,80.399250,80.399250,0.000000,0.000000
2,0.500000,80.399250,0.794011,80.597753,80.597753,0.000000,0.000000
3,0.750000,80.597753,0.791034,80.795511,80.795511,0.000000,0.000000
4,1.000000,80.795511,0.788067,80.992528,80.992528,0.000000,0.000000
5,1.250000,80.992528,0.785112,81.188806,81.188806,0.000000,0.000000
6,1.500000,81.188806,0.782168,81.384348,81.384348,0.000000,0.000000
7,1.750000,81.384348,0.779235,81.579157,81.579157,0.000000,0.000000
8,2.000000,81.579157,0.776313,81.773235,81.773235,0.000000,0.000000
9,2.250000,81.773235,0.773401,81.966585,81.966585,0.000000,0.000000
10,2.500000,81.966585,0.770501,82.159211,82.159211,0.000000,0.000000
11,2.750000,82.159211,0.767612,82.351114,82.351114,0.000000,0.000000
12,3.000000,82.351114,0.764733,82.542297,82.542297,0.000000,0.000000
13,3.250000,82.542297,0.761866,82.732763,82.732763,0.000000,0.000000
14,3.500000,82.732763,0.759009,82.922515,82.922515,0.000000,0.000000
15,3.750000,82.922515,0.756162,83.111556,83.111556,0.000000,0.000000
16,4.000000,83.111556,0.753327,83.299888,83.299888,0.000000,0.000000
17,4.250000,83.299888,0.750502,83.487513,83.487513,0.000000,0.000000
18,4.500000,83.487513,0.747687,83.674435,83.674435,0.000000,0.000000
19,4.750000,83.674435,0.744883,83.860656,83.860656,0.000000,0.000000
20,5.000000,83.860656,0.742090,84.046178,84.046178,0.000000,0.000000
21,5.250000,84.046178,0.739307,84.231005,84.231005,0.000000,0.000000
22,5.500000,84.231005,0.736535,84.415139,84.415139,0.000000,0.000000
23,5.750000,84.415139,0.733773,84.598582,84.598582,0.000000,0.000000
24,6.000000,84.598582,0.731021,84.781337,84.781337,0.000000,0.000000
25,6.250000,84.781337,0.728280,84.963407,84.963407,0.000000,0.000000
26,6.500000,84.963407,0.725549,85.144795,85.144795,0.000000,0.000000
27,6.750000,85.144795,0.722828,85.325502,85.325502,0.000000,0.000000
28,7.000000,85.325502,0.720117,85.505531,85.505531,0.000000,0.000000
29,7.250000,85.505531,0.717417,85.684885,85.684885,0.000000,0.000000
30,7.500000,85.684885,0.714727,85.863567,85.863567,0.000000,0.000000
31,7.750000,85.863567,0.712046,86.041579,86.041579,0.000000,0.000000
32,8.000000,86.041579,0.709376,86.218923,86.218923,0.000000,0.000000
33,8.250000,86.218923,0.706716,86.395602,86.395602,0.000000,0.000000
34,8.500000,86.395602,0.704066,86.571618,86.571618,0.000000,0.000000
35,8.750000,86.571618,0.701426,86.746975,86.746975,0.000000,0.000000
36,9.000000,86.746975,0.698795,86.921673,86.921673,0.000000,0.000000
37,9.250000,86.921673,0.696175,87.095717,87.095717,0.000000,0.000000
38,9.500000,87.095717,0.693564,87.269108,87.269108,0.000000,0.000000
39,9.750000,87.269108,0.690963,87.441849,87.441849,0.000000,0.000000
40,10.000000,87.441849,0.688372,87.613942,87.613942,0.000000,0.000000
41,10.250000,87.613942,0.685791,87.785390,87.785390,0.000000,0.000000
42,10.500000,87.785390,0.683219,87.956195,87.956195,0.000000,0.000000
43,10.750000,87.956195,0.680657,88.126359,88.126359,0.000000,0.000000
44,11.000000,88.126359,0.678105,88.295885,88.295885,0.000000,0.000000
45,11.250000,88.295885,0.675562,88.464776,88.464776,0.000000,0.000000
46,11.500000,88.464776,0.673028,88.633033,88.633033,0.000000,0.000000
47,11.750000,88.633033,0.670505,88.800659,88.800659,0.000000,0.000000
48,12.000000,88.800659,0.667990,88.967656,88.967656,0.000000,0.000000
49,12.250000,88.967656,0.665485,89.134028,89.134028,0.000000,0.000000
50,12.500000,89.134028,0.662990,89.299775,89.299775,0.000000,0.000000
