scenario,step,time,storage,rate_of_change,raw_next_storage,next_storage,shortage,overflow,domain_valid
baseline,0,0.0,80.0,0.8,80.2,80.2,0.0,0.0,True
baseline,1,0.25,80.2,0.797,80.39925,80.39925,0.0,0.0,True
baseline,2,0.5,80.39925,0.79401125,80.59775281,80.59775281,0.0,0.0,True
baseline,3,0.75,80.59775281,0.79103371,80.79551124,80.79551124,0.0,0.0,True
baseline,4,1.0,80.79551124,0.78806733,80.99252807,80.99252807,0.0,0.0,True
baseline,5,1.25,80.99252807,0.78511208,81.18880609,81.18880609,0.0,0.0,True
baseline,6,1.5,81.18880609,0.78216791,81.38434807,81.38434807,0.0,0.0,True
baseline,7,1.75,81.38434807,0.77923478,81.57915676,81.57915676,0.0,0.0,True
baseline,8,2.0,81.57915676,0.77631265,81.77323493,81.77323493,0.0,0.0,True
baseline,9,2.25,81.77323493,0.77340148,81.9665853,81.9665853,0.0,0.0,True
baseline,10,2.5,81.9665853,0.77050122,82.1592106,82.1592106,0.0,0.0,True
baseline,11,2.75,82.1592106,0.76761184,82.35111356,82.35111356,0.0,0.0,True
baseline,12,3.0,82.35111356,0.7647333,82.54229688,82.54229688,0.0,0.0,True
baseline,13,3.25,82.54229688,0.76186555,82.73276327,82.73276327,0.0,0.0,True
baseline,14,3.5,82.73276327,0.75900855,82.92251541,82.92251541,0.0,0.0,True
baseline,15,3.75,82.92251541,0.75616227,83.11155598,83.11155598,0.0,0.0,True
baseline,16,4.0,83.11155598,0.75332666,83.29988764,83.29988764,0.0,0.0,True
baseline,17,4.25,83.29988764,0.75050169,83.48751306,83.48751306,0.0,0.0,True
baseline,18,4.5,83.48751306,0.7476873,83.67443489,83.67443489,0.0,0.0,True
baseline,19,4.75,83.67443489,0.74488348,83.86065576,83.86065576,0.0,0.0,True
baseline,20,5.0,83.86065576,0.74209016,84.0461783,84.0461783,0.0,0.0,True
baseline,21,5.25,84.0461783,0.73930733,84.23100513,84.23100513,0.0,0.0,True
baseline,22,5.5,84.23100513,0.73653492,84.41513886,84.41513886,0.0,0.0,True
baseline,23,5.75,84.41513886,0.73377292,84.59858209,84.59858209,0.0,0.0,True
baseline,24,6.0,84.59858209,0.73102127,84.78133741,84.78133741,0.0,0.0,True
baseline,25,6.25,84.78133741,0.72827994,84.96340739,84.96340739,0.0,0.0,True
baseline,26,6.5,84.96340739,0.72554889,85.14479461,85.14479461,0.0,0.0,True
baseline,27,6.75,85.14479461,0.72282808,85.32550163,85.32550163,0.0,0.0,True
baseline,28,7.0,85.32550163,0.72011748,85.505531,85.505531,0.0,0.0,True
baseline,29,7.25,85.505531,0.71741703,85.68488526,85.68488526,0.0,0.0,True
baseline,30,7.5,85.68488526,0.71472672,85.86356694,85.86356694,0.0,0.0,True
baseline,31,7.75,85.86356694,0.7120465,86.04157857,86.04157857,0.0,0.0,True
baseline,32,8.0,86.04157857,0.70937632,86.21892265,86.21892265,0.0,0.0,True
baseline,33,8.25,86.21892265,0.70671616,86.39560169,86.39560169,0.0,0.0,True
