"time","exponential","logistic"
0,100,100
1,108.328706767496,107.433921141427
2,117.351087099181,115.349645355754
3,127.12491503214,123.76772598118
4,137.712776433596,132.707989687557
5,149.182469764127,142.18925121544
6,161.607440219289,152.229001132384
7,175.06725002961,162.8430686776
8,189.648087930495,174.045262898302
9,205.443321064389,185.846996539429
10,222.554092849247,198.256898502204
11,241.089970641721,211.280422091641
12,261.169647342312,224.919457669323
13,282.921701435156,239.171959641882
14,306.4854203293,254.031598861466
15,332.011692273655,269.487452396603
16,359.663972556928,285.523743151012
17,389.619330179522,302.119641867716
18,422.069581699655,319.249143571582
19,457.222519514216,336.881029411351
20,495.303242439512,354.978923128951
21,536.555597112197,373.501449015127
22,581.243739440259,392.402495257062
23,629.653826102666,411.631583145143
24,682.095846929075,431.134338828495
25,738.905609893065,450.853060379284
26,800.446891429635,470.727369060416
27,867.113765846346,490.69493012016
28,939.333128744278,510.69222538582
29,1017.56743060733,530.655357598063
30,1102.31763806416,550.520864976188
31,1194.12644178491,570.226524033146
32,1293.58173155431,589.712119200461
33,1401.32036077336,608.920159339505
34,1518.03222449539,627.796523601824
35,1644.46467710971,646.291022195551
36,1781.42731796122,664.357861213892
37,1929.79717555028,681.956004558882
38,2090.52432350928,699.049429919406
39,2264.63796431754,715.607279522071
40,2453.25301971094,731.603909782631
