time,exponential,logistic
0,100,100
1,108.329,107.434
2,117.351,115.35
3,127.125,123.768
4,137.713,132.708
5,149.182,142.189
6,161.607,152.229
7,175.067,162.843
8,189.648,174.045
9,205.443,185.847
10,222.554,198.257
11,241.09,211.28
12,261.17,224.919
13,282.922,239.172
14,306.485,254.032
15,332.012,269.487
16,359.664,285.524
17,389.619,302.12
18,422.07,319.249
19,457.223,336.881
20,495.303,354.979
21,536.556,373.501
22,581.244,392.402
23,629.654,411.632
24,682.096,431.134
25,738.906,450.853
26,800.447,470.727
27,867.114,490.695
28,939.333,510.692
29,1017.57,530.655
30,1102.32,550.521
31,1194.13,570.227
32,1293.58,589.712
33,1401.32,608.92
34,1518.03,627.797
35,1644.46,646.291
36,1781.43,664.358
37,1929.8,681.956
38,2090.52,699.049
39,2264.64,715.607
40,2453.25,731.604
